prompt_id,novel,risky_alone_recall,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,recall_n2,lcs_n2,recall_n4,lcs_n4,recall_n8,lcs_n8,recall_n16,lcs_n16,recall_n32,lcs_n32,recall_n64,lcs_n64
bookmia.01.39,a_game_of_thrones,0.24,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,2,0.0,1
bookmia.01.41,a_game_of_thrones,0.1165,0.0,0.0,0.0,0,0.0,0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.42,a_game_of_thrones,0.7805,0.0,0.0,0.0,0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.43,a_game_of_thrones,0.0,0.0,0.0,0.0,2,0.0,1,0.0,1,0.0,2,0.0,2,0.0,1,0.0,1
bookmia.01.44,a_game_of_thrones,0.1683,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.46,a_game_of_thrones,0.2222,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.49,a_game_of_thrones,0.3366,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2
bookmia.01.51,a_game_of_thrones,0.6557,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.52,a_game_of_thrones,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.58,a_game_of_thrones,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1
bookmia.01.59,a_game_of_thrones,0.723,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1
bookmia.01.60,a_game_of_thrones,0.6731,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,1,0.0,1,0.0,1,0.0,1
bookmia.01.62,a_game_of_thrones,0.6915,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
bookmia.01.69,a_game_of_thrones,0.5075,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.71,a_game_of_thrones,0.0,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
bookmia.01.73,a_game_of_thrones,0.5728,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.74,a_game_of_thrones,0.0,0.0,0.0,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1,0.0,1
bookmia.01.75,a_game_of_thrones,0.6316,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.76,a_game_of_thrones,0.5829,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.77,a_game_of_thrones,0.109,0.0,0.0,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.78,a_game_of_thrones,0.7371,0.0,0.0,0.0,1,0.0,3,0.0,3,0.0,4,0.0,4,0.0,4,0.0,4
bookmia.01.79,a_game_of_thrones,0.3165,0.0,0.0,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,3,0.0,3
bookmia.01.81,a_game_of_thrones,0.6127,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1
bookmia.01.82,a_game_of_thrones,0.7751,0.0,0.0,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,1,0.0,1
bookmia.01.83,a_game_of_thrones,0.7562,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1,0.0,1,0.0,1
bookmia.01.87,a_game_of_thrones,0.2991,0.0,0.0,0.0,1,0.0,0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.88,a_game_of_thrones,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.89,a_game_of_thrones,0.7317,0.0,0.0,0.0,2,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
bookmia.01.90,a_game_of_thrones,0.8135,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.97,a_game_of_thrones,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.02,casino_royale,0.7783,0.0,0.0,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.03,casino_royale,0.0948,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.04,casino_royale,0.6745,0.0,0.0,0.0,1,0.0,2,0.0,2,0.0,2,0.0,1,0.0,2,0.0,1
bookmia.07.05,casino_royale,0.7368,0.0,0.0,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1,0.0,1
bookmia.07.06,casino_royale,0.8154,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2
bookmia.07.07,casino_royale,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.08,casino_royale,0.6618,0.0,0.0,0.0,1,0.0,1,0.0,2,0.0,1,0.0,2,0.0,2,0.0,2
bookmia.07.09,casino_royale,0.7799,0.0,0.0,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,3,0.0,1
bookmia.07.15,casino_royale,0.2804,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.16,casino_royale,0.8233,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.17,casino_royale,0.302,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1,0.0,1,0.0,1
bookmia.07.20,casino_royale,0.6197,0.0,0.0,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.24,casino_royale,0.2953,0.0,0.0,0.0,1,0.0,3,0.0,3,0.0,3,0.0,3,0.0,2,0.0,2
bookmia.07.25,casino_royale,0.729,0.0,0.0,0.0,2,0.0,2,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2
bookmia.07.26,casino_royale,0.2009,0.0,0.0,0.0,2,0.0,1,0.0,1,0.0,1,0.0,2,0.0,1,0.0,1
bookmia.07.28,casino_royale,0.5302,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.29,casino_royale,0.1866,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.30,casino_royale,0.1584,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.31,casino_royale,0.1796,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.32,casino_royale,0.0,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2
bookmia.07.37,casino_royale,0.184,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1
bookmia.07.40,casino_royale,0.7887,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,3,0.0,3,0.0,3,0.0,3
bookmia.07.41,casino_royale,0.0,0.0,0.0,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.43,casino_royale,0.7566,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.44,casino_royale,0.7667,0.0,0.0,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.47,casino_royale,0.4569,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.49,casino_royale,0.756,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.53,casino_royale,0.7358,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.54,casino_royale,0.6027,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.55,casino_royale,0.7157,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.56,casino_royale,0.6418,0.0,0.0,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.57,casino_royale,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.59,casino_royale,0.7828,0.0,0.0,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.61,casino_royale,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.62,casino_royale,0.1286,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.63,casino_royale,0.8182,0.0,0.0,0.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,2
bookmia.07.66,casino_royale,0.1925,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.70,casino_royale,0.7908,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.72,casino_royale,0.199,0.0,0.0,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.07.73,casino_royale,0.767,0.0,0.0,0.0,2,0.0,2,0.0,1,0.0,2,0.0,1,0.0,1,0.0,1
bookmia.07.77,casino_royale,0.7379,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,3,0.0,3,0.0,2,0.0,2
bookmia.07.80,casino_royale,0.7756,0.0,0.0,0.0,1,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3
