model,id,novel,n_tok,s_rate,k_crit,binding_token,binding_frac,ratio_skip0,ratio_skip1,ratio_skip5,ratio_skip10,ratio_skip20
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.23,the_hunger_games,63,3.2304903205136752,13.930542945861816,0,0.0,4.312206991428702,1.5039130351637147,1.4113042803029618,1.0283305074946072,1.1998442592447582
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.26,the_hunger_games,59,3.4967265844471376,17.24888801574707,0,0.0,4.932867240025936,1.1783560667874307,1.289634435097507,0.9524110643914759,1.0074019654622657
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.28,the_hunger_games,57,3.089620566028252,3.619514915111818,37,0.6491228070175439,1.1715079045336472,1.2002946936291776,1.2394154677158404,1.3048159523955303,1.8118194346088454
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.30,the_hunger_games,62,3.9469824181268773,14.760833740234375,0,0.0,3.739776917283416,1.6009539953391034,1.2123719590473325,2.5033074089266396,1.5663187226255992
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.32,the_hunger_games,68,3.6458837195686478,7.995982646942139,1,0.014705882352941176,2.193153501858847,3.208311111731415,2.3441021254666485,2.1409745267646914,1.7200053734266327
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.34,the_hunger_games,63,3.740647830837776,13.311670303344727,0,0.0,3.558653715969667,1.6413575254146402,1.5083641593914738,1.130499556561799,1.2870882108626
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.35,the_hunger_games,64,2.9422289331316733,13.174871444702148,0,0.0,4.477853948189876,1.1205068822069226,1.0441122883130125,1.2359050862577092,1.7229100326941238
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.36,the_hunger_games,55,3.3158700180324643,17.073509216308594,0,0.0,5.149028497335215,1.1232047229414635,0.9580490820083792,1.201466432860102,1.283401437043224
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.37,the_hunger_games,65,3.1039858264418747,12.601799964904785,0,0.0,4.059876774421466,1.371026990040563,1.7275200905550834,1.0050342368317569,0.9369356535702599
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.39,the_hunger_games,62,3.5298895036140756,16.80284881591797,0,0.0,4.760162831928416,1.0528115973555476,1.3557627880290013,1.0566478467315743,1.1637048292650432
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.40,the_hunger_games,60,3.276141552310825,11.881129264831543,0,0.0,3.6265616351195793,1.3669812813905373,2.5911821390669347,1.194485543431181,3.4285279010942036
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.41,the_hunger_games,58,3.9267538971556673,3.960131655136744,11,0.1896551724137931,1.008500089095284,1.291326464994509,1.0190784500944383,1.2353039782317337,1.5237081447009626
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.42,the_hunger_games,55,3.429339162531224,11.443208694458008,0,0.0,3.336855339211091,1.0311909185392942,1.0325901823424106,1.830017939124756,1.119785993551114
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.44,the_hunger_games,66,4.043371056622798,13.657242774963379,0,0.0,3.3776872277387553,1.0227167220067532,1.1555375192418098,1.232277552475223,1.1960344104704683
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.45,the_hunger_games,64,3.426847510418156,4.780949354171753,7,0.109375,1.395145053766447,1.6052966238853519,2.2690202301905775,1.2941603549220118,1.199050143586623
