pair,prompt_id,n_tokens,kbar,plug_in,kbar_gt_plug
Comma-7B + mem. Comma-7B,bookmia.07.05,67,2.98112,2.99712,0
Comma-7B + mem. Comma-7B,bookmia.07.06,72,2.03936,2.04745,0
Comma-7B + mem. Comma-7B,bookmia.07.07,70,2.24361,2.16197,1
Comma-7B + mem. Comma-7B,bookmia.07.08,81,1.91932,1.92648,0
Comma-7B + mem. Comma-7B,bookmia.07.09,81,2.32141,2.2028,1
Comma-7B + mem. Comma-7B,bookmia.07.15,76,2.24782,2.25829,0
Comma-7B + mem. Comma-7B,bookmia.07.16,74,2.36443,2.33127,1
Comma-7B + mem. Comma-7B,bookmia.07.17,74,2.43541,2.45133,0
Comma-7B + mem. Comma-7B,bookmia.07.20,71,2.86419,2.76294,1
Comma-7B + mem. Comma-7B,bookmia.07.24,61,1.93099,1.97517,0
Comma-7B + mem. Comma-7B,bookmia.07.25,71,2.71169,2.64333,1
Comma-7B + mem. Comma-7B,bookmia.07.26,67,2.4455,2.42519,1
Comma-7B + mem. Comma-7B,bookmia.07.28,76,2.5305,2.55278,0
Comma-7B + mem. Comma-7B,bookmia.07.29,71,2.43176,2.41706,1
Comma-7B + mem. Comma-7B,bookmia.07.30,68,2.8072,2.82534,0
Comma-7B + mem. Comma-7B,bookmia.07.31,89,1.72381,1.65444,1
Comma-7B + mem. Comma-7B,bookmia.07.32,72,2.59564,2.55633,1
Comma-7B + mem. Comma-7B,bookmia.07.37,66,2.58106,2.58797,0
Comma-7B + mem. Comma-7B,bookmia.07.40,69,1.79034,1.78216,1
Comma-7B + mem. Comma-7B,bookmia.07.41,72,2.97402,2.99133,0
Comma-7B + mem. Comma-7B,bookmia.07.43,84,2.38611,2.39055,0
Comma-7B + mem. Comma-7B,bookmia.07.44,65,2.56223,2.54698,1
Comma-7B + mem. Comma-7B,bookmia.07.47,74,1.7589,1.71689,1
Comma-7B + mem. Comma-7B,bookmia.07.49,74,1.62418,1.62641,0
Comma-7B + mem. Comma-7B,bookmia.07.53,74,2.19943,2.22845,0
Comma-7B + mem. Comma-7B,bookmia.07.54,78,2.13679,2.08302,1
Comma-7B + mem. Comma-7B,bookmia.07.55,70,2.30822,2.32398,0
Comma-7B + mem. Comma-7B,bookmia.07.56,70,2.07674,2.11722,0
Comma-7B + mem. Comma-7B,bookmia.07.57,68,2.56959,2.55248,1
Comma-7B + mem. Comma-7B,bookmia.07.59,70,1.92919,1.89968,1
Comma-7B + mem. Comma-7B,bookmia.07.61,68,2.88126,2.80402,1
Comma-7B + mem. Comma-7B,bookmia.07.62,71,2.75747,2.76427,0
Comma-7B + mem. Comma-7B,bookmia.07.63,74,2.29187,2.15908,1
Comma-7B + mem. Comma-7B,bookmia.07.66,69,1.98551,2.02711,0
Comma-7B + mem. Comma-7B,bookmia.07.70,70,2.70071,2.39478,1
Comma-7B + mem. Comma-7B,bookmia.07.72,70,2.18887,2.19741,0
Comma-7B + mem. Comma-7B,bookmia.07.73,62,2.66269,2.62566,1
Comma-7B + mem. Comma-7B,bookmia.07.77,60,2.36359,2.39096,0
Comma-7B + mem. Comma-7B,bookmia.07.80,75,2.50926,2.42427,1
Pleias-350M + mem. Pleias-350M,bookmia.00.11,59,2.15591,1.99334,1
Pleias-350M + mem. Pleias-350M,bookmia.00.26,59,3.11203,2.48491,1
Pleias-350M + mem. Pleias-350M,bookmia.00.31,57,3.57282,3.58084,0
Pleias-350M + mem. Pleias-350M,bookmia.00.40,61,3.05209,2.9642,1
Pleias-350M + mem. Pleias-350M,bookmia.00.46,62,3.61825,3.07395,1
Pleias-350M + mem. Pleias-350M,bookmia.00.48,69,3.00985,2.62086,1
Pleias-350M + mem. Pleias-350M,bookmia.00.64,62,3.20118,3.02401,1
Pleias-350M + mem. Pleias-350M,bookmia.00.71,65,3.24746,3.04735,1
Pleias-350M + mem. Pleias-350M,bookmia.01.00,64,3.07528,2.92772,1
Pleias-350M + mem. Pleias-350M,bookmia.01.01,67,3.49627,3.50508,0
Pleias-350M + mem. Pleias-350M,bookmia.01.02,63,4.06844,3.86284,1
Pleias-350M + mem. Pleias-350M,bookmia.01.03,63,3.70019,3.46936,1
Pleias-350M + mem. Pleias-350M,bookmia.01.04,65,3.53685,3.5458,0
Pleias-350M + mem. Pleias-350M,bookmia.01.07,63,4.20536,4.05824,1
Pleias-350M + mem. Pleias-350M,bookmia.01.10,72,3.6828,3.18721,1
Pleias-350M + mem. Pleias-350M,bookmia.01.11,65,3.51938,3.30864,1
Pleias-350M + mem. Pleias-350M,bookmia.01.12,95,2.97588,2.81734,1
Pleias-350M + mem. Pleias-350M,bookmia.01.14,62,3.28683,3.23558,1
Pleias-350M + mem. Pleias-350M,bookmia.01.20,70,3.06491,3.04391,1
Pleias-350M + mem. Pleias-350M,bookmia.01.22,66,3.40754,3.32215,1
Pleias-350M + mem. Pleias-350M,bookmia.01.23,65,3.66987,3.50152,1
Pleias-350M + mem. Pleias-350M,bookmia.01.26,68,3.51647,3.3469,1
Pleias-350M + mem. Pleias-350M,bookmia.01.27,68,3.33058,3.3374,0
Pleias-350M + mem. Pleias-350M,bookmia.01.31,66,3.24451,2.96919,1
Pleias-350M + mem. Pleias-350M,bookmia.01.32,68,3.36796,3.3768,0
Pleias-350M + mem. Pleias-350M,bookmia.01.33,69,3.36806,3.37644,0
Pleias-350M + mem. Pleias-350M,bookmia.01.36,64,4.24091,3.83287,1
Pleias-350M + mem. Pleias-350M,bookmia.01.37,70,3.82563,3.19791,1
Pleias-350M + mem. Pleias-350M,bookmia.01.39,71,3.38809,3.37977,1
Pleias-350M + mem. Pleias-350M,bookmia.01.41,67,3.60635,3.61425,0
Pleias-350M + mem. Pleias-350M,bookmia.01.42,63,3.51465,3.45896,1
Pleias-350M + mem. Pleias-350M,bookmia.01.43,79,3.34187,2.97418,1
Pleias-350M + mem. Pleias-350M,bookmia.01.44,69,3.6071,3.17333,1
Pleias-350M + mem. Pleias-350M,bookmia.01.46,74,3.49043,3.49719,0
Pleias-350M + mem. Pleias-350M,bookmia.01.49,65,3.61477,3.39449,1
Pleias-350M + mem. Pleias-350M,bookmia.01.51,65,3.22867,2.75721,1
Pleias-350M + mem. Pleias-350M,bookmia.01.52,72,3.21282,2.9953,1
Pleias-350M + mem. Pleias-350M,bookmia.01.58,65,3.11012,3.05025,1
Pleias-350M + mem. Pleias-350M,bookmia.01.59,69,3.75099,3.4744,1
Pleias-350M + mem. Pleias-350M,bookmia.01.60,66,3.71059,3.28422,1
Pleias-350M + mem. Pleias-350M,bookmia.01.62,71,2.92676,2.78279,1
Pleias-350M + mem. Pleias-350M,bookmia.01.69,67,3.71603,3.72593,0
Pleias-350M + mem. Pleias-350M,bookmia.01.71,66,3.35708,3.36668,0
Pleias-350M + mem. Pleias-350M,bookmia.01.73,71,3.28663,2.83486,1
Pleias-350M + mem. Pleias-350M,bookmia.01.74,71,3.63235,3.2322,1
Pleias-350M + mem. Pleias-350M,bookmia.01.75,70,3.66403,3.57994,1
