pair,prompt_id,n_tokens,kbar,plug_in,kbar_gt_plug
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.76,72,2.5375,2.22294,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.77,67,3.00375,2.99854,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.78,67,2.96962,2.80168,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.79,70,3.03273,2.94674,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.81,60,2.61613,2.61827,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.82,69,2.85975,2.88243,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.83,71,3.11608,1.65033,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.87,71,3.3422,3.09618,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.88,62,2.83689,2.71416,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.89,69,2.96361,2.84142,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.90,71,2.80391,2.33215,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.97,64,2.79059,2.58081,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.02,53,2.63164,2.4365,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.03,65,3.37319,3.22947,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.04,63,3.7893,3.61448,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.05,63,3.95434,3.80589,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.06,61,2.86949,2.87168,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.07,64,3.07898,2.96679,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.08,71,2.36674,2.36896,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.09,67,3.31394,3.24417,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.15,70,3.09781,3.10012,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.16,61,3.43149,3.02438,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.17,62,3.23782,2.64677,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.20,62,3.56038,3.28164,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.24,59,2.32338,2.10153,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.25,61,3.53909,3.37356,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.26,62,3.26304,2.9979,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.28,70,2.95579,2.95765,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.29,60,3.45971,3.29003,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.30,59,3.7622,3.77315,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.31,65,2.92495,2.72782,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.32,70,3.09346,2.85522,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.37,58,3.34761,3.3493,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.40,62,2.32878,1.93513,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.41,64,3.59263,3.53074,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.43,65,3.18705,3.15407,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.44,58,3.45987,3.20622,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.47,60,2.43666,2.17638,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.49,62,2.38884,2.27693,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.53,68,2.82239,2.69399,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.54,61,3.14815,2.86487,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.55,60,2.9821,2.8945,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.56,62,2.96494,2.73789,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.57,62,3.12119,2.87955,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.59,59,2.81608,2.71415,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.61,58,3.68261,3.46017,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.62,66,3.21006,3.21428,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.63,65,3.11955,2.80397,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.66,64,2.65482,2.47758,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.70,63,3.44902,3.11491,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.72,63,2.73039,2.73336,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.73,60,3.17771,2.4695,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.77,57,2.9122,2.75165,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.07.80,71,3.1327,2.62478,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.00.11,114,1.36254,0.76394,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.00.26,133,1.73635,0.3487,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.00.31,122,2.0114,2.01512,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.00.40,128,1.73282,1.09181,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.00.46,132,2.0394,1.44163,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.00.48,131,2.07416,1.60636,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.00.64,143,1.81281,1.04967,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.00.71,137,1.90877,0.79627,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.00,130,2.21873,1.42987,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.01,139,2.09733,2.12071,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.02,126,2.58877,1.47967,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.03,126,2.18156,1.76372,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.04,133,2.22493,2.25319,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.07,141,2.25032,1.60591,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.10,142,2.14914,1.5893,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.11,140,2.12177,1.44944,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.12,176,2.07178,1.67628,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.14,127,1.81931,1.10683,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.20,141,2.08839,1.39683,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.22,132,2.09404,1.1526,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.23,143,1.81123,0.85576,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.26,131,2.05864,1.25143,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.27,128,2.63674,2.67052,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.31,140,1.98554,1.56314,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.32,140,2.27318,2.30883,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.33,138,2.23609,2.24117,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.36,143,2.28572,1.05042,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.37,133,2.45294,1.92589,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.39,128,2.31434,1.71169,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.41,136,1.96572,1.95785,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.42,132,2.11266,1.47154,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.43,155,2.30182,1.36225,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.44,130,2.27905,1.82243,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.46,145,2.33897,1.73285,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.49,135,2.11774,1.86423,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.51,134,1.85101,0.88472,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.52,146,2.07632,0.95533,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.58,135,1.94557,0.4022,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.59,134,2.33332,1.80995,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.60,145,2.00993,1.2876,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.62,135,2.18735,1.88737,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.69,139,2.32892,2.38509,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.71,134,2.14315,2.16004,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.73,147,1.62432,0.70812,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.74,134,2.21983,1.66503,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.75,137,2.15145,1.4836,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.76,137,1.9553,1.18931,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.77,148,1.88524,1.54613,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.78,143,1.9683,1.18109,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.79,147,2.16222,1.44103,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.81,130,1.68403,1.69213,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.82,139,2.07076,1.441,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.83,141,2.10449,1.15083,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.87,146,2.40263,1.65626,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.88,127,2.00197,1.19894,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.89,131,2.31302,1.04148,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.90,132,1.92593,1.42927,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.01.97,129,1.92853,1.12305,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.02,109,1.5777,0.90382,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.03,137,1.93761,1.30399,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.04,135,2.29388,1.53228,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.05,132,2.21828,1.67655,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.06,127,1.84132,1.85015,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.07,128,1.9012,1.18178,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.08,139,1.80792,1.81817,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.09,134,2.17926,1.39976,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.15,151,2.07861,2.08438,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.16,126,2.11786,1.41792,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.17,138,1.78657,0.72289,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.20,136,2.12936,1.21451,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.24,115,1.75998,1.19009,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.25,130,2.14864,1.96478,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.26,129,1.82251,1.60894,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.28,137,2.08398,2.10182,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.29,128,1.9875,1.51784,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.30,134,2.03831,2.04954,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.31,134,1.88877,1.32412,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.32,147,2.21527,1.16442,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.37,126,2.11203,2.12573,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.40,131,1.74679,1.24776,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.41,138,1.83714,1.38612,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.43,130,2.36636,1.29746,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.44,130,1.92236,0.618,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.47,132,1.44616,0.79023,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.49,137,1.59253,1.04595,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.53,147,1.67078,0.34332,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.54,125,2.02801,1.4696,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.55,125,1.99182,1.3675,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.56,138,1.7696,1.36877,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.57,129,1.82306,1.40944,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.59,132,1.72065,1.0879,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.61,129,1.97244,1.21209,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.62,143,2.26469,2.28341,0
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.63,129,2.03299,1.1205,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.66,135,1.73938,1.39322,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.70,130,1.9823,1.51645,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.72,140,2.13424,2.12331,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.73,134,1.95596,0.31576,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.77,122,1.72671,0.84987,1
KL3M-1.7B + mem. KL3M-1.7B,bookmia.07.80,154,2.17143,1.35413,1
KL3M-520M + mem. KL3M-520M,bookmia.00.11,114,1.71975,1.55609,1
KL3M-520M + mem. KL3M-520M,bookmia.00.26,133,1.86917,1.76368,1
KL3M-520M + mem. KL3M-520M,bookmia.00.31,122,2.11004,2.12127,0
KL3M-520M + mem. KL3M-520M,bookmia.00.40,128,1.92941,1.88665,1
KL3M-520M + mem. KL3M-520M,bookmia.00.46,132,2.41317,2.35578,1
KL3M-520M + mem. KL3M-520M,bookmia.00.48,131,2.29664,2.22403,1
KL3M-520M + mem. KL3M-520M,bookmia.00.64,143,1.98675,1.89102,1
KL3M-520M + mem. KL3M-520M,bookmia.00.71,137,2.17652,2.06733,1
KL3M-520M + mem. KL3M-520M,bookmia.01.00,130,2.52015,2.51796,1
KL3M-520M + mem. KL3M-520M,bookmia.01.01,139,2.41103,2.42925,0
KL3M-520M + mem. KL3M-520M,bookmia.01.02,126,2.69682,2.56877,1
KL3M-520M + mem. KL3M-520M,bookmia.01.03,126,2.36488,2.22867,1
KL3M-520M + mem. KL3M-520M,bookmia.01.04,133,2.42163,2.4348,0
KL3M-520M + mem. KL3M-520M,bookmia.01.07,141,2.68481,2.62958,1
KL3M-520M + mem. KL3M-520M,bookmia.01.10,142,2.39056,2.31772,1
KL3M-520M + mem. KL3M-520M,bookmia.01.11,140,2.32542,2.28688,1
KL3M-520M + mem. KL3M-520M,bookmia.01.12,176,2.24415,2.20598,1
KL3M-520M + mem. KL3M-520M,bookmia.01.14,127,2.08816,2.0131,1
KL3M-520M + mem. KL3M-520M,bookmia.01.20,141,2.2229,2.10922,1
KL3M-520M + mem. KL3M-520M,bookmia.01.22,132,2.35427,2.28519,1
KL3M-520M + mem. KL3M-520M,bookmia.01.23,143,2.05588,1.99076,1
KL3M-520M + mem. KL3M-520M,bookmia.01.26,131,2.41356,2.37252,1
KL3M-520M + mem. KL3M-520M,bookmia.01.27,128,2.83268,2.85036,0
KL3M-520M + mem. KL3M-520M,bookmia.01.31,140,2.31213,2.22359,1
KL3M-520M + mem. KL3M-520M,bookmia.01.32,140,2.60309,2.61936,0
KL3M-520M + mem. KL3M-520M,bookmia.01.33,138,2.61864,2.63501,0
KL3M-520M + mem. KL3M-520M,bookmia.01.36,143,2.42714,2.2669,1
KL3M-520M + mem. KL3M-520M,bookmia.01.37,133,2.73248,2.69223,1
KL3M-520M + mem. KL3M-520M,bookmia.01.39,128,2.62582,2.53524,1
KL3M-520M + mem. KL3M-520M,bookmia.01.41,136,2.55148,2.56577,0
KL3M-520M + mem. KL3M-520M,bookmia.01.42,132,2.39747,2.27084,1
KL3M-520M + mem. KL3M-520M,bookmia.01.43,155,2.49578,2.35288,1
KL3M-520M + mem. KL3M-520M,bookmia.01.44,130,2.55786,2.4982,1
KL3M-520M + mem. KL3M-520M,bookmia.01.46,145,2.57837,2.62301,0
KL3M-520M + mem. KL3M-520M,bookmia.01.49,135,2.38474,2.33336,1
KL3M-520M + mem. KL3M-520M,bookmia.01.51,134,1.96181,1.82725,1
KL3M-520M + mem. KL3M-520M,bookmia.01.52,146,2.64359,2.49851,1
KL3M-520M + mem. KL3M-520M,bookmia.01.58,135,2.21726,2.13915,1
KL3M-520M + mem. KL3M-520M,bookmia.01.59,134,2.52081,2.42702,1
KL3M-520M + mem. KL3M-520M,bookmia.01.60,145,2.18167,2.08817,1
KL3M-520M + mem. KL3M-520M,bookmia.01.62,135,2.37165,2.33041,1
KL3M-520M + mem. KL3M-520M,bookmia.01.69,139,2.6221,2.64,0
KL3M-520M + mem. KL3M-520M,bookmia.01.71,134,2.53753,2.54866,0
KL3M-520M + mem. KL3M-520M,bookmia.01.73,147,2.14306,2.06408,1
KL3M-520M + mem. KL3M-520M,bookmia.01.74,134,2.80842,2.7986,1
KL3M-520M + mem. KL3M-520M,bookmia.01.75,137,2.40407,2.33995,1
KL3M-520M + mem. KL3M-520M,bookmia.01.76,137,2.37363,2.31343,1
KL3M-520M + mem. KL3M-520M,bookmia.01.77,148,2.11667,1.93961,1
KL3M-520M + mem. KL3M-520M,bookmia.01.78,143,2.06786,2.04938,1
KL3M-520M + mem. KL3M-520M,bookmia.01.79,147,2.64493,2.59105,1
KL3M-520M + mem. KL3M-520M,bookmia.01.81,130,1.93695,1.95018,0
KL3M-520M + mem. KL3M-520M,bookmia.01.82,139,2.2596,2.20488,1
KL3M-520M + mem. KL3M-520M,bookmia.01.83,141,2.19266,2.09102,1
KL3M-520M + mem. KL3M-520M,bookmia.01.87,146,2.70493,2.68674,1
KL3M-520M + mem. KL3M-520M,bookmia.01.88,127,2.16768,2.13287,1
KL3M-520M + mem. KL3M-520M,bookmia.01.89,131,2.66483,2.62667,1
KL3M-520M + mem. KL3M-520M,bookmia.01.90,132,2.07527,2.03998,1
KL3M-520M + mem. KL3M-520M,bookmia.01.97,129,2.04411,1.96735,1
KL3M-520M + mem. KL3M-520M,bookmia.07.02,109,1.77597,1.7305,1
KL3M-520M + mem. KL3M-520M,bookmia.07.03,137,2.1327,2.075,1
KL3M-520M + mem. KL3M-520M,bookmia.07.04,135,2.47285,2.39785,1
KL3M-520M + mem. KL3M-520M,bookmia.07.05,132,2.40059,2.27141,1
KL3M-520M + mem. KL3M-520M,bookmia.07.06,127,2.02176,2.03329,0
KL3M-520M + mem. KL3M-520M,bookmia.07.07,128,2.03391,1.97212,1
KL3M-520M + mem. KL3M-520M,bookmia.07.08,139,2.28278,2.29422,0
KL3M-520M + mem. KL3M-520M,bookmia.07.09,134,2.27268,2.1615,1
KL3M-520M + mem. KL3M-520M,bookmia.07.15,151,2.35301,2.36532,0
KL3M-520M + mem. KL3M-520M,bookmia.07.16,126,2.21528,2.08133,1
KL3M-520M + mem. KL3M-520M,bookmia.07.17,138,1.92989,1.70263,1
KL3M-520M + mem. KL3M-520M,bookmia.07.20,136,2.32484,2.2175,1
KL3M-520M + mem. KL3M-520M,bookmia.07.24,115,1.95814,1.92445,1
KL3M-520M + mem. KL3M-520M,bookmia.07.25,130,2.28851,2.27382,1
KL3M-520M + mem. KL3M-520M,bookmia.07.26,129,2.07652,1.9596,1
KL3M-520M + mem. KL3M-520M,bookmia.07.28,137,2.44056,2.46101,0
KL3M-520M + mem. KL3M-520M,bookmia.07.29,128,2.34574,2.17568,1
KL3M-520M + mem. KL3M-520M,bookmia.07.30,134,2.18887,2.20446,0
KL3M-520M + mem. KL3M-520M,bookmia.07.31,134,2.22275,2.19032,1
KL3M-520M + mem. KL3M-520M,bookmia.07.32,147,2.67282,2.59253,1
KL3M-520M + mem. KL3M-520M,bookmia.07.37,126,2.19646,2.20383,0
KL3M-520M + mem. KL3M-520M,bookmia.07.40,131,1.94945,1.80616,1
KL3M-520M + mem. KL3M-520M,bookmia.07.41,138,2.30848,2.28333,1
KL3M-520M + mem. KL3M-520M,bookmia.07.43,130,2.6342,2.54442,1
KL3M-520M + mem. KL3M-520M,bookmia.07.44,130,2.1375,1.98918,1
KL3M-520M + mem. KL3M-520M,bookmia.07.47,132,1.80338,1.75401,1
KL3M-520M + mem. KL3M-520M,bookmia.07.49,137,2.08281,1.97656,1
KL3M-520M + mem. KL3M-520M,bookmia.07.53,147,1.9174,1.86687,1
KL3M-520M + mem. KL3M-520M,bookmia.07.54,125,2.08976,1.99351,1
KL3M-520M + mem. KL3M-520M,bookmia.07.55,125,2.16018,2.04132,1
KL3M-520M + mem. KL3M-520M,bookmia.07.56,138,2.09098,1.93156,1
KL3M-520M + mem. KL3M-520M,bookmia.07.57,129,2.10142,1.93132,1
KL3M-520M + mem. KL3M-520M,bookmia.07.59,132,1.78103,1.73249,1
KL3M-520M + mem. KL3M-520M,bookmia.07.61,129,2.11047,2.00289,1
KL3M-520M + mem. KL3M-520M,bookmia.07.62,143,2.48354,2.50187,0
KL3M-520M + mem. KL3M-520M,bookmia.07.63,129,2.1638,2.12198,1
KL3M-520M + mem. KL3M-520M,bookmia.07.66,135,2.23855,2.19153,1
KL3M-520M + mem. KL3M-520M,bookmia.07.70,130,2.23378,2.16273,1
KL3M-520M + mem. KL3M-520M,bookmia.07.72,140,2.39784,2.41297,0
KL3M-520M + mem. KL3M-520M,bookmia.07.73,134,2.09653,1.93004,1
KL3M-520M + mem. KL3M-520M,bookmia.07.77,122,1.88918,1.74039,1
KL3M-520M + mem. KL3M-520M,bookmia.07.80,154,2.32058,2.27494,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.00.11,62,1.70356,1.70004,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.00.26,65,2.60409,2.61124,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.00.31,58,2.55133,2.26209,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.00.40,64,2.28509,2.33237,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.00.46,63,2.77818,2.7875,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.00.48,73,2.33326,2.34224,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.00.64,65,2.30485,2.31831,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.00.71,67,1.89394,1.82949,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.00,72,1.6106,1.61795,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.01,75,2.31493,2.10746,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.02,68,3.20227,3.21608,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.03,67,2.73784,2.74901,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.04,74,2.5557,2.21509,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.07,69,2.78349,2.81784,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.10,77,2.84961,2.86203,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.11,66,2.69603,2.70362,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.12,101,2.37444,2.39006,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.14,64,2.65022,2.51997,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.20,71,2.32523,2.32307,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.22,71,2.75568,2.75235,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.23,70,2.64204,2.6466,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.26,67,2.59253,2.57529,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.27,79,2.56698,2.20914,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.31,69,2.40826,2.4212,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.32,71,2.5883,2.46692,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.33,76,2.41539,2.18768,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.36,68,3.3903,3.36411,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.37,75,2.30264,2.30946,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.39,71,2.90845,2.87701,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.41,68,2.6107,2.51105,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.42,66,3.17539,3.19266,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.43,87,2.01402,2.03061,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.44,68,2.67669,2.67745,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.46,79,2.84795,2.86238,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.49,68,2.43125,2.46221,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.51,65,2.49881,2.50499,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.52,73,2.36397,2.4334,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.58,66,2.28318,2.172,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.59,73,2.53822,2.57382,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.60,68,2.73486,2.73795,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.62,78,2.13998,2.15828,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.69,68,3.06545,3.01115,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.71,76,2.34304,2.27689,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.73,74,2.52299,2.51272,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.74,75,2.66249,2.60782,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.75,74,2.77436,2.79523,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.76,80,2.116,2.17049,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.77,68,2.00079,2.01368,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.78,71,2.50654,2.51391,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.79,76,2.4916,2.49829,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.81,62,2.19397,1.75758,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.82,72,2.40129,2.35138,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.83,79,2.553,2.3496,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.87,75,2.59311,2.61106,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.88,63,2.38083,2.38748,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.89,71,2.63826,2.68595,0
