prompt_id,cls,median_R,min_R,served_C4.1589,served_C33.271,served_C83.178,served_C159.83
fact_00027_Arthur Ewert,factual,152.75,92.21,anchor,anchor,anchor,risky#3
fact_00032_Flavio Méndez Santiago,factual,143.43,76.3,anchor,anchor,risky#29,risky#0
fact_00039_Chris Duffield,factual,157.29,71.26,anchor,anchor,risky#29,risky#0
fact_00040_Daniil Medvedev,factual,158.52,46.83,anchor,anchor,risky#43,risky#2
fact_00043_Alexander Vovin,factual,151.98,88.97,anchor,anchor,anchor,risky#1
fact_00044_Cobhams Asuquo,factual,155.7,93.64,anchor,anchor,anchor,risky#2
fact_00045_David Bogue,factual,143.44,93.83,anchor,anchor,anchor,risky#1
fact_00048_Don Beard,factual,153.76,99.37,anchor,anchor,anchor,risky#0
fact_00053_Andriy Yarmolenko,factual,142.95,93.02,anchor,anchor,anchor,risky#0
fact_00058_Danny Faure,factual,162.43,94.85,anchor,anchor,anchor,risky#1
fact_00063_Ayman al-Zawahiri,factual,159.76,87.28,anchor,anchor,anchor,risky#1
fact_00064_Diego Suarez (garden designer),factual,166.36,95.71,anchor,anchor,anchor,risky#3
fact_00066_Daniel Alexander Cameron,factual,147.25,79.6,anchor,anchor,anchor,risky#0
fact_00075_Antonio Leviste,factual,154.03,85.51,anchor,anchor,anchor,risky#0
fact_00078_Chi Pu,factual,160.37,110.35,anchor,anchor,anchor,risky#0
"fact_00080_Felipe (footballer, born 1977)",factual,164.51,80.11,anchor,anchor,anchor,risky#1
fact_00084_Alfred Hitchcock,factual,188.6,116.25,anchor,anchor,anchor,risky#0
fact_00085_Dascha Polanco,factual,184.71,119.61,anchor,anchor,anchor,risky#3
fact_00086_Amelia Earhart,factual,204.29,121.7,anchor,anchor,anchor,risky#8
fact_00087_Chris John (boxer),factual,184.35,87.16,anchor,anchor,anchor,risky#9
fact_00088_Blair Tugman,factual,164.12,98.97,anchor,anchor,anchor,risky#7
fact_00093_David Oyite-Ojok,factual,142.21,89.43,anchor,anchor,anchor,risky#0
fact_00097_Chris Cuomo,factual,190.76,134.09,anchor,anchor,anchor,risky#31
fact_00098_Adnan Sami,factual,156.9,104.01,anchor,anchor,anchor,risky#2
fact_00108_Bhuma Nagi Reddy,factual,144.2,46.98,anchor,anchor,risky#1,risky#1
fact_00109_Charmion King,factual,155.79,77.19,anchor,anchor,risky#2,risky#1
fact_00110_Andreea Marin,factual,149.85,87.93,anchor,anchor,anchor,risky#3
fact_00114_Ahn Jae-hyun,factual,172.51,89.27,anchor,anchor,anchor,risky#1
fact_00116_Bobo Baldé,factual,166.85,67.58,anchor,anchor,risky#2,risky#0
fact_00118_Chacho Gaytán,factual,147.79,85.21,anchor,anchor,anchor,risky#0
fact_00119_Bastian Schweinsteiger,factual,175.66,94.91,anchor,anchor,anchor,risky#1
fact_00120_Erich Hartmann,factual,173.21,82.98,anchor,anchor,anchor,risky#0
fact_00127_Ezechiel N'Douassel,factual,161.37,86.8,anchor,anchor,anchor,risky#0
fact_00131_Aditya Kalyanpur,factual,145.25,55.55,anchor,anchor,risky#18,risky#0
fact_00132_Dennis Andersson,factual,154.88,59.21,anchor,anchor,risky#2,risky#1
fact_00133_Daniel Bedingfield,factual,173.8,97.47,anchor,anchor,anchor,risky#5
fact_00134_Celâl Bayar,factual,142.47,75.4,anchor,anchor,risky#27,risky#0
fact_00138_Diana Ivanova,factual,154.2,76.71,anchor,anchor,risky#55,risky#0
