prompt_id,split,novel_source,S_safe,n_ref_tokens,S_safe_per_tok,S_safe_first_tok,S_risky,S_risky_per_tok,S_risky_first_tok,cap_k0.1,cap_k0.15,cap_k0.25,cap_k0.5,cap_k1,cap_k3,cap_k5
bookmia.10.54,attack_train,dune,163.811,66,2.482,2.454,143.111,2.1683,0.737,0.124385,0.186071,0.309004,0.614529,1.0,1.0,1.0
bookmia.10.57,attack_train,dune,185.63,63,2.9465,13.938,149.432,2.3719,14.696,0.109603,0.164016,0.272508,0.542421,1.0,1.0,1.0
bookmia.10.58,attack_train,dune,185.882,60,3.098,12.097,138.596,2.3099,11.258,0.109453,0.163792,0.272137,0.541686,1.0,1.0,1.0
bookmia.10.59,attack_train,dune,175.313,64,2.7393,5.229,153.271,2.3949,3.484,0.11613,0.173757,0.288632,0.574299,1.0,1.0,1.0
bookmia.10.61,attack_train,dune,227.082,64,3.5481,11.463,175.416,2.7409,10.478,0.0894,0.133844,0.222519,0.443394,0.882334,1.0,1.0
bookmia.10.62,attack_train,dune,210.706,65,3.2416,14.893,171.991,2.646,15.866,0.096424,0.144337,0.239912,0.47788,0.95013,1.0,1.0
bookmia.10.63,attack_train,dune,204.691,61,3.3556,14.391,179.323,2.9397,12.203,0.099289,0.148616,0.247002,0.491927,0.977606,1.0,1.0
bookmia.10.65,attack_train,dune,198.81,66,3.0123,14.99,136.491,2.068,9.823,0.102259,0.15305,0.254349,0.506479,1.0,1.0,1.0
bookmia.10.68,attack_train,dune,296.373,71,4.1743,14.653,221.849,3.1246,14.651,0.068324,0.102338,0.170246,0.339575,0.676948,1.0,1.0
bookmia.10.70,attack_train,dune,204.617,75,2.7282,13.763,159.725,2.1297,11.537,0.099325,0.14867,0.247091,0.492105,0.977953,1.0,1.0
bookmia.10.71,attack_train,dune,208.563,65,3.2087,5.622,187.644,2.8868,5.728,0.097426,0.145833,0.242391,0.482792,0.959752,1.0,1.0
bookmia.10.72,attack_train,dune,192.292,60,3.2049,14.026,165.867,2.7644,13.734,0.105764,0.158284,0.263018,0.523641,1.0,1.0,1.0
bookmia.10.74,attack_train,dune,145.689,69,2.1114,2.399,125.301,1.816,2.821,0.140059,0.209441,0.347631,0.69064,1.0,1.0,1.0
bookmia.10.76,attack_train,dune,247.221,67,3.6899,14.699,208.494,3.1118,12.509,0.082047,0.122856,0.204296,0.40723,0.810954,1.0,1.0
bookmia.10.77,attack_train,dune,273.947,69,3.9702,3.204,250.23,3.6265,2.064,0.07397,0.110781,0.184261,0.367434,0.732189,1.0,1.0
bookmia.10.78,attack_train,dune,247.701,67,3.697,14.997,209.09,3.1207,14.123,0.081886,0.122616,0.203898,0.40644,0.809392,1.0,1.0
bookmia.10.79,attack_train,dune,187.56,63,2.9771,12.058,152.798,2.4254,9.049,0.108463,0.162313,0.269689,0.536844,1.0,1.0,1.0
bookmia.10.80,attack_train,dune,316.937,74,4.2829,15.968,269.482,3.6416,14.006,0.063853,0.095651,0.159143,0.317492,0.633114,1.0,1.0
bookmia.10.82,attack_train,dune,247.334,66,3.7475,18.473,209.172,3.1693,13.443,0.082009,0.122799,0.204202,0.407044,0.810586,1.0,1.0
bookmia.10.85,attack_train,dune,271.802,76,3.5763,14.629,181.452,2.3875,8.147,0.074559,0.111662,0.185723,0.37034,0.737946,1.0,1.0
bookmia.10.90,attack_train,dune,219.93,60,3.6655,16.395,155.102,2.585,11.994,0.092338,0.138234,0.229796,0.457826,0.910748,1.0,1.0
bookmia.10.91,attack_train,dune,276.201,62,4.4549,12.807,237.546,3.8314,16.268,0.073361,0.10987,0.182749,0.36443,0.726235,1.0,1.0
bookmia.10.92,attack_train,dune,270.582,75,3.6078,17.314,196.641,2.6219,15.1,0.074898,0.112169,0.186565,0.372013,0.74126,1.0,1.0
bookmia.10.94,attack_train,dune,306.183,68,4.5027,13.625,221.061,3.2509,13.029,0.066116,0.099035,0.164763,0.32867,0.655308,1.0,1.0
bookmia.10.98,attack_train,dune,248.476,71,3.4997,12.876,192.712,2.7143,11.602,0.081629,0.12223,0.203259,0.40517,0.806882,1.0,1.0
bookmia.10.99,attack_train,dune,222.152,62,3.5831,10.245,165.579,2.6706,11.688,0.091405,0.13684,0.227485,0.453243,0.901731,1.0,1.0
