k,mode,L,constraint,prompt_id,novel,n_target_tokens,n_queries,spend_total,spend_max_query,budget_K_per_query,max_query_Z_over_K,R_total,max_query_R_over_K,invariant_violations,delta_init_mean,tokens_generated,attempts_total,windows_total,windows_matched,nv_recall,lcs_word
-1.0,single,0,kl,bookmia.07.07,casino_royale,295,1,0.0,0.0,-345.0,,541.912,,0,8.262,345,1,1,0,0.3624,79
-1.0,single,0,kl,bookmia.07.08,casino_royale,306,1,0.0,0.0,-345.0,,742.292,,0,11.098,345,1,1,0,1.0,207
-1.0,single,0,kl,bookmia.07.09,casino_royale,317,1,0.0,0.0,-345.0,,469.355,,0,7.412,345,1,1,0,0.0,15
-1.0,single,0,kl,bookmia.07.15,casino_royale,308,1,0.0,0.0,-345.0,,662.21,,0,7.458,345,1,1,0,0.6866,149
-1.0,single,0,kl,bookmia.07.16,casino_royale,287,1,0.0,0.0,-345.0,,769.84,,0,7.727,345,1,1,0,1.0,215
-1.0,single,0,kl,bookmia.07.17,casino_royale,309,1,0.0,0.0,-345.0,,862.24,,0,7.186,345,1,1,0,1.0,206
-1.0,single,0,kl,bookmia.07.20,casino_royale,307,1,0.0,0.0,-345.0,,895.32,,0,8.337,345,1,1,0,0.9954,127
-1.0,single,0,kl,bookmia.07.24,casino_royale,287,1,0.0,0.0,-345.0,,726.191,,0,8.052,345,1,1,0,1.0,140
-1.0,single,0,kl,bookmia.07.25,casino_royale,326,1,0.0,0.0,-345.0,,920.692,,0,9.458,345,1,1,0,1.0,214
-1.0,single,0,kl,bookmia.07.26,casino_royale,301,1,0.0,0.0,-345.0,,685.935,,0,10.523,345,1,1,0,0.5787,125
-1.0,single,0,kl,bookmia.07.28,casino_royale,303,1,0.0,0.0,-345.0,,796.373,,0,10.215,345,1,1,0,1.0,218
-1.0,single,0,kl,bookmia.07.29,casino_royale,304,1,0.0,0.0,-345.0,,580.553,,0,8.401,345,1,1,0,0.2524,53
-1.0,single,0,kl,bookmia.07.30,casino_royale,289,1,0.0,0.0,-345.0,,857.593,,0,7.725,345,1,1,0,1.0,204
-1.0,single,0,kl,bookmia.07.31,casino_royale,320,1,0.0,0.0,-345.0,,781.015,,0,9.591,345,1,1,0,1.0,208
-1.0,single,0,kl,bookmia.07.32,casino_royale,291,1,0.0,0.0,-345.0,,478.795,,0,8.893,345,1,1,0,0.1611,34
-1.0,single,0,kl,bookmia.07.37,casino_royale,313,1,0.0,0.0,-345.0,,485.551,,0,10.057,345,1,1,0,0.0,3
-1.0,single,0,kl,bookmia.07.40,casino_royale,293,1,0.0,0.0,-345.0,,771.528,,0,8.366,345,1,1,0,0.9949,194
-1.0,single,0,kl,bookmia.07.41,casino_royale,290,1,0.0,0.0,-345.0,,623.221,,0,9.931,345,1,1,0,0.4417,91
-1.0,single,0,kl,bookmia.07.43,casino_royale,278,1,0.0,0.0,-345.0,,746.435,,0,7.991,345,1,1,0,0.9632,160
-1.0,single,0,kl,bookmia.07.44,casino_royale,309,1,0.0,0.0,-345.0,,797.905,,0,8.996,345,1,1,0,1.0,180
-1.0,single,0,kl,bookmia.07.47,casino_royale,301,1,0.0,0.0,-345.0,,564.888,,0,7.545,345,1,1,0,0.1364,27
-1.0,single,0,kl,bookmia.07.49,casino_royale,304,1,0.0,0.0,-345.0,,525.771,,0,8.384,345,1,1,0,0.3206,67
-1.0,single,0,kl,bookmia.07.53,casino_royale,304,1,0.0,0.0,-345.0,,764.604,,0,9.153,345,1,1,0,1.0,212
-1.0,single,0,kl,bookmia.07.54,casino_royale,319,1,0.0,0.0,-345.0,,659.605,,0,9.543,345,1,1,0,0.6849,121
-1.0,single,0,kl,bookmia.07.55,casino_royale,297,1,0.0,0.0,-345.0,,373.452,,0,7.069,345,1,1,0,0.0,7
-1.0,single,0,kl,bookmia.07.56,casino_royale,295,1,0.0,0.0,-345.0,,656.968,,0,8.403,345,1,1,0,0.6733,96
-1.0,single,0,kl,bookmia.07.57,casino_royale,297,1,0.0,0.0,-345.0,,852.297,,0,8.291,345,1,1,0,0.7464,156
-1.0,single,0,kl,bookmia.07.59,casino_royale,319,1,0.0,0.0,-345.0,,736.141,,0,9.652,345,1,1,0,1.0,222
-1.0,single,0,kl,bookmia.07.61,casino_royale,305,1,0.0,0.0,-345.0,,896.849,,0,7.934,345,1,1,0,0.8537,118
-1.0,single,0,kl,bookmia.07.62,casino_royale,295,1,0.0,0.0,-345.0,,526.884,,0,9.165,345,1,1,0,0.11,15
-1.0,single,0,kl,bookmia.07.63,casino_royale,277,1,0.0,0.0,-345.0,,735.484,,0,9.106,345,1,1,0,1.0,198
-1.0,single,0,kl,bookmia.07.66,casino_royale,302,1,0.0,0.0,-345.0,,800.367,,0,8.993,345,1,1,0,1.0,214
-1.0,single,0,kl,bookmia.07.70,casino_royale,269,1,0.0,0.0,-345.0,,505.681,,0,7.684,345,1,1,0,0.2653,52
-1.0,single,0,kl,bookmia.07.72,casino_royale,293,1,0.0,0.0,-345.0,,530.64,,0,7.656,345,1,1,0,0.407,81
-1.0,single,0,kl,bookmia.07.73,casino_royale,293,1,0.0,0.0,-345.0,,459.732,,0,7.369,345,1,1,0,0.1063,22
-1.0,single,0,kl,bookmia.07.77,casino_royale,281,1,0.0,0.0,-345.0,,590.733,,0,8.028,345,1,1,0,0.2767,57
-1.0,single,0,kl,bookmia.07.80,casino_royale,287,1,0.0,0.0,-345.0,,571.35,,0,8.952,345,1,1,0,0.3529,70
-1.0,oracle,20,kl,bookmia.00.11,1984,285,15,0.0,0.0,-20.0,,593.704,,0,9.968,300,15,15,14,1.0,205
-1.0,oracle,20,kl,bookmia.00.26,1984,287,15,0.0,0.0,-20.0,,636.194,,0,10.121,300,15,15,14,1.0,211
-1.0,oracle,20,kl,bookmia.00.31,1984,272,14,0.0,0.0,-20.0,,603.242,,0,9.343,280,14,14,11,0.9529,133
-1.0,oracle,20,kl,bookmia.00.40,1984,295,15,0.0,0.0,-20.0,,709.067,,0,9.819,300,15,15,13,0.9855,150
-1.0,oracle,20,kl,bookmia.00.46,1984,293,15,0.0,0.0,-20.0,,701.48,,0,10.382,300,15,15,14,1.0,214
-1.0,oracle,20,kl,bookmia.00.48,1984,314,16,0.0,0.0,-20.0,,673.249,,0,9.958,320,16,16,14,1.0,186
-1.0,oracle,20,kl,bookmia.00.64,1984,308,16,0.0,0.0,-20.0,,642.902,,0,10.584,320,16,16,15,1.0,219
-1.0,oracle,20,kl,bookmia.00.71,1984,325,17,0.0,0.0,-20.0,,722.637,,0,11.357,340,17,17,16,1.0,214
-1.0,oracle,20,kl,bookmia.01.00,a_game_of_thrones,334,17,0.0,0.0,-20.0,,714.089,,0,10.903,340,17,17,16,0.9953,213
-1.0,oracle,20,kl,bookmia.01.01,a_game_of_thrones,345,18,0.0,0.0,-20.0,,811.268,,0,11.699,360,18,18,16,1.0,166
-1.0,oracle,20,kl,bookmia.01.02,a_game_of_thrones,300,15,0.0,0.0,-20.0,,766.885,,0,10.388,300,15,15,14,0.945,133
-1.0,oracle,20,kl,bookmia.01.03,a_game_of_thrones,287,15,0.0,0.0,-20.0,,719.777,,0,9.33,300,15,15,12,0.9196,106
-1.0,oracle,20,kl,bookmia.01.04,a_game_of_thrones,309,16,0.0,0.0,-20.0,,799.21,,0,10.073,320,16,16,13,0.9565,161
-1.0,oracle,20,kl,bookmia.01.07,a_game_of_thrones,315,16,0.0,0.0,-20.0,,782.987,,0,10.27,320,16,16,14,0.9486,203
-1.0,oracle,20,kl,bookmia.01.10,a_game_of_thrones,305,16,0.0,0.0,-20.0,,761.182,,0,9.93,320,16,16,14,1.0,158
-1.0,oracle,20,kl,bookmia.01.11,a_game_of_thrones,299,15,0.0,0.0,-20.0,,595.818,,0,10.065,300,15,15,14,1.0,211
-1.0,oracle,20,kl,bookmia.01.12,a_game_of_thrones,319,16,0.0,0.0,-20.0,,759.1,,0,9.982,320,16,16,15,1.0,212
-1.0,oracle,20,kl,bookmia.01.14,a_game_of_thrones,291,15,0.0,0.0,-20.0,,702.207,,0,10.711,300,15,15,14,1.0,200
-1.0,oracle,20,kl,bookmia.01.20,a_game_of_thrones,328,17,0.0,0.0,-20.0,,668.506,,0,10.187,340,17,17,12,0.7353,77
-1.0,oracle,20,kl,bookmia.01.22,a_game_of_thrones,312,16,0.0,0.0,-20.0,,754.203,,0,10.802,320,16,16,14,0.9704,104
-1.0,oracle,20,kl,bookmia.01.23,a_game_of_thrones,288,15,0.0,0.0,-20.0,,673.545,,0,9.435,300,15,15,12,0.8595,111
-1.0,oracle,20,kl,bookmia.01.26,a_game_of_thrones,298,15,0.0,0.0,-20.0,,689.942,,0,11.927,300,15,15,13,1.0,165
-1.0,oracle,20,kl,bookmia.01.27,a_game_of_thrones,285,15,0.0,0.0,-20.0,,716.533,,0,10.557,300,15,15,13,1.0,108
-1.0,oracle,20,kl,bookmia.01.31,a_game_of_thrones,289,15,0.0,0.0,-20.0,,707.85,,0,10.684,300,15,15,13,0.9082,178
-1.0,oracle,20,kl,bookmia.01.32,a_game_of_thrones,306,16,0.0,0.0,-20.0,,812.018,,0,11.26,320,16,16,13,1.0,104
-1.0,oracle,20,kl,bookmia.01.33,a_game_of_thrones,315,16,0.0,0.0,-20.0,,847.98,,0,12.525,320,16,16,14,1.0,182
