prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.01.88,a_game_of_thrones,0.0,0.1538,0.6156,0.7641,0.863,0,243,0.7538,147,0.8596,0.7538,0.8596,0.7538,147,0.8596,0.759,0.863,0.7538,147,0.8596,0.759,0.863,0.7538,147,0.8596,0.7641,0.863
bookmia.01.89,a_game_of_thrones,0.7317,0.8451,0.2004,0.7512,0.8556,0,240,0.1902,39,0.3398,0.1902,0.3398,0.6488,96,0.7753,0.6488,0.7753,0.7073,51,0.8011,0.7073,0.8011,0.7512,113,0.8556,0.7512,0.8556
bookmia.01.90,a_game_of_thrones,0.7876,0.8653,0.5711,0.8187,0.8971,56,223,0.8135,148,0.88,0.8135,0.88,0.8135,157,0.8971,0.8135,0.8971,0.8135,157,0.8971,0.8187,0.8971,0.8135,157,0.8971,0.8187,0.8971
bookmia.01.97,a_game_of_thrones,0.0,0.1864,0.5599,0.7302,0.8415,0,249,0.7302,130,0.8354,0.7302,0.8354,0.7302,138,0.8415,0.7302,0.8415,0.7302,138,0.8415,0.7302,0.8415,0.7302,138,0.8415,0.7302,0.8415
bookmia.07.02,casino_royale,0.8177,0.8997,0.6608,0.8227,0.8997,75,236,0.6847,139,0.7935,0.6847,0.7935,0.8128,90,0.8889,0.8128,0.8889,0.8177,166,0.8997,0.8177,0.8997,0.8177,166,0.8997,0.8227,0.8997
bookmia.07.03,casino_royale,0.5735,0.6898,0.4527,0.7156,0.8182,0,235,0.0948,10,0.263,0.0948,0.263,0.5166,99,0.6327,0.5166,0.6415,0.0,13,0.2071,0.5166,0.75,0.0,17,0.2168,0.7156,0.8182
bookmia.07.04,casino_royale,0.1132,0.2381,0.2564,0.7594,0.848,0,248,0.1179,25,0.2191,0.1179,0.2191,0.3255,25,0.4297,0.3255,0.4297,0.7217,105,0.8427,0.7358,0.8427,0.7217,105,0.8427,0.7594,0.848
bookmia.07.05,casino_royale,0.7368,0.8352,0.1753,0.6986,0.7944,0,225,0.2967,40,0.3926,0.2967,0.3926,0.2967,40,0.3926,0.2967,0.3926,0.1914,40,0.303,0.3684,0.5121,0.6986,43,0.7944,0.6986,0.7944
bookmia.07.06,casino_royale,0.7436,0.8612,0.7218,0.8205,0.8983,195,241,0.8154,159,0.8983,0.8154,0.8983,0.8154,159,0.8983,0.8154,0.8983,0.8154,159,0.8983,0.8205,0.8983,0.8154,159,0.8983,0.8205,0.8983
bookmia.07.07,casino_royale,0.0,0.1463,0.5427,0.7361,0.8051,0,254,0.5972,82,0.6886,0.5972,0.6886,0.5972,129,0.7139,0.5972,0.7139,0.5972,129,0.6886,0.5972,0.7212,0.7361,69,0.8051,0.7361,0.8051
