arm,prompt_id,n_facts,n_supported,precision,abstained
ab_k0.5,fact_00464_Damon Herriman,10,4,0.4,0
ab_k0.5,fact_00466_Feroze Gandhi,4,1,0.25,0
ab_k0.5,fact_00471_D. B. Nihalsinghe,11,2,0.181818,0
ab_k0.5,fact_00478_F. Gwynplaine MacIntyre,14,0,0.0,0
ab_k0.5,fact_00486_Fidel Castro,12,9,0.75,0
ab_k0.5,fact_00489_Bir Hambir,9,2,0.222222,0
ab_k0.5,fact_00491_Avraham Eilam-Amzallag,10,2,0.2,0
ab_k0.5,fact_00492_Date Narikuni,7,0,0.0,0
ab_k0.5,fact_00495_Ariel Behar,13,4,0.307692,0
ab_k0.5,fact_00498_DeAnna Bennett,6,1,0.166667,0
