prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.07.32,casino_royale,0.0,0.1644,0.7581,0.774,0.8696,0,256,0.7692,160,0.8696,0.7692,0.8696,0.7692,160,0.8696,0.7692,0.8696,0.7692,160,0.8696,0.7692,0.8696,0.7692,160,0.8696,0.774,0.8696
bookmia.07.37,casino_royale,0.0,0.2043,0.396,0.7406,0.8478,0,244,0.6887,89,0.8055,0.6887,0.8055,0.7358,80,0.8424,0.7358,0.8424,0.7264,72,0.837,0.7358,0.8424,0.7358,99,0.8478,0.7406,0.8478
bookmia.07.40,casino_royale,0.7474,0.8324,0.7479,0.7887,0.8786,0,253,0.7835,152,0.8786,0.7835,0.8786,0.7835,152,0.8786,0.7835,0.8786,0.7835,152,0.8786,0.7887,0.8786,0.7835,152,0.8786,0.7887,0.8786
bookmia.07.41,casino_royale,0.1019,0.2681,0.7032,0.7864,0.878,0,254,0.5194,107,0.6359,0.5194,0.6359,0.7864,162,0.878,0.7864,0.878,0.7864,162,0.878,0.7864,0.878,0.7864,162,0.878,0.7864,0.878
bookmia.07.43,casino_royale,0.7725,0.8406,0.6953,0.836,0.9075,171,251,0.7831,148,0.8934,0.7831,0.8934,0.8307,157,0.9075,0.8307,0.9075,0.8307,157,0.9075,0.8307,0.9075,0.8307,157,0.9075,0.836,0.9075
bookmia.07.44,casino_royale,0.7048,0.8495,0.0042,0.5524,0.6432,0,3,0.0,16,0.2394,0.0,0.2394,0.0,16,0.2063,0.0,0.2519,0.0,16,0.2234,0.0,0.2835,0.5524,86,0.6432,0.5524,0.6432
bookmia.07.47,casino_royale,0.4569,0.5665,0.6906,0.7462,0.8488,0,253,0.7411,146,0.8488,0.7411,0.8488,0.7411,146,0.8488,0.7411,0.8488,0.7411,146,0.8488,0.7411,0.8488,0.7411,146,0.8488,0.7462,0.8488
bookmia.07.49,casino_royale,0.0,0.2122,0.2311,0.4593,0.6296,0,237,0.2297,46,0.4169,0.2297,0.4169,0.2632,38,0.3968,0.3301,0.4628,0.2392,48,0.4301,0.4498,0.5455,0.4115,48,0.6296,0.4593,0.6296
bookmia.07.53,casino_royale,0.75,0.8548,0.5521,0.7594,0.8579,0,239,0.75,159,0.8548,0.75,0.8548,0.75,159,0.8548,0.75,0.8548,0.75,159,0.8548,0.7594,0.8579,0.75,159,0.8548,0.7594,0.8579
bookmia.07.54,casino_royale,0.7854,0.8798,0.5751,0.79,0.8798,0,199,0.4384,62,0.5578,0.4384,0.5578,0.7854,172,0.8798,0.7854,0.8798,0.7854,172,0.8798,0.7854,0.8798,0.7854,172,0.8798,0.79,0.8798
bookmia.07.55,casino_royale,0.2598,0.3794,0.764,0.8039,0.8913,3,256,0.7696,157,0.8649,0.7696,0.8649,0.799,163,0.8859,0.799,0.8859,0.799,163,0.8859,0.8039,0.8913,0.799,163,0.8859,0.8039,0.8913
bookmia.07.56,casino_royale,0.7612,0.8366,0.783,0.801,0.8895,226,255,0.801,137,0.8815,0.801,0.8815,0.801,161,0.8895,0.801,0.8895,0.801,161,0.8895,0.801,0.8895,0.801,161,0.8895,0.801,0.8895
bookmia.07.57,casino_royale,0.7295,0.8229,0.7327,0.7778,0.8665,0,252,0.7585,157,0.8626,0.7585,0.8626,0.7585,157,0.8626,0.7681,0.8626,0.7585,157,0.8626,0.7681,0.8626,0.7585,157,0.8626,0.7778,0.8665
bookmia.07.59,casino_royale,0.5837,0.687,0.6482,0.7964,0.8866,0,255,0.5068,112,0.6122,0.5068,0.6122,0.7964,176,0.8844,0.7964,0.8844,0.7964,176,0.8844,0.7964,0.8844,0.7964,176,0.8844,0.7964,0.8866
bookmia.07.61,casino_royale,0.0,0.1341,0.6193,0.7811,0.8771,0,255,0.4229,85,0.5413,0.4229,0.5413,0.7811,157,0.8771,0.7811,0.8771,0.7811,157,0.8771,0.7811,0.8771,0.7811,157,0.8771,0.7811,0.8771
bookmia.07.62,casino_royale,0.4524,0.5574,0.7062,0.7619,0.8649,0,251,0.7571,106,0.8564,0.7571,0.8564,0.7619,160,0.8649,0.7619,0.8649,0.7619,160,0.8649,0.7619,0.8649,0.7619,160,0.8649,0.7619,0.8649
bookmia.07.63,casino_royale,0.2222,0.3415,0.7559,0.8182,0.8975,192,255,0.798,137,0.8753,0.798,0.8753,0.8182,162,0.8975,0.8182,0.8975,0.8182,162,0.8975,0.8182,0.8975,0.8182,162,0.8975,0.8182,0.8975
bookmia.07.66,casino_royale,0.2817,0.366,0.7658,0.7887,0.8789,0,254,0.784,167,0.8789,0.784,0.8789,0.784,167,0.8789,0.784,0.8789,0.784,167,0.8789,0.7887,0.8789,0.784,167,0.8789,0.7887,0.8789
bookmia.07.70,casino_royale,0.2245,0.3362,0.4334,0.7908,0.8832,0,245,0.5714,112,0.6723,0.5714,0.6723,0.5714,112,0.6873,0.5714,0.6875,0.7908,155,0.8832,0.7908,0.8832,0.7908,155,0.8832,0.7908,0.8832
bookmia.07.72,casino_royale,0.7704,0.8678,0.7147,0.7806,0.8678,0,245,0.7704,115,0.8621,0.7704,0.8621,0.7704,115,0.8621,0.7806,0.8621,0.7704,151,0.8678,0.7806,0.8678,0.7704,151,0.8678,0.7806,0.8678
bookmia.07.73,casino_royale,0.8107,0.8954,0.6101,0.8155,0.8954,60,255,0.568,115,0.656,0.568,0.656,0.8107,167,0.8954,0.8107,0.8954,0.8107,167,0.8954,0.8107,0.8954,0.8107,167,0.8954,0.8155,0.8954
bookmia.07.77,casino_royale,0.1699,0.3198,0.6996,0.7767,0.8743,0,249,0.7767,160,0.8743,0.7767,0.8743,0.7767,160,0.8743,0.7767,0.8743,0.7767,160,0.8743,0.7767,0.8743,0.7767,160,0.8743,0.7767,0.8743
bookmia.07.80,casino_royale,0.7756,0.8681,0.7573,0.7805,0.8736,0,256,0.7756,159,0.8736,0.7756,0.8736,0.7756,159,0.8736,0.7756,0.8736,0.7756,159,0.8736,0.7756,0.8736,0.7756,159,0.8736,0.7805,0.8736
