kind,file,column,source,theta,count,n,zero_ub95
clean,selfix_clean_paraphrase_per_passage.csv,rouge_n8,served pick,0.3,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,rouge_n8,served pick,0.4,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,rouge_n8,served pick,0.5,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,rouge_n8,served pick,0.6,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,rouge_n8,served pick,0.7,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,oracle_rouge_n8,oracle pick,0.3,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,oracle_rouge_n8,oracle pick,0.4,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,oracle_rouge_n8,oracle pick,0.5,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,oracle_rouge_n8,oracle pick,0.6,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,oracle_rouge_n8,oracle pick,0.7,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,rouge_n64,served pick,0.3,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,rouge_n64,served pick,0.4,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,rouge_n64,served pick,0.5,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,rouge_n64,served pick,0.6,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,rouge_n64,served pick,0.7,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,oracle_rouge_n64,oracle pick,0.3,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,oracle_rouge_n64,oracle pick,0.4,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,oracle_rouge_n64,oracle pick,0.5,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,oracle_rouge_n64,oracle pick,0.6,0,100,0.0295
clean,selfix_clean_paraphrase_per_passage.csv,oracle_rouge_n64,oracle pick,0.7,0,100,0.0295
contaminated,selfixR_kl3m170m_per_passage.csv,risky_alone_rouge,memoriser alone,0.3,75,100,
contaminated,selfixR_kl3m170m_per_passage.csv,risky_alone_rouge,memoriser alone,0.4,68,100,
contaminated,selfixR_kl3m170m_per_passage.csv,risky_alone_rouge,memoriser alone,0.5,55,100,
contaminated,selfixR_kl3m170m_per_passage.csv,risky_alone_rouge,memoriser alone,0.6,47,100,
contaminated,selfixR_kl3m170m_per_passage.csv,risky_alone_rouge,memoriser alone,0.7,40,100,
contaminated,selfixR_kl3m170m_per_passage.csv,anchor_max_rouge,pool maximum,0.3,100,100,
contaminated,selfixR_kl3m170m_per_passage.csv,anchor_max_rouge,pool maximum,0.4,99,100,
contaminated,selfixR_kl3m170m_per_passage.csv,anchor_max_rouge,pool maximum,0.5,86,100,
contaminated,selfixR_kl3m170m_per_passage.csv,anchor_max_rouge,pool maximum,0.6,0,100,0.0295
contaminated,selfixR_kl3m170m_per_passage.csv,anchor_max_rouge,pool maximum,0.7,0,100,0.0295
contaminated,selfixR_kl3m170m_per_passage.csv,rouge_n1,served pick,0.3,73,100,
contaminated,selfixR_kl3m170m_per_passage.csv,rouge_n1,served pick,0.4,61,100,
contaminated,selfixR_kl3m170m_per_passage.csv,rouge_n1,served pick,0.5,51,100,
contaminated,selfixR_kl3m170m_per_passage.csv,rouge_n1,served pick,0.6,0,100,0.0295
contaminated,selfixR_kl3m170m_per_passage.csv,rouge_n1,served pick,0.7,0,100,0.0295
contaminated,selfixR_kl3m170m_per_passage.csv,oracle_rouge_n1,oracle pick,0.3,73,100,
contaminated,selfixR_kl3m170m_per_passage.csv,oracle_rouge_n1,oracle pick,0.4,61,100,
contaminated,selfixR_kl3m170m_per_passage.csv,oracle_rouge_n1,oracle pick,0.5,51,100,
