temperature,repetition_penalty,k,K,n,vacuous_pct,cap_median,S_per_tok_median,S_total_median
0.5,1.1,1.0,200.0,758,6.33,0.7224,4.302,277.7
0.5,1.1,1.5,300.0,758,69.13,1.0,4.302,277.7
0.5,1.1,3.0,600.0,758,100.0,1.0,4.302,277.7
0.5,1.1,5.0,1000.0,758,100.0,1.0,4.302,277.7
0.5,1.1,10.0,2000.0,758,100.0,1.0,4.302,277.7
0.5,1.1,20.0,4000.0,758,100.0,1.0,4.302,277.7
0.7,1.0,0.1,20.0,758,0.0,0.0885,3.5834,229.3
0.7,1.0,0.15,30.0,758,0.0,0.1326,3.5834,229.3
0.7,1.0,0.25,50.0,758,0.0,0.2204,3.5834,229.3
0.7,1.0,0.5,100.0,758,0.0,0.4391,3.5834,229.3
0.7,1.0,1.0,200.0,758,21.9,0.8739,3.5834,229.3
0.7,1.0,1.5,300.0,758,93.4,1.0,3.5834,229.3
0.7,1.0,3.0,600.0,758,100.0,1.0,3.5834,229.3
0.7,1.0,5.0,1000.0,758,100.0,1.0,3.5834,229.3
0.7,1.0,10.0,2000.0,758,100.0,1.0,3.5834,229.3
0.7,1.0,20.0,4000.0,758,100.0,1.0,3.5834,229.3
0.7,1.1,0.1,20.0,758,0.0,0.0891,3.5523,227.7
0.7,1.1,0.15,30.0,758,0.0,0.1335,3.5523,227.7
0.7,1.1,0.25,50.0,758,0.0,0.2219,3.5523,227.7
0.7,1.1,0.5,100.0,758,0.0,0.4421,3.5523,227.7
0.7,1.1,1.0,200.0,758,22.56,0.8798,3.5523,227.7
0.7,1.1,1.5,300.0,758,94.33,1.0,3.5523,227.7
0.7,1.1,3.0,600.0,758,100.0,1.0,3.5523,227.7
0.7,1.1,5.0,1000.0,758,100.0,1.0,3.5523,227.7
0.7,1.1,10.0,2000.0,758,100.0,1.0,3.5523,227.7
0.7,1.1,20.0,4000.0,758,100.0,1.0,3.5523,227.7
1.0,1.0,0.1,20.0,758,0.0,0.0993,3.2005,204.7
1.0,1.0,0.15,30.0,758,0.0,0.1486,3.2005,204.7
1.0,1.0,0.25,50.0,758,0.0,0.247,3.2005,204.7
1.0,1.0,0.5,100.0,758,0.0,0.4919,3.2005,204.7
1.0,1.0,1.0,200.0,758,43.93,0.9775,3.2005,204.7
1.0,1.0,1.5,300.0,758,98.94,1.0,3.2005,204.7
1.0,1.0,3.0,600.0,758,100.0,1.0,3.2005,204.7
1.0,1.0,5.0,1000.0,758,100.0,1.0,3.2005,204.7
1.0,1.0,10.0,2000.0,758,100.0,1.0,3.2005,204.7
1.0,1.0,20.0,4000.0,758,100.0,1.0,3.2005,204.7
1.0,1.1,0.1,20.0,758,0.0,0.0957,3.314,212.3
1.0,1.1,0.15,30.0,758,0.0,0.1432,3.314,212.3
1.0,1.1,0.25,50.0,758,0.0,0.2381,3.314,212.3
1.0,1.1,0.5,100.0,758,0.0,0.4743,3.314,212.3
1.0,1.1,1.0,200.0,758,34.43,0.9431,3.314,212.3
1.0,1.1,1.5,300.0,758,98.68,1.0,3.314,212.3
1.0,1.1,3.0,600.0,758,100.0,1.0,3.314,212.3
1.0,1.1,5.0,1000.0,758,100.0,1.0,3.314,212.3
1.0,1.1,10.0,2000.0,758,100.0,1.0,3.314,212.3
1.0,1.1,20.0,4000.0,758,100.0,1.0,3.314,212.3
