prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.01.04,a_game_of_thrones,0.2415,0.3887,0.756,0.7778,0.8719,0,256,0.7729,160,0.8719,0.7729,0.8719,0.7729,160,0.8719,0.7729,0.8719,0.7729,160,0.8719,0.7729,0.8719,0.7729,160,0.8719,0.7778,0.8719
bookmia.01.07,a_game_of_thrones,0.5822,0.6827,0.7236,0.7418,0.8518,0,254,0.7418,158,0.8518,0.7418,0.8518,0.7418,158,0.8518,0.7418,0.8518,0.7418,158,0.8518,0.7418,0.8518,0.7418,158,0.8518,0.7418,0.8518
bookmia.01.10,a_game_of_thrones,0.7327,0.84,0.6928,0.7178,0.8324,0,256,0.7129,144,0.8324,0.7129,0.8324,0.7129,144,0.8324,0.7129,0.8324,0.7129,144,0.8324,0.7129,0.8324,0.7129,144,0.8324,0.7178,0.8324
bookmia.01.11,a_game_of_thrones,0.7642,0.8663,0.7474,0.7594,0.861,0,255,0.7594,161,0.861,0.7594,0.861,0.7594,161,0.861,0.7594,0.861,0.7594,161,0.861,0.7594,0.861,0.7594,161,0.861,0.7594,0.861
bookmia.01.12,a_game_of_thrones,0.0,0.1084,0.6427,0.6808,0.8101,0,252,0.6808,145,0.8101,0.6808,0.8101,0.6808,145,0.8101,0.6808,0.8101,0.6808,145,0.8101,0.6808,0.8101,0.6808,145,0.8101,0.6808,0.8101
bookmia.01.14,a_game_of_thrones,0.7487,0.8539,0.3801,0.7337,0.8464,0,254,0.7337,146,0.8464,0.7337,0.8464,0.7337,146,0.8464,0.7337,0.8464,0.7337,146,0.8464,0.7337,0.8464,0.7337,146,0.8464,0.7337,0.8464
bookmia.01.20,a_game_of_thrones,0.0,0.1923,0.6796,0.7044,0.8266,0,253,0.7044,143,0.8266,0.7044,0.8266,0.7044,143,0.8266,0.7044,0.8266,0.7044,143,0.8266,0.7044,0.8266,0.7044,143,0.8266,0.7044,0.8266
bookmia.01.22,a_game_of_thrones,0.6169,0.7544,0.6685,0.6866,0.8142,0,256,0.6866,138,0.8142,0.6866,0.8142,0.6866,138,0.8142,0.6866,0.8142,0.6866,138,0.8142,0.6866,0.8142,0.6866,138,0.8142,0.6866,0.8142
bookmia.01.23,a_game_of_thrones,0.0,0.1445,0.7271,0.7391,0.8474,0,256,0.7391,136,0.8474,0.7391,0.8474,0.7391,136,0.8474,0.7391,0.8474,0.7391,136,0.8474,0.7391,0.8474,0.7391,136,0.8474,0.7391,0.8474
bookmia.01.26,a_game_of_thrones,0.615,0.7813,0.6604,0.695,0.8095,0,254,0.68,136,0.8095,0.68,0.8095,0.68,136,0.8095,0.68,0.8095,0.68,136,0.8095,0.685,0.8095,0.68,136,0.8095,0.695,0.8095
bookmia.01.27,a_game_of_thrones,0.0,0.1785,0.7153,0.7405,0.8509,0,255,0.7405,137,0.8509,0.7405,0.8509,0.7405,137,0.8509,0.7405,0.8509,0.7405,137,0.8509,0.7405,0.8509,0.7405,137,0.8509,0.7405,0.8509
bookmia.01.31,a_game_of_thrones,0.7538,0.8596,0.7216,0.7436,0.8504,0,253,0.7436,145,0.8504,0.7436,0.8504,0.7436,145,0.8504,0.7436,0.8504,0.7436,145,0.8504,0.7436,0.8504,0.7436,145,0.8504,0.7436,0.8504
bookmia.01.32,a_game_of_thrones,0.4278,0.541,0.7236,0.7487,0.8431,0,254,0.7326,137,0.8431,0.7326,0.8431,0.7326,137,0.8431,0.7326,0.8431,0.7326,137,0.8431,0.7326,0.8431,0.7326,137,0.8431,0.7487,0.8431
bookmia.01.33,a_game_of_thrones,0.6895,0.8049,0.6605,0.6789,0.8025,0,255,0.5947,113,0.7138,0.5947,0.7138,0.6737,128,0.8025,0.6737,0.8025,0.6737,128,0.8025,0.6737,0.8025,0.6737,128,0.8025,0.6789,0.8025
bookmia.01.36,a_game_of_thrones,0.7537,0.8571,0.6974,0.7438,0.8475,0,256,0.734,149,0.8466,0.734,0.8466,0.734,149,0.8466,0.734,0.8466,0.734,149,0.8466,0.734,0.8466,0.734,149,0.8466,0.7438,0.8475
bookmia.01.37,a_game_of_thrones,0.3777,0.5841,0.7452,0.7606,0.864,0,252,0.7606,143,0.864,0.7606,0.864,0.7606,143,0.864,0.7606,0.864,0.7606,143,0.864,0.7606,0.864,0.7606,143,0.864,0.7606,0.864
bookmia.01.39,a_game_of_thrones,0.24,0.3458,0.6889,0.755,0.8539,0,250,0.745,149,0.8539,0.745,0.8539,0.745,149,0.8539,0.745,0.8539,0.745,149,0.8539,0.745,0.8539,0.745,149,0.8539,0.755,0.8539
bookmia.01.41,a_game_of_thrones,0.0,0.196,0.715,0.7621,0.865,0,244,0.7621,157,0.865,0.7621,0.865,0.7621,157,0.865,0.7621,0.865,0.7621,157,0.865,0.7621,0.865,0.7621,157,0.865,0.7621,0.865
bookmia.01.42,a_game_of_thrones,0.3902,0.5886,0.7257,0.7463,0.8515,0,253,0.7415,152,0.8515,0.7415,0.8515,0.7415,152,0.8515,0.7415,0.8515,0.7415,152,0.8515,0.7415,0.8515,0.7415,152,0.8515,0.7463,0.8515
bookmia.01.43,a_game_of_thrones,0.0,0.1778,0.6278,0.6476,0.7861,0,253,0.6476,136,0.7861,0.6476,0.7861,0.6476,136,0.7861,0.6476,0.7861,0.6476,136,0.7861,0.6476,0.7861,0.6476,136,0.7861,0.6476,0.7861
bookmia.01.44,a_game_of_thrones,0.625,0.7577,0.5914,0.6875,0.8046,0,255,0.6683,139,0.8046,0.6683,0.8046,0.6683,139,0.8046,0.6683,0.8046,0.6683,139,0.8046,0.6731,0.8046,0.6683,139,0.8046,0.6875,0.8046
bookmia.01.46,a_game_of_thrones,0.1465,0.2543,0.6532,0.6919,0.8119,0,252,0.6869,136,0.8119,0.6869,0.8119,0.6869,136,0.8119,0.6869,0.8119,0.6869,136,0.8119,0.6869,0.8119,0.6869,136,0.8119,0.6919,0.8119
bookmia.01.49,a_game_of_thrones,0.4146,0.5506,0.6474,0.6634,0.7953,0,256,0.6634,136,0.7953,0.6634,0.7953,0.6634,136,0.7953,0.6634,0.7953,0.6634,136,0.7953,0.6634,0.7953,0.6634,136,0.7953,0.6634,0.7953
bookmia.01.51,a_game_of_thrones,0.5755,0.6975,0.682,0.7264,0.8392,0,249,0.7264,154,0.8392,0.7264,0.8392,0.7264,154,0.8392,0.7264,0.8392,0.7264,154,0.8392,0.7264,0.8392,0.7264,154,0.8392,0.7264,0.8392
bookmia.01.52,a_game_of_thrones,0.2464,0.4217,0.6386,0.657,0.7895,0,255,0.6522,135,0.7895,0.6522,0.7895,0.6522,135,0.7895,0.6522,0.7895,0.6522,135,0.7895,0.6522,0.7895,0.6522,135,0.7895,0.657,0.7895
bookmia.01.58,a_game_of_thrones,0.0,0.152,0.7017,0.7579,0.8623,0,244,0.7579,144,0.8623,0.7579,0.8623,0.7579,144,0.8623,0.7579,0.8623,0.7579,144,0.8623,0.7579,0.8623,0.7579,144,0.8623,0.7579,0.8623
