prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,rouge_n1
bookmia100unseen.54.005,alex_hay_the_housekeepers,0.0,0.0969,0.0,0.0,0.0,2,0.0969
bookmia100unseen.55.005,blowback,0.0,0.1337,0.0,0.0,0.0,2,0.1337
bookmia100unseen.56.005,christina lauren _ the true love experiment,0.0,0.1235,0.0,0.0,0.0,2,0.1235
bookmia100unseen.58.005,confidence__a_novel,0.0,0.1404,0.0,0.0,0.0,2,0.1404
bookmia100unseen.59.005,costanza_casati_clytemnestra,0.0,0.1059,0.0,0.0,0.0,2,0.1059
bookmia100unseen.64.006,happy place,0.0,0.0959,0.0,0.0,0.0,2,0.0959
bookmia100unseen.67.005,how to sell a haunted house,0.0,0.1247,0.0,0.0,0.0,2,0.1247
bookmia100unseen.68.005,i_have_some_questions_for_you,0.0,0.0645,0.0,0.0,0.0,2,0.0645
bookmia100unseen.69.006,in the lives of puppets,0.0,0.0983,0.0,0.0,0.0,2,0.0983
bookmia100unseen.72.007,katherine_center_hello_stranger,0.0,0.1084,0.0,0.0,0.0,2,0.1084
bookmia100unseen.73.005,kika_hatzopoulou_threads_that_bi,0.0,0.1058,0.0,0.0,0.0,2,0.1058
bookmia100unseen.74.005,kristy_woodson_harvey_the_summer_of_songbirds,0.0,0.1314,0.0,0.0,0.0,2,0.1314
bookmia100unseen.75.005,lisa_see_lady_tan_s_circle_of_women,0.0,0.0548,0.0,0.0,0.0,1,0.0548
bookmia100unseen.76.005,love theoretically,0.0,0.1156,0.0,0.0,0.0,2,0.1156
bookmia100unseen.79.005,quietly_hostile,0.0,0.0989,0.0,0.0,0.0,1,0.0989
bookmia100unseen.83.005,romantic_comedy,0.0,0.115,0.0,0.0,0.0,2,0.115
bookmia100unseen.99.005,spare,0.0,0.0577,0.0,0.0,0.0,1,0.0577
bookmia100unseen.85.005,talia_hibbert_highly_suspicious,0.0,0.1129,0.0,0.0,0.0,2,0.1129
bookmia100unseen.87.005,the foxglove king,0.0,0.1235,0.0,0.0,0.0,2,0.1235
bookmia100unseen.90.005,the_lost_bookshop,0.0,0.0997,0.0,0.0,0.0,2,0.0997
bookmia100unseen.92.005,the_scorched_throne_1_sara_hashe,0.0,0.1009,0.0,0.0,0.0,1,0.1009
bookmia100unseen.93.005,the_silver_ladies_do_lunch,0.0,0.1076,0.0,0.0,0.0,2,0.1076
bookmia100unseen.96.005,we_could_be_so good,0.0,0.1479,0.0,0.0,0.0,2,0.1479
bookmia100unseen.97.005,what_dreams_may_come,0.0,0.1262,0.0,0.0,0.0,2,0.1262
bookmia100unseen.98.005,yellowface,0.0,0.0678,0.0,0.0,0.0,1,0.0678
bookmia100unseen.50.006,a day of fallen night,0.0,0.0751,0.0,0.0,0.0,1,0.0751
bookmia100unseen.53.006,after death,0.0,0.1129,0.0,0.0,0.0,2,0.1129
bookmia100unseen.54.006,alex_hay_the_housekeepers,0.0,0.1362,0.0,0.0,0.0,2,0.1362
bookmia100unseen.55.006,blowback,0.0,0.1217,0.0,0.0,0.0,2,0.1217
bookmia100unseen.56.006,christina lauren _ the true love experiment,0.0,0.1015,0.0,0.0,0.0,2,0.1015
bookmia100unseen.58.006,confidence__a_novel,0.0,0.0981,0.0,0.0,0.0,2,0.0981
bookmia100unseen.59.006,costanza_casati_clytemnestra,0.0,0.1265,0.0,0.0,0.0,2,0.1265
bookmia100unseen.64.007,happy place,0.0,0.1176,0.0,0.0,0.0,2,0.1176
bookmia100unseen.67.006,how to sell a haunted house,0.0,0.1059,0.0,0.0,0.0,3,0.1059
bookmia100unseen.68.006,i_have_some_questions_for_you,0.0,0.0847,0.0,0.0,0.0,1,0.0847
bookmia100unseen.69.007,in the lives of puppets,0.0,0.0875,0.0,0.0,0.0,2,0.0875
bookmia100unseen.72.008,katherine_center_hello_stranger,0.0,0.0531,0.0,0.0,0.0,1,0.0531
bookmia100unseen.73.006,kika_hatzopoulou_threads_that_bi,0.0,0.1043,0.0,0.0,0.0,1,0.1043
bookmia100unseen.74.006,kristy_woodson_harvey_the_summer_of_songbirds,0.0,0.0937,0.0,0.0,0.0,1,0.0937
bookmia100unseen.75.006,lisa_see_lady_tan_s_circle_of_women,0.0,0.0377,0.0,0.0,0.0,1,0.0377
bookmia100unseen.76.006,love theoretically,0.0,0.0375,0.0,0.0,0.0,1,0.0375
bookmia100unseen.79.006,quietly_hostile,0.0,0.0579,0.0,0.0,0.0,1,0.0579
bookmia100unseen.83.006,romantic_comedy,0.0,0.0716,0.0,0.0,0.0,2,0.0716
bookmia100unseen.99.006,spare,0.0,0.1053,0.0,0.0,0.0,2,0.1053
bookmia100unseen.85.006,talia_hibbert_highly_suspicious,0.0,0.0278,0.0,0.0,0.0,1,0.0278
bookmia100unseen.87.006,the foxglove king,0.0,0.1075,0.0,0.0,0.0,2,0.1075
bookmia100unseen.90.006,the_lost_bookshop,0.0,0.119,0.0,0.0,0.0,2,0.119
bookmia100unseen.92.006,the_scorched_throne_1_sara_hashe,0.0,0.1231,0.0,0.0,0.0,2,0.1231
bookmia100unseen.93.006,the_silver_ladies_do_lunch,0.0,0.1407,0.0,0.0,0.0,2,0.1407
bookmia100unseen.96.006,we_could_be_so good,0.0,0.0728,0.0,0.0,0.0,2,0.0728
bookmia100unseen.97.006,what_dreams_may_come,0.0,0.0804,0.0,0.0,0.0,1,0.0804
bookmia100unseen.98.006,yellowface,0.0,0.1009,0.0,0.0,0.0,1,0.1009
bookmia100unseen.50.007,a day of fallen night,0.0,0.0983,0.0,0.0,0.0,2,0.0983
bookmia100unseen.53.007,after death,0.0,0.0669,0.0,0.0,0.0,2,0.0669
bookmia100unseen.54.007,alex_hay_the_housekeepers,0.0,0.0628,0.0,0.0,0.0,2,0.0628
bookmia100unseen.55.007,blowback,0.0,0.1022,0.0,0.0,0.0,2,0.1022
bookmia100unseen.56.007,christina lauren _ the true love experiment,0.0,0.0348,0.0,0.0,0.0,1,0.0348
bookmia100unseen.58.007,confidence__a_novel,0.0,0.0926,0.0,0.0,0.0,1,0.0926
bookmia100unseen.59.007,costanza_casati_clytemnestra,0.0,0.0943,0.0,0.0,0.0,2,0.0943
bookmia100unseen.64.008,happy place,0.0,0.0746,0.0,0.0,0.0,2,0.0746
bookmia100unseen.67.007,how to sell a haunted house,0.0,0.1264,0.0,0.0,0.0,2,0.1264
bookmia100unseen.68.007,i_have_some_questions_for_you,0.0,0.0485,0.0,0.0,0.0,1,0.0485
bookmia100unseen.69.008,in the lives of puppets,0.0,0.1102,0.0,0.0,0.0,2,0.1102
bookmia100unseen.72.009,katherine_center_hello_stranger,0.0,0.0769,0.0,0.0,0.0,2,0.0769
bookmia100unseen.73.007,kika_hatzopoulou_threads_that_bi,0.0,0.1271,0.0,0.0,0.0,2,0.1271
bookmia100unseen.74.007,kristy_woodson_harvey_the_summer_of_songbirds,0.0,0.1097,0.0,0.0,0.0,2,0.1097
bookmia100unseen.75.007,lisa_see_lady_tan_s_circle_of_women,0.0,0.124,0.0,0.0,0.0,2,0.124
bookmia100unseen.76.007,love theoretically,0.0,0.1212,0.0,0.0,0.0,2,0.1212
bookmia100unseen.79.007,quietly_hostile,0.0,0.0815,0.0,0.0,0.0,1,0.0815
bookmia100unseen.83.007,romantic_comedy,0.0,0.0733,0.0,0.0,0.0,2,0.0733
bookmia100unseen.99.007,spare,0.0,0.0625,0.0,0.0,0.0,1,0.0625
bookmia100unseen.85.007,talia_hibbert_highly_suspicious,0.0,0.1096,0.0,0.0,0.0,2,0.1096
bookmia100unseen.87.007,the foxglove king,0.0,0.1023,0.0,0.0,0.0,2,0.1023
bookmia100unseen.90.007,the_lost_bookshop,0.0,0.1183,0.0,0.0,0.0,2,0.1183
bookmia100unseen.92.007,the_scorched_throne_1_sara_hashe,0.0,0.0738,0.0,0.0,0.0,2,0.0738
bookmia100unseen.93.007,the_silver_ladies_do_lunch,0.0,0.0914,0.0,0.0,0.0,2,0.0914
bookmia100unseen.96.007,we_could_be_so good,0.0,0.0958,0.0,0.0,0.0,1,0.0958
bookmia100unseen.97.007,what_dreams_may_come,0.0,0.0855,0.0,0.0,0.0,2,0.0855
bookmia100unseen.98.007,yellowface,0.0,0.1163,0.0,0.0,0.0,2,0.1163
bookmia100unseen.50.008,a day of fallen night,0.0,0.1092,0.0,0.0,0.0,2,0.1092
bookmia100unseen.53.008,after death,0.0,0.1094,0.0,0.0,0.0,2,0.1094
bookmia100unseen.54.008,alex_hay_the_housekeepers,0.0,0.1143,0.0,0.0,0.0,2,0.1143
bookmia100unseen.55.008,blowback,0.0,0.0991,0.0,0.0,0.0,2,0.0991
bookmia100unseen.56.008,christina lauren _ the true love experiment,0.0,0.1163,0.0,0.0,0.0,2,0.1163
bookmia100unseen.58.008,confidence__a_novel,0.0,0.1289,0.0,0.0,0.0,2,0.1289
bookmia100unseen.59.008,costanza_casati_clytemnestra,0.0,0.1018,0.0,0.0,0.0,1,0.1018
bookmia100unseen.64.009,happy place,0.0,0.0361,0.0,0.0,0.0,1,0.0361
bookmia100unseen.67.008,how to sell a haunted house,0.0,0.116,0.0,0.0,0.0,2,0.116
bookmia100unseen.68.008,i_have_some_questions_for_you,0.0,0.1559,0.0,0.0,0.0,2,0.1559
bookmia100unseen.69.009,in the lives of puppets,0.0,0.1056,0.0,0.0,0.0,2,0.1056
bookmia100unseen.72.010,katherine_center_hello_stranger,0.0,0.0772,0.0,0.0,0.0,1,0.0772
bookmia100unseen.73.008,kika_hatzopoulou_threads_that_bi,0.0,0.1043,0.0,0.0,0.0,3,0.1043
bookmia100unseen.74.008,kristy_woodson_harvey_the_summer_of_songbirds,0.0,0.0952,0.0,0.0,0.0,2,0.0952
bookmia100unseen.75.008,lisa_see_lady_tan_s_circle_of_women,0.0,0.128,0.0,0.0,0.0,2,0.128
bookmia100unseen.76.008,love theoretically,0.0,0.0992,0.0,0.0,0.0,2,0.0992
bookmia100unseen.79.008,quietly_hostile,0.0,0.088,0.0,0.0,0.0,2,0.088
bookmia100unseen.83.008,romantic_comedy,0.0,0.1146,0.0,0.0,0.0,1,0.1146
bookmia100unseen.99.008,spare,0.0,0.0,0.0,0.0,0.0,0,0.0
bookmia100unseen.85.008,talia_hibbert_highly_suspicious,0.0,0.0203,0.0,0.0,0.0,2,0.0203
bookmia100unseen.87.008,the foxglove king,0.0,0.0928,0.0,0.0,0.0,2,0.0928
bookmia100unseen.90.008,the_lost_bookshop,0.0,0.1102,0.0,0.0,0.0,2,0.1102
bookmia100unseen.92.008,the_scorched_throne_1_sara_hashe,0.0,0.1193,0.0,0.0,0.0,2,0.1193
bookmia100unseen.93.008,the_silver_ladies_do_lunch,0.0,0.1027,0.0,0.0,0.0,2,0.1027
bookmia100unseen.96.008,we_could_be_so good,0.0,0.1081,0.0,0.0,0.0,2,0.1081
bookmia100unseen.97.008,what_dreams_may_come,0.0,0.1167,0.0,0.0,0.0,3,0.1167
bookmia100unseen.98.008,yellowface,0.0,0.1157,0.0,0.0,0.0,2,0.1157
bookmia100unseen.50.009,a day of fallen night,0.0,0.0606,0.0,0.0,0.0,1,0.0606
bookmia100unseen.53.009,after death,0.0,0.0374,0.0,0.0,0.0,1,0.0374
bookmia100unseen.54.009,alex_hay_the_housekeepers,0.0,0.1212,0.0,0.0,0.0,2,0.1212
bookmia100unseen.55.009,blowback,0.0,0.1237,0.0,0.0,0.0,2,0.1237
bookmia100unseen.56.009,christina lauren _ the true love experiment,0.0,0.1201,0.0,0.0,0.0,2,0.1201
bookmia100unseen.58.009,confidence__a_novel,0.0,0.1294,0.0,0.0,0.0,2,0.1294
bookmia100unseen.59.009,costanza_casati_clytemnestra,0.0,0.1089,0.0,0.0,0.0,2,0.1089
bookmia100unseen.64.010,happy place,0.0,0.0767,0.0,0.0,0.0,1,0.0767
bookmia100unseen.67.009,how to sell a haunted house,0.0,0.1222,0.0,0.0,0.0,2,0.1222
bookmia100unseen.68.009,i_have_some_questions_for_you,0.0,0.1274,0.0,0.0,0.0,2,0.1274
bookmia100unseen.69.010,in the lives of puppets,0.0,0.105,0.0,0.0,0.0,3,0.105
bookmia100unseen.72.011,katherine_center_hello_stranger,0.0,0.0189,0.0,0.0,0.0,1,0.0189
bookmia100unseen.73.009,kika_hatzopoulou_threads_that_bi,0.0,0.1049,0.0,0.0,0.0,2,0.1049
bookmia100unseen.74.009,kristy_woodson_harvey_the_summer_of_songbirds,0.0,0.0855,0.0,0.0,0.0,2,0.0855
bookmia100unseen.75.009,lisa_see_lady_tan_s_circle_of_women,0.0,0.129,0.0,0.0,0.0,2,0.129
bookmia100unseen.76.009,love theoretically,0.0,0.1108,0.0,0.0,0.0,2,0.1108
bookmia100unseen.79.009,quietly_hostile,0.0,0.088,0.0,0.0,0.0,3,0.088
bookmia100unseen.83.009,romantic_comedy,0.0,0.0762,0.0,0.0,0.0,2,0.0762
bookmia100unseen.99.009,spare,0.0,0.1818,0.0,0.0,0.0,2,0.1818
bookmia100unseen.85.009,talia_hibbert_highly_suspicious,0.0,0.0826,0.0,0.0,0.0,1,0.0826
bookmia100unseen.87.009,the foxglove king,0.0,0.1017,0.0,0.0,0.0,2,0.1017
bookmia100unseen.90.009,the_lost_bookshop,0.0,0.0914,0.0,0.0,0.0,2,0.0914
bookmia100unseen.92.009,the_scorched_throne_1_sara_hashe,0.0,0.1196,0.0,0.0,0.0,2,0.1196
