prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,k_crit,k_crit_eta,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.01.32,a_game_of_thrones,306,8.805,794.11,2.5951,2.7973,14.461,6.565,11.3415,10.3947,0,0,0.0,0.1699,69,0.0,0,0,0.0,0.317,18,0.0,0,0,0.0,0.4706,9,0.0,0,0,0.9346,0.9739,3,0.0,0,0,0.9935,0.9935,2,0.0,0,0,0.9967,0.9967,1,0.6543,1,1,1.0,1.0,0,0.6543
bookmia.01.33,a_game_of_thrones,315,9.487,840.76,2.6691,3.0018,17.988,6.665,14.6711,13.4595,0,0,0.0,0.1619,69,0.0,0,0,0.0,0.3333,19,0.0,0,0,0.0,0.4762,16,0.0,0,0,0.9492,0.9619,5,0.0,0,0,0.9524,0.9841,3,0.0,0,0,0.9968,0.9968,1,0.0,1,1,1.0,1.0,0,0.0
bookmia.01.36,a_game_of_thrones,309,9.009,706.85,2.2876,2.4825,10.696,6.074,12.9009,11.8186,0,0,0.0,0.2071,65,0.0,0,0,0.0,0.3819,18,0.0,0,0,0.0,0.5243,13,0.0,0,0,0.9806,0.9838,3,0.0,0,0,0.9935,0.9935,2,0.0,0,0,0.9968,0.9968,1,0.9752,1,1,1.0,1.0,0,0.9752
bookmia.01.37,a_game_of_thrones,297,9.786,651.28,2.1929,2.3868,11.269,5.416,19.9092,18.2038,0,0,0.0,0.202,69,0.0,0,0,0.0,0.3569,24,0.0,0,0,0.0,0.5286,10,0.0,0,0,0.9192,0.9798,3,0.0,0,0,0.9933,0.9933,2,0.0,0,0,0.9966,0.9966,1,0.0,1,1,1.0,1.0,0,0.0
bookmia.01.39,a_game_of_thrones,289,8.644,800.64,2.7704,2.6587,13.901,6.301,14.9446,13.6214,0,0,0.0,0.1315,58,0.0,0,0,0.0,0.2111,19,0.0,0,0,0.0,0.3564,8,0.0,0,0,0.9446,0.9689,4,0.0,0,0,0.9896,0.9896,3,0.0,0,0,0.9965,0.9965,1,1.0,1,1,1.0,1.0,0,1.0
bookmia.01.41,a_game_of_thrones,315,7.988,678.27,2.1532,2.481,11.621,5.736,8.1307,7.4232,0,0,0.0,0.2508,58,0.0,0,0,0.0,0.4095,21,0.0,0,0,0.0,0.5492,21,0.0,0,0,0.9333,0.9714,2,0.0,0,0,0.9937,0.9937,2,0.0,1,1,1.0,1.0,0,0.1401,1,1,1.0,1.0,0,0.1401
bookmia.01.42,a_game_of_thrones,296,8.909,741.9,2.5064,2.575,13.699,5.689,15.5087,14.1556,0,0,0.0,0.1824,85,0.0,0,0,0.0,0.2804,18,0.0,0,0,0.0,0.4291,14,0.0,0,0,0.9628,0.9696,4,0.0,0,0,0.9966,0.9966,1,0.0,0,0,0.9966,0.9966,1,0.0,1,1,1.0,1.0,0,0.1691
bookmia.01.43,a_game_of_thrones,341,8.031,871.84,2.5567,2.675,11.042,6.64,13.035,11.8415,0,0,0.0,0.1877,62,0.0,0,0,0.0,0.3255,21,0.0,0,0,0.0,0.4751,11,0.0,0,0,0.9677,0.9765,3,0.0,0,0,0.9941,0.9941,2,0.0,0,0,0.9971,0.9971,1,0.0,1,1,1.0,1.0,0,0.0
bookmia.01.44,a_game_of_thrones,326,8.2,778.56,2.3882,2.604,11.963,5.815,8.3529,7.6445,0,0,0.0,0.2025,56,0.0,0,0,0.0,0.3466,20,0.0,0,0,0.0,0.4847,8,0.0,0,0,0.911,0.954,6,0.0,0,0,0.9816,0.9908,1,1.0,1,1,1.0,1.0,0,0.756,1,1,1.0,1.0,0,0.756
bookmia.01.46,a_game_of_thrones,300,10.242,801.47,2.6716,2.8621,14.094,6.865,21.7699,19.9239,0,0,0.0,0.18,80,0.0,0,0,0.0,0.2967,21,0.0,0,0,0.0,0.49,15,0.0,0,0,0.78,0.92,4,0.0,0,0,0.9933,0.9933,2,0.0,0,0,0.9967,0.9967,1,0.0,0,1,0.9967,0.9967,1,0.3586
