source,k,split,L_over_K
released,1.0,attack_train,1.14111
released,1.0,attack_train,0.83338
released,1.0,attack_train,0.78527
released,1.0,attack_train,1.04973
released,1.0,attack_train,0.89836
released,1.0,attack_train,0.99003
released,1.0,attack_train,0.74812
released,1.0,attack_train,0.70196
released,1.0,attack_train,0.83367
released,1.0,attack_train,0.88169
released,1.0,attack_train,0.95511
released,1.0,attack_train,0.99247
released,1.0,attack_train,0.61406
released,1.0,attack_train,1.02167
released,1.0,attack_train,0.91971
released,1.0,attack_train,0.89172
released,1.0,attack_train,0.92024
released,1.0,attack_train,0.88342
released,1.0,attack_train,0.96323
released,1.0,attack_train,0.81563
released,1.0,attack_train,0.88616
released,1.0,attack_train,0.91468
released,1.0,attack_train,0.83241
released,1.0,attack_train,0.68671
released,1.0,attack_train,0.90196
released,1.0,attack_train,0.88863
released,1.0,attack_train,0.85897
released,1.0,attack_train,0.88286
released,1.0,attack_train,0.76077
released,1.0,attack_train,0.76269
released,1.0,attack_train,0.8403
released,1.0,attack_train,0.90398
released,1.0,attack_train,0.57277
released,1.0,attack_train,0.77359
released,1.0,attack_train,1.05811
released,1.0,attack_train,1.11278
released,1.0,attack_train,0.0
released,1.0,attack_train,0.62584
released,1.0,attack_train,0.97853
released,1.0,attack_train,0.80144
released,1.0,attack_train,0.94945
released,1.0,attack_train,0.82921
released,1.0,attack_train,0.91122
released,1.0,attack_train,0.80873
released,1.0,attack_train,0.97482
released,1.0,attack_train,1.07021
released,1.0,attack_train,0.77786
released,1.0,attack_train,0.99286
released,1.0,attack_train,0.87491
released,1.0,attack_train,0.87246
released,1.0,attack_train,0.90933
released,1.0,attack_train,0.75588
released,1.0,attack_train,0.94731
released,1.0,attack_train,0.77427
released,1.0,attack_train,0.71512
released,1.0,attack_train,0.80617
released,1.0,attack_train,0.63502
released,1.0,attack_train,0.66101
released,1.0,attack_train,0.92453
released,1.0,attack_train,0.9442
released,1.0,attack_train,0.84956
released,1.0,attack_train,0.97934
released,1.0,attack_train,0.75549
released,1.0,attack_train,0.80632
released,1.0,attack_train,1.02168
released,1.0,attack_train,0.73062
released,1.0,attack_train,0.90296
released,1.0,attack_train,0.89817
released,1.0,attack_train,0.92383
released,1.0,attack_train,0.76098
released,1.0,attack_train,0.78527
released,1.0,attack_train,0.93081
released,1.0,attack_train,0.96646
released,1.0,attack_train,0.85372
released,1.0,attack_train,0.62224
released,1.0,attack_train,0.78354
released,1.0,attack_train,0.82804
released,1.0,attack_train,0.70178
released,1.0,attack_train,1.0375
released,1.0,attack_train,0.92798
released,1.0,attack_train,0.74494
released,1.0,attack_train,0.9117
released,1.0,attack_train,0.88913
released,1.0,attack_train,0.93403
released,1.0,attack_train,0.3127
released,1.0,attack_train,0.96298
released,1.0,attack_train,0.5405
released,1.0,attack_train,0.85996
released,1.0,attack_train,0.91331
released,1.0,attack_train,0.72573
released,1.0,attack_train,0.99699
released,1.0,attack_train,0.80733
released,1.0,attack_train,0.88695
released,1.0,attack_train,0.9446
released,1.0,attack_train,0.85346
released,1.0,attack_train,0.80563
released,1.0,attack_train,0.75548
released,1.0,attack_train,1.02648
released,1.0,attack_train,1.03716
released,1.0,attack_train,0.77774
released,1.0,attack_train,0.75345
released,1.0,attack_train,0.97047
released,1.0,attack_train,1.08529
released,1.0,attack_train,0.7472
released,1.0,attack_train,1.03052
released,1.0,attack_train,0.9405
released,1.0,attack_train,0.90875
released,1.0,attack_train,0.90639
released,1.0,attack_train,0.75083
released,1.0,attack_train,0.83569
released,1.0,attack_train,0.87454
released,1.0,attack_train,0.97941
released,1.0,attack_train,0.83731
released,1.0,attack_train,0.68059
released,1.0,attack_train,0.87272
released,1.0,attack_train,0.81416
released,1.0,attack_train,0.59791
released,1.0,attack_train,0.7484
released,1.0,attack_train,0.97367
released,1.0,attack_train,0.49612
released,1.0,attack_train,1.1097
released,1.0,attack_train,0.7681
released,1.0,attack_train,0.72771
released,1.0,attack_train,0.58788
released,1.0,attack_train,0.74251
released,1.0,attack_train,0.79802
released,1.0,attack_train,0.77316
released,1.0,attack_train,0.5892
released,1.0,attack_train,1.22873
released,1.0,attack_train,0.68807
released,1.0,attack_train,1.11169
released,1.0,attack_train,1.02881
released,1.0,attack_train,1.17287
released,1.0,attack_train,0.90891
released,1.0,attack_train,0.86266
released,1.0,attack_train,0.85341
released,1.0,attack_train,0.84322
released,1.0,attack_train,0.81128
released,1.0,attack_train,0.74731
released,1.0,attack_train,0.74064
released,1.0,attack_train,0.8669
released,1.0,attack_train,0.85558
released,1.0,attack_train,1.01455
released,1.0,attack_train,0.9762
released,1.0,attack_train,1.03713
released,1.0,attack_train,0.0
released,1.0,attack_train,0.89587
released,1.0,attack_train,0.88618
released,1.0,attack_train,0.63563
released,1.0,attack_train,0.0
released,1.0,attack_train,0.90319
released,1.0,attack_train,0.85621
released,1.0,attack_train,0.89011
released,1.0,attack_train,0.80698
released,1.0,attack_train,0.89823
released,1.0,attack_train,0.90888
released,1.0,attack_train,0.91222
released,1.0,attack_train,1.04208
released,1.0,attack_train,1.0184
released,1.0,attack_train,0.82011
released,1.0,attack_train,0.84163
released,1.0,attack_train,0.91932
released,1.0,attack_train,0.6552
released,1.0,attack_train,1.04327
released,1.0,attack_train,1.00518
released,1.0,attack_train,0.78785
released,1.0,attack_train,0.88824
released,1.0,attack_train,0.88296
released,1.0,attack_train,0.38865
released,1.0,attack_train,0.6833
released,1.0,attack_train,0.61486
released,1.0,attack_train,0.6814
released,1.0,attack_train,0.67951
released,1.0,attack_train,1.2142
released,1.0,attack_train,0.8751
released,1.0,attack_train,1.02749
released,1.0,attack_train,0.92337
released,1.0,attack_train,0.96291
released,1.0,attack_train,0.79587
released,1.0,attack_train,0.86723
released,1.0,attack_train,0.8878
released,1.0,attack_train,0.74592
released,1.0,attack_train,0.93292
released,1.0,attack_train,0.84209
released,1.0,attack_train,0.93217
released,1.0,attack_train,0.81315
released,1.0,attack_train,1.01235
released,1.0,attack_train,0.94151
released,1.0,attack_train,0.99152
released,1.0,attack_train,0.86102
released,1.0,attack_train,0.8917
released,1.0,attack_train,0.91638
released,1.0,attack_train,0.67823
released,1.0,attack_train,1.02066
released,1.0,attack_train,0.41316
released,1.0,attack_train,0.97486
released,1.0,attack_train,0.86872
released,1.0,attack_train,0.99778
released,1.0,attack_train,0.32099
released,1.0,attack_train,0.94172
released,1.0,attack_train,1.02411
released,1.0,attack_train,0.9452
released,1.0,attack_train,0.91886
released,1.0,attack_train,1.0188
released,1.0,attack_train,0.8001
released,1.0,attack_train,0.98917
released,1.0,attack_train,0.90148
released,1.0,attack_train,0.98959
released,1.0,attack_train,0.98731
released,1.0,attack_train,0.81713
released,1.0,attack_train,0.89033
released,1.0,attack_train,1.03309
released,1.0,attack_train,0.81806
released,1.0,attack_train,0.83344
released,1.0,attack_train,0.87372
released,1.0,attack_train,0.71672
released,1.0,attack_train,0.81211
released,1.0,attack_train,0.90951
released,1.0,attack_train,0.68668
released,1.0,attack_train,0.78358
released,1.0,attack_train,1.09284
released,1.0,attack_train,1.04047
released,1.0,attack_train,0.84879
released,1.0,attack_train,0.98169
released,1.0,attack_train,1.04674
released,1.0,attack_train,1.12151
released,1.0,attack_train,0.85871
released,1.0,attack_train,0.81655
released,1.0,attack_train,0.71872
released,1.0,attack_train,0.95347
released,1.0,attack_train,0.95015
released,1.0,attack_train,0.94491
released,1.0,attack_train,0.70448
released,1.0,attack_train,1.00076
released,1.0,attack_train,0.5561
released,1.0,attack_train,0.85209
released,1.0,attack_train,0.85956
released,1.0,attack_train,0.86148
released,1.0,attack_train,0.88703
released,1.0,attack_train,0.99448
released,1.0,attack_train,0.81874
released,1.0,attack_train,0.82212
released,1.0,attack_train,0.70684
released,1.0,attack_train,0.96976
released,1.0,attack_train,1.0245
released,1.0,attack_train,0.99784
released,1.0,attack_train,0.89054
released,1.0,attack_train,0.97558
released,1.0,attack_train,0.86809
released,1.0,attack_train,0.73519
released,1.0,attack_train,0.77973
released,1.0,attack_train,0.76026
released,1.0,attack_train,0.78074
released,1.0,attack_train,1.04888
released,1.0,attack_train,0.87541
released,1.0,attack_train,1.02179
released,1.0,attack_train,0.80974
released,1.0,attack_train,0.59371
released,1.0,attack_train,0.78995
released,1.0,attack_train,0.94109
released,1.0,attack_train,0.87411
released,1.0,attack_train,1.01531
released,1.0,attack_train,1.04066
released,1.0,attack_train,0.70336
released,1.0,attack_train,0.69915
released,1.0,attack_train,0.86038
released,1.0,attack_train,0.99386
released,1.0,attack_train,0.99803
released,1.0,attack_train,1.04539
released,1.0,attack_train,0.67063
released,1.0,attack_train,0.87189
released,1.0,attack_train,1.01389
released,1.0,attack_train,0.8409
released,1.0,attack_train,0.85083
released,1.0,attack_train,0.72731
released,1.0,attack_train,1.03244
released,1.0,attack_train,0.99151
released,1.0,attack_train,0.80368
released,1.0,attack_train,1.04315
released,1.0,attack_train,0.64235
released,1.0,attack_train,1.04537
released,1.0,attack_train,0.84268
released,1.0,attack_train,0.67629
released,1.0,attack_train,0.63433
released,1.0,attack_train,0.77491
released,1.0,attack_train,0.56954
released,1.0,attack_train,0.99599
released,1.0,attack_train,0.8467
released,1.0,attack_train,1.02735
released,1.0,attack_train,0.898
released,1.0,attack_train,0.85981
released,1.0,attack_train,0.95671
released,1.0,attack_train,0.6941
released,1.0,attack_train,0.73617
released,1.0,attack_train,1.10606
released,1.0,attack_train,0.93281
released,1.0,attack_train,0.81642
released,1.0,attack_train,0.7944
released,1.0,attack_train,0.9569
released,1.0,attack_train,0.95586
released,1.0,attack_train,1.04654
released,1.0,attack_train,0.66519
released,1.0,attack_train,0.91422
released,1.0,attack_train,0.85862
released,1.0,attack_train,1.08191
released,1.0,attack_train,0.79354
released,1.0,attack_train,1.16187
released,1.0,attack_train,0.7267
released,1.0,attack_train,0.96683
released,1.0,attack_train,0.83167
released,1.0,attack_train,0.87065
released,1.0,attack_train,0.75022
released,1.0,attack_train,0.90563
released,1.0,attack_train,0.67553
released,1.0,attack_train,0.60802
released,1.0,attack_train,0.8821
released,1.0,attack_train,0.79721
released,1.0,attack_train,0.7083
released,1.0,attack_train,0.8949
released,1.0,attack_train,0.85744
released,1.0,attack_train,0.55224
released,1.0,attack_train,0.99329
released,1.0,attack_train,0.87559
released,1.0,attack_train,0.8979
released,1.0,attack_train,0.86526
released,1.0,attack_train,0.89422
released,1.0,attack_train,0.78846
released,1.0,attack_train,0.87252
released,1.0,attack_train,0.74034
released,1.0,attack_train,1.19027
released,1.0,attack_train,0.71454
released,1.0,attack_train,0.73067
released,1.0,attack_train,0.90357
released,1.0,attack_train,1.02475
released,1.0,attack_train,0.88364
released,1.0,attack_train,0.91393
released,1.0,attack_train,0.66373
released,1.0,attack_train,0.82652
released,1.0,attack_train,0.98089
released,1.0,attack_train,0.95222
released,1.0,attack_train,1.02522
released,1.0,attack_train,0.78876
released,1.0,attack_train,0.54262
released,1.0,attack_train,0.77633
released,1.0,attack_train,0.77796
released,1.0,attack_train,0.76758
released,1.0,attack_train,1.07033
released,1.0,attack_train,0.82259
released,1.0,attack_train,0.98433
released,1.0,attack_train,0.91687
released,1.0,attack_train,0.79819
released,1.0,attack_train,0.84341
released,1.0,attack_train,0.7738
released,1.0,attack_train,0.80485
released,1.0,attack_train,1.03255
released,1.0,attack_train,0.90318
released,1.0,attack_train,0.97646
released,1.0,attack_train,0.71899
released,1.0,attack_train,0.93361
released,1.0,attack_train,0.84893
released,1.0,attack_train,0.987
released,1.0,attack_train,0.866
released,1.0,attack_train,0.82491
released,1.0,attack_train,0.89459
released,1.0,attack_train,0.7432
released,1.0,attack_train,1.03929
released,1.0,attack_train,0.79955
released,1.0,attack_train,0.73204
released,1.0,attack_train,0.87643
released,1.0,attack_train,0.645
released,1.0,attack_train,0.49082
released,1.0,attack_train,0.77976
released,1.0,attack_train,0.80757
released,1.0,attack_train,0.97246
released,1.0,attack_train,0.91378
released,1.0,attack_train,0.85773
released,1.0,attack_train,0.73541
released,1.0,attack_train,0.85732
released,1.0,attack_train,0.90554
released,1.0,attack_train,0.69227
released,1.0,attack_train,0.68544
released,1.0,attack_train,0.79489
released,1.0,attack_train,0.75157
released,1.0,attack_train,0.79836
released,1.0,attack_train,1.16339
released,1.0,attack_train,0.79647
released,1.0,attack_train,0.70068
released,1.0,attack_train,0.86487
released,1.0,attack_train,0.7399
released,1.0,attack_train,0.95518
released,1.0,attack_train,0.8011
released,1.0,attack_train,0.77036
released,1.0,attack_train,0.45467
released,1.0,attack_train,0.75754
released,1.0,attack_train,1.00491
released,1.0,attack_train,0.81606
released,1.0,attack_train,0.86753
released,1.0,attack_train,0.69976
released,1.0,attack_train,0.68682
released,1.0,attack_train,0.95083
released,1.0,attack_train,0.71429
released,1.0,attack_train,0.80677
released,1.0,attack_train,1.0218
released,1.0,attack_train,0.81692
released,1.0,attack_train,0.94608
released,1.0,attack_train,1.08091
released,1.0,attack_train,0.8898
released,1.0,attack_train,0.78414
released,1.0,attack_train,0.7835
released,1.0,attack_train,0.60256
released,1.0,attack_train,0.80192
released,1.0,attack_train,0.9424
released,1.0,attack_train,0.87391
released,1.0,attack_train,0.79934
released,1.0,attack_train,0.94042
released,1.0,attack_train,0.79928
released,1.0,attack_train,0.7139
released,1.0,attack_train,0.56008
released,1.0,attack_train,0.93496
released,1.0,attack_train,0.78578
released,1.0,attack_train,0.64257
released,1.0,attack_train,0.51595
released,1.0,attack_train,0.47321
released,1.0,attack_train,0.99505
released,1.0,attack_train,0.88237
released,1.0,attack_train,0.64829
released,1.0,attack_train,0.70326
released,1.0,attack_train,0.6439
released,1.0,attack_train,0.83461
released,1.0,attack_train,0.89332
released,1.0,attack_train,0.71416
released,1.0,attack_train,0.70747
released,1.0,attack_train,0.62416
released,1.0,attack_train,0.90813
released,1.0,attack_train,0.82838
released,1.0,attack_train,0.95965
released,1.0,attack_train,0.96994
released,1.0,attack_train,0.22382
released,1.0,attack_train,0.77802
released,1.0,attack_train,1.04885
released,1.0,attack_train,0.75323
released,1.0,attack_train,0.78562
released,1.0,attack_train,0.86585
released,1.0,attack_train,0.70905
released,1.0,attack_train,0.58881
released,1.0,attack_train,0.86294
released,1.0,attack_train,0.63994
released,1.0,attack_train,0.85731
released,1.0,attack_train,0.47784
released,1.0,attack_train,0.68667
released,1.0,attack_train,0.88082
released,1.0,attack_train,0.84355
released,1.0,attack_train,0.64473
released,1.0,attack_train,0.55811
released,1.0,attack_train,0.7214
released,1.0,attack_train,0.92451
released,1.0,attack_train,0.68754
released,1.0,attack_train,0.47909
released,1.0,attack_train,0.7511
released,1.0,attack_train,0.62554
released,1.0,attack_train,0.72365
released,1.0,attack_train,0.82635
released,1.0,attack_train,0.53344
released,1.0,attack_train,0.92333
released,1.0,attack_train,0.70934
released,1.0,attack_train,0.47147
released,1.0,attack_train,0.81069
released,1.0,attack_train,0.62147
released,1.0,attack_train,0.86522
released,1.0,attack_train,0.50294
released,1.0,attack_train,0.3463
released,1.0,attack_train,1.06018
released,1.0,attack_train,0.90184
released,1.0,attack_train,1.05817
released,1.0,attack_train,1.03121
released,1.0,attack_train,0.71302
released,1.0,attack_train,0.79501
released,1.0,attack_train,0.8904
released,1.0,attack_train,0.68903
released,1.0,attack_train,0.61375
released,1.0,attack_train,0.49015
released,1.0,attack_train,0.69456
released,1.0,attack_train,0.85194
released,1.0,attack_train,0.88127
released,1.0,attack_train,0.63857
released,1.0,attack_train,0.80715
released,1.0,attack_train,0.81533
released,1.0,attack_train,0.85477
released,1.0,attack_train,0.49257
released,1.0,attack_train,0.60103
released,1.0,attack_train,0.84828
released,1.0,attack_train,0.79585
released,1.0,attack_train,0.75657
released,1.0,attack_train,0.90244
released,1.0,attack_train,0.91363
released,1.0,attack_train,0.61687
released,1.0,attack_train,0.73516
released,1.0,attack_train,0.48018
released,1.0,attack_train,0.76446
released,1.0,attack_train,0.56808
released,1.0,attack_train,0.53052
released,1.0,attack_train,0.72637
released,1.0,attack_train,0.97654
released,1.0,attack_train,0.78759
released,1.0,attack_train,0.65578
released,1.0,attack_train,0.74024
released,1.0,attack_train,0.72599
released,1.0,attack_train,0.70389
released,1.0,attack_train,0.89812
released,1.0,attack_train,0.40807
released,1.0,attack_train,1.14495
released,1.0,attack_train,0.94273
released,1.0,attack_train,0.74968
released,1.0,attack_train,0.7819
released,1.0,attack_train,0.81523
released,1.0,attack_train,0.97749
released,1.0,attack_train,0.77332
released,1.0,attack_train,0.72641
released,1.0,attack_train,0.66473
released,1.0,attack_train,0.62546
released,1.0,attack_train,0.56127
released,1.0,attack_train,0.55757
released,1.0,attack_train,0.8584
released,1.0,attack_train,0.67333
released,1.0,attack_train,0.80884
released,1.0,attack_train,0.99882
released,1.0,attack_train,0.57106
released,1.0,attack_train,0.53684
released,1.0,attack_train,0.5484
released,1.0,attack_train,0.99015
released,1.0,attack_train,0.81878
released,1.0,attack_train,0.87909
released,1.0,attack_train,0.59464
released,1.0,attack_train,0.82818
released,1.0,attack_train,0.65427
released,1.0,attack_train,0.66952
released,1.0,attack_train,0.89019
released,1.0,attack_train,0.75812
released,1.0,attack_train,0.65222
released,1.0,attack_train,0.5213
released,1.0,attack_train,0.951
released,1.0,attack_train,0.99743
released,1.0,attack_train,0.53994
released,1.0,attack_train,0.62785
released,1.0,attack_train,0.73868
released,1.0,attack_train,0.715
released,1.0,attack_train,0.68051
released,1.0,attack_train,0.82982
released,1.0,attack_train,0.76525
released,1.0,attack_train,1.10974
released,1.0,attack_train,0.62501
released,1.0,attack_train,0.68804
released,1.0,attack_train,0.49038
released,1.0,attack_train,0.68369
released,1.0,attack_train,1.03014
released,1.0,attack_train,0.91168
released,1.0,attack_train,0.98929
released,1.0,attack_train,0.89384
released,1.0,attack_train,0.70165
released,1.0,attack_train,0.66566
released,1.0,attack_train,0.64542
released,1.0,attack_train,0.87519
released,1.0,attack_train,0.80037
released,1.0,attack_train,0.77088
released,1.0,attack_train,0.58541
released,1.0,attack_train,0.5478
released,1.0,attack_train,0.73894
released,1.0,attack_train,0.71893
released,1.0,attack_train,0.82597
released,1.0,attack_train,0.72332
released,1.0,attack_train,0.48957
released,1.0,attack_train,0.76164
released,1.0,attack_train,1.0578
released,1.0,attack_train,0.90812
released,1.0,attack_train,1.12286
released,1.0,attack_train,0.77784
released,1.0,attack_train,0.63367
released,1.0,attack_train,0.95908
released,1.0,attack_train,0.59979
released,1.0,attack_train,0.69744
released,1.0,attack_train,0.81554
released,1.0,attack_train,0.91755
released,1.0,attack_train,0.77934
released,1.0,attack_train,0.55887
released,1.0,attack_train,0.65901
released,1.0,attack_train,0.73054
released,1.0,attack_train,0.78992
released,1.0,attack_train,0.97207
released,1.0,attack_train,0.84817
released,1.0,attack_train,1.08074
released,1.0,attack_train,0.80812
released,1.0,attack_train,0.71405
released,1.0,attack_train,0.86489
released,1.0,attack_train,0.57401
released,1.0,attack_train,0.78781
released,1.0,attack_train,0.63478
released,1.0,attack_train,0.60028
released,1.0,attack_train,0.79805
released,1.0,attack_train,0.77672
released,1.0,attack_train,0.77459
released,1.0,attack_train,0.88594
released,1.0,attack_train,0.83141
released,1.0,attack_train,0.86596
released,1.0,attack_train,0.98904
released,1.0,attack_train,0.8052
released,1.0,attack_train,1.10986
released,1.0,attack_train,1.10353
released,1.0,attack_train,0.682
released,1.0,attack_train,0.0
released,1.0,attack_train,0.94242
released,1.0,attack_train,0.9607
released,1.0,attack_train,0.66789
released,1.0,attack_train,0.73176
released,1.0,attack_train,0.80884
released,1.0,attack_train,0.61783
released,1.0,attack_train,0.78398
released,1.0,attack_train,0.44274
released,1.0,attack_train,0.73351
released,1.0,attack_train,0.9286
released,1.0,attack_train,0.60444
released,1.0,attack_train,0.72374
released,1.0,attack_train,0.85256
released,1.0,attack_train,0.88406
released,1.0,attack_train,0.8523
released,1.0,attack_train,0.67648
released,1.0,attack_train,0.72857
released,1.0,attack_train,0.68971
released,1.0,attack_train,1.12315
released,1.0,attack_train,0.77571
released,1.0,attack_train,0.85492
released,1.0,attack_train,0.90869
released,1.0,attack_train,0.87151
released,1.0,attack_train,0.76047
released,1.0,attack_train,0.85295
released,1.0,attack_train,0.97464
released,1.0,attack_train,0.99223
released,1.0,attack_train,0.7784
released,1.0,attack_train,0.72807
released,1.0,attack_train,0.7051
released,1.0,attack_train,0.72875
released,1.0,attack_train,0.67936
released,1.0,attack_train,0.63962
released,1.0,attack_train,0.73633
released,1.0,attack_train,0.72154
released,1.0,attack_train,0.95282
released,1.0,attack_train,1.07046
released,1.0,attack_train,0.80553
released,1.0,attack_train,0.8338
released,1.0,attack_train,0.75437
released,1.0,attack_train,1.14393
released,1.0,attack_train,0.92212
released,1.0,attack_train,0.82371
released,1.0,attack_train,0.97128
released,1.0,attack_train,0.57686
released,1.0,attack_train,0.621
released,1.0,attack_train,0.74884
released,1.0,attack_train,1.01808
released,1.0,attack_train,0.64606
released,1.0,attack_train,0.96669
released,1.0,attack_train,0.87982
released,1.0,attack_train,0.88408
released,1.0,attack_train,0.79303
released,1.0,attack_train,0.76963
released,1.0,attack_train,0.6761
released,1.0,attack_train,0.56743
released,1.0,attack_train,0.53727
released,1.0,attack_train,0.65266
released,1.0,attack_train,0.75978
released,1.0,attack_train,0.61152
released,1.0,attack_train,0.62888
released,1.0,attack_train,0.8807
released,1.0,attack_train,0.60632
released,1.0,attack_train,0.78024
released,1.0,attack_train,0.58166
released,1.0,attack_train,0.7543
released,1.0,attack_train,0.81139
released,1.0,attack_train,0.93422
released,1.0,attack_train,0.97424
released,1.0,attack_train,1.00295
released,1.0,attack_train,1.0372
released,1.0,attack_train,0.9627
released,1.0,attack_train,0.54243
released,1.0,attack_train,0.81557
released,1.0,attack_train,0.68127
released,1.0,attack_train,0.80187
released,1.0,attack_train,0.83605
released,1.0,attack_train,0.70424
released,1.0,attack_train,0.74121
released,1.0,attack_train,0.77312
released,1.0,attack_train,0.85774
released,1.0,attack_train,0.85398
released,1.0,attack_train,0.80792
released,1.0,attack_train,0.64031
released,1.0,attack_train,0.79583
released,1.0,attack_train,0.82252
