anchor,event,n,n_passages,rate,rate_se,cover,base_rate_n1,amplification_vs_n1,pool_events,pool_draws,per_draw_rate,amplification_vs_per_draw,bound_n_times_per_draw,g0,g2
kl3m37b,E_08,64,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m37b,E_08,256,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m37b,E_001,1,100,0.96,0.0196,0.96,0.96,1.0,24035,25600,0.938867,1.0225,0.938867,PASS,PASS
kl3m37b,E_001,8,100,0.98,0.014,0.98,0.96,1.0208,24035,25600,0.938867,1.0438,1.0,PASS,PASS
kl3m37b,E_001,64,100,1.0,0.0,1.0,0.96,1.0417,24035,25600,0.938867,1.0651,1.0,PASS,PASS
kl3m37b,E_001,256,100,1.0,0.0,1.0,0.96,1.0417,24035,25600,0.938867,1.0651,1.0,PASS,PASS
kl3m520m,E_08,1,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m520m,E_08,8,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m520m,E_08,64,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m520m,E_08,256,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m520m,E_001,1,100,0.88,0.0325,0.88,0.88,1.0,22598,25600,0.882734,0.9969,0.882734,PASS,PASS
kl3m520m,E_001,8,100,0.99,0.0099,0.99,0.88,1.125,22598,25600,0.882734,1.1215,1.0,PASS,PASS
kl3m520m,E_001,64,100,1.0,0.0,1.0,0.88,1.1364,22598,25600,0.882734,1.1328,1.0,PASS,PASS
kl3m520m,E_001,256,100,0.99,0.0099,1.0,0.88,1.125,22598,25600,0.882734,1.1215,1.0,PASS,PASS
llama32_1b,E_08,1,100,0.01,0.0099,0.01,0.01,1.0,458,25600,0.017891,0.559,0.017891,PASS,PASS
llama32_1b,E_08,8,100,0.04,0.0196,0.04,0.01,4.0,458,25600,0.017891,2.2358,0.143125,PASS,PASS
llama32_1b,E_08,64,100,0.07,0.0255,0.08,0.01,7.0,458,25600,0.017891,3.9127,1.0,PASS,PASS
llama32_1b,E_08,256,100,0.1,0.03,0.12,0.01,10.0,458,25600,0.017891,5.5895,1.0,PASS,PASS
llama32_1b,E_001,1,100,0.8,0.04,0.8,0.8,1.0,19989,25600,0.78082,1.0246,0.78082,PASS,PASS
llama32_1b,E_001,8,100,0.94,0.0237,0.95,0.8,1.175,19989,25600,0.78082,1.2039,1.0,PASS,PASS
llama32_1b,E_001,64,100,0.99,0.0099,1.0,0.8,1.2375,19989,25600,0.78082,1.2679,1.0,PASS,PASS
llama32_1b,E_001,256,100,0.97,0.0171,1.0,0.8,1.2125,19989,25600,0.78082,1.2423,1.0,PASS,PASS
llama32_3b,E_08,1,100,0.05,0.0218,0.05,0.05,1.0,1200,25600,0.046875,1.0667,0.046875,PASS,PASS
llama32_3b,E_08,8,100,0.11,0.0313,0.11,0.05,2.2,1200,25600,0.046875,2.3467,0.375,PASS,PASS
llama32_3b,E_08,64,100,0.13,0.0336,0.15,0.05,2.6,1200,25600,0.046875,2.7733,1.0,PASS,PASS
llama32_3b,E_08,256,100,0.15,0.0357,0.16,0.05,3.0,1200,25600,0.046875,3.2,1.0,PASS,PASS
llama32_3b,E_001,1,100,0.82,0.0384,0.82,0.82,1.0,21467,25600,0.838555,0.9779,0.838555,PASS,PASS
llama32_3b,E_001,8,100,0.99,0.0099,1.0,0.82,1.2073,21467,25600,0.838555,1.1806,1.0,PASS,PASS
llama32_3b,E_001,64,100,0.98,0.014,1.0,0.82,1.1951,21467,25600,0.838555,1.1687,1.0,PASS,PASS
llama32_3b,E_001,256,100,0.97,0.0171,1.0,0.82,1.1829,21467,25600,0.838555,1.1568,1.0,PASS,PASS
opencalm1b,E_08,1,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm1b,E_08,8,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm1b,E_08,64,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm1b,E_08,256,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm1b,E_001,1,100,0.64,0.048,0.64,0.64,1.0,16157,25600,0.631133,1.014,0.631133,PASS,PASS
opencalm1b,E_001,8,100,0.83,0.0376,0.89,0.64,1.2969,16157,25600,0.631133,1.3151,1.0,PASS,PASS
opencalm1b,E_001,64,100,0.93,0.0255,0.97,0.64,1.4531,16157,25600,0.631133,1.4735,1.0,PASS,PASS
opencalm1b,E_001,256,100,0.98,0.014,1.0,0.64,1.5312,16157,25600,0.631133,1.5528,1.0,PASS,PASS
opencalm3b,E_08,1,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm3b,E_08,8,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm3b,E_08,64,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm3b,E_08,256,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm3b,E_001,1,100,0.96,0.0196,0.96,0.96,1.0,25041,25600,0.978164,0.9814,0.978164,PASS,PASS
opencalm3b,E_001,8,100,1.0,0.0,1.0,0.96,1.0417,25041,25600,0.978164,1.0223,1.0,PASS,PASS
opencalm3b,E_001,64,100,1.0,0.0,1.0,0.96,1.0417,25041,25600,0.978164,1.0223,1.0,PASS,PASS
opencalm3b,E_001,256,100,1.0,0.0,1.0,0.96,1.0417,25041,25600,0.978164,1.0223,1.0,PASS,PASS
phi35mini,E_08,1,100,0.01,0.0099,0.01,0.01,1.0,173,25600,0.006758,1.4798,0.006758,PASS,PASS
phi35mini,E_08,8,100,0.01,0.0099,0.01,0.01,1.0,173,25600,0.006758,1.4798,0.054062,PASS,PASS
phi35mini,E_08,64,100,0.01,0.0099,0.01,0.01,1.0,173,25600,0.006758,1.4798,0.4325,PASS,PASS
phi35mini,E_08,256,100,0.02,0.014,0.02,0.01,2.0,173,25600,0.006758,2.9595,1.0,PASS,PASS
phi35mini,E_001,1,100,0.85,0.0357,0.85,0.85,1.0,21759,25600,0.849961,1.0,0.849961,PASS,PASS
phi35mini,E_001,8,100,0.94,0.0237,0.96,0.85,1.1059,21759,25600,0.849961,1.1059,1.0,PASS,PASS
phi35mini,E_001,64,100,0.97,0.0171,0.98,0.85,1.1412,21759,25600,0.849961,1.1412,1.0,PASS,PASS
phi35mini,E_001,256,100,0.98,0.014,1.0,0.85,1.1529,21759,25600,0.849961,1.153,1.0,PASS,PASS
pleias12b,E_08,1,100,0.04,0.0196,0.04,0.04,1.0,1145,25600,0.044727,0.8943,0.044727,PASS,PASS
pleias12b,E_08,8,100,0.05,0.0218,0.05,0.04,1.25,1145,25600,0.044727,1.1179,0.357812,PASS,PASS
pleias12b,E_08,64,100,0.05,0.0218,0.05,0.04,1.25,1145,25600,0.044727,1.1179,1.0,PASS,PASS
pleias12b,E_08,256,100,0.05,0.0218,0.05,0.04,1.25,1145,25600,0.044727,1.1179,1.0,PASS,PASS
pleias12b,E_001,1,100,0.98,0.014,0.98,0.98,1.0,24962,25600,0.975078,1.005,0.975078,PASS,PASS
pleias12b,E_001,8,100,0.99,0.0099,0.99,0.98,1.0102,24962,25600,0.975078,1.0153,1.0,PASS,PASS
pleias12b,E_001,64,100,0.99,0.0099,0.99,0.98,1.0102,24962,25600,0.975078,1.0153,1.0,PASS,PASS
pleias12b,E_001,256,100,0.99,0.0099,0.99,0.98,1.0102,24962,25600,0.975078,1.0153,1.0,PASS,PASS
pleias350m,E_08,1,100,0.02,0.014,0.02,0.02,1.0,1068,25600,0.041719,0.4794,0.041719,PASS,PASS
pleias350m,E_08,8,100,0.05,0.0218,0.05,0.02,2.5,1068,25600,0.041719,1.1985,0.33375,PASS,PASS
pleias350m,E_08,64,100,0.05,0.0218,0.05,0.02,2.5,1068,25600,0.041719,1.1985,1.0,PASS,PASS
pleias350m,E_08,256,100,0.05,0.0218,0.05,0.02,2.5,1068,25600,0.041719,1.1985,1.0,PASS,PASS
pleias350m,E_001,1,100,0.99,0.0099,0.99,0.99,1.0,24748,25600,0.966719,1.0241,0.966719,PASS,PASS
pleias350m,E_001,8,100,0.99,0.0099,0.99,0.99,1.0,24748,25600,0.966719,1.0241,1.0,PASS,PASS
pleias350m,E_001,64,100,0.99,0.0099,0.99,0.99,1.0,24748,25600,0.966719,1.0241,1.0,PASS,PASS
pleias350m,E_001,256,100,1.0,0.0,1.0,0.99,1.0101,24748,25600,0.966719,1.0344,1.0,PASS,PASS
qwen25_7b,E_08,1,100,0.1,0.03,0.1,0.1,1.0,2640,25600,0.103125,0.9697,0.103125,PASS,PASS
qwen25_7b,E_08,8,100,0.15,0.0357,0.15,0.1,1.5,2640,25600,0.103125,1.4545,0.825,PASS,PASS
qwen25_7b,E_08,64,100,0.15,0.0357,0.16,0.1,1.5,2640,25600,0.103125,1.4545,1.0,PASS,PASS
qwen25_7b,E_08,256,100,0.15,0.0357,0.17,0.1,1.5,2640,25600,0.103125,1.4545,1.0,PASS,PASS
qwen25_7b,E_001,1,100,0.95,0.0218,0.95,0.95,1.0,23094,25600,0.902109,1.0531,0.902109,PASS,PASS
qwen25_7b,E_001,8,100,0.98,0.014,0.98,0.95,1.0316,23094,25600,0.902109,1.0863,1.0,PASS,PASS
qwen25_7b,E_001,64,100,0.98,0.014,0.98,0.95,1.0316,23094,25600,0.902109,1.0863,1.0,PASS,PASS
qwen25_7b,E_001,256,100,0.99,0.0099,0.99,0.95,1.0421,23094,25600,0.902109,1.0974,1.0,PASS,PASS
