prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.01.58,a_game_of_thrones,0.0,0.1468,0.1331,0.3789,0.5496,0,131,0.2526,48,0.4015,0.2526,0.4015,0.2526,48,0.4106,0.2526,0.4106,0.3632,69,0.5344,0.3632,0.5344,0.3789,72,0.5496,0.3789,0.5496
bookmia.01.59,a_game_of_thrones,0.3615,0.5108,0.2916,0.3474,0.5157,0,246,0.3474,74,0.5157,0.3474,0.5157,0.3474,74,0.5157,0.3474,0.5157,0.3474,74,0.5157,0.3474,0.5157,0.3474,74,0.5157,0.3474,0.5157
bookmia.01.60,a_game_of_thrones,0.0,0.1616,0.0131,0.3125,0.4762,0,16,0.0,12,0.1792,0.0,0.1792,0.0,12,0.1696,0.0,0.2174,0.2163,45,0.3841,0.2163,0.3986,0.3125,65,0.4762,0.3125,0.4762
bookmia.01.62,a_game_of_thrones,0.6543,0.7576,0.3326,0.3723,0.5426,0,251,0.3723,70,0.5426,0.3723,0.5426,0.3723,70,0.5426,0.3723,0.5426,0.3723,70,0.5426,0.3723,0.5426,0.3723,70,0.5426,0.3723,0.5426
bookmia.01.69,a_game_of_thrones,0.4975,0.6067,0.0135,0.3632,0.5109,0,12,0.0,16,0.1935,0.0,0.1935,0.0,16,0.2143,0.0,0.2143,0.3632,49,0.5109,0.3632,0.5109,0.3632,49,0.5109,0.3632,0.5109
bookmia.01.71,a_game_of_thrones,0.0,0.1589,0.3378,0.346,0.5141,0,254,0.346,73,0.5141,0.346,0.5141,0.346,73,0.5141,0.346,0.5141,0.346,73,0.5141,0.346,0.5141,0.346,73,0.5141,0.346,0.5141
bookmia.01.73,a_game_of_thrones,0.1925,0.32,0.1047,0.3474,0.5157,0,226,0.0986,21,0.2321,0.0986,0.2321,0.0986,21,0.2397,0.1174,0.2621,0.277,57,0.446,0.277,0.446,0.3474,74,0.5157,0.3474,0.5157
bookmia.01.74,a_game_of_thrones,0.0,0.1369,0.2274,0.3608,0.5303,0,240,0.3608,70,0.5303,0.3608,0.5303,0.3608,70,0.5303,0.3608,0.5303,0.3608,70,0.5303,0.3608,0.5303,0.3608,70,0.5303,0.3608,0.5303
bookmia.01.75,a_game_of_thrones,0.1474,0.2389,0.377,0.4,0.5639,0,254,0.3947,75,0.5639,0.3947,0.5639,0.3947,75,0.5639,0.3947,0.5639,0.3947,75,0.5639,0.3947,0.5639,0.3947,75,0.5639,0.4,0.5639
bookmia.01.76,a_game_of_thrones,0.0,0.1512,0.2863,0.3467,0.5149,0,223,0.1307,26,0.2889,0.1307,0.2889,0.3467,69,0.5149,0.3467,0.5149,0.3467,69,0.5149,0.3467,0.5149,0.3467,69,0.5149,0.3467,0.5149
bookmia.01.77,a_game_of_thrones,0.0,0.1843,0.2596,0.327,0.4929,0,237,0.0,18,0.227,0.0,0.227,0.327,69,0.4929,0.327,0.4929,0.327,69,0.4929,0.327,0.4929,0.327,69,0.4929,0.327,0.4929
bookmia.01.78,a_game_of_thrones,0.768,0.8596,0.3556,0.366,0.5358,0,251,0.366,68,0.5283,0.366,0.5283,0.366,71,0.5358,0.366,0.5358,0.366,71,0.5358,0.366,0.5358,0.366,71,0.5358,0.366,0.5358
bookmia.01.79,a_game_of_thrones,0.2982,0.4674,0.172,0.3257,0.4897,0,249,0.1743,38,0.323,0.1743,0.323,0.3257,71,0.4897,0.3257,0.4897,0.3257,71,0.4897,0.3257,0.4897,0.3257,71,0.4897,0.3257,0.4897
bookmia.01.81,a_game_of_thrones,0.2255,0.3456,0.0574,0.3529,0.5217,0,47,0.0,17,0.2278,0.0,0.2278,0.3137,64,0.5,0.3137,0.5,0.3529,72,0.5217,0.3529,0.5217,0.3529,72,0.5217,0.3529,0.5217
bookmia.01.82,a_game_of_thrones,0.7799,0.8763,0.3629,0.3732,0.5436,0,251,0.0,8,0.1806,0.0,0.1806,0.3732,78,0.5436,0.3732,0.5436,0.3732,78,0.5436,0.3732,0.5436,0.3732,78,0.5436,0.3732,0.5436
bookmia.01.83,a_game_of_thrones,0.7512,0.8305,0.3045,0.3632,0.5309,0,232,0.3632,73,0.5309,0.3632,0.5309,0.3632,73,0.5309,0.3632,0.5309,0.3632,73,0.5309,0.3632,0.5309,0.3632,73,0.5309,0.3632,0.5309
bookmia.01.87,a_game_of_thrones,0.2991,0.4326,0.1235,0.3131,0.4769,0,136,0.1495,32,0.3158,0.1495,0.3158,0.3131,67,0.4769,0.3131,0.4769,0.3131,67,0.4769,0.3131,0.4769,0.3131,67,0.4769,0.3131,0.4769
