prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.07.30,casino_royale,0.3713,0.478,0.76,0.8267,0.9022,208,255,0.8218,166,0.9022,0.8218,0.9022,0.8218,166,0.9022,0.8218,0.9022,0.8218,166,0.9022,0.8267,0.9022,0.8218,166,0.9022,0.8267,0.9022
bookmia.07.31,casino_royale,0.733,0.8287,0.5555,0.7621,0.8619,0,254,0.2913,60,0.4663,0.2913,0.4663,0.7573,156,0.8595,0.7621,0.8619,0.7573,156,0.8595,0.7621,0.8619,0.7573,156,0.8595,0.7621,0.8619
bookmia.07.32,casino_royale,0.5385,0.6559,0.7529,0.7788,0.8696,0,254,0.7692,160,0.8696,0.7692,0.8696,0.7692,160,0.8696,0.7692,0.8696,0.7692,160,0.8696,0.7692,0.8696,0.7692,160,0.8696,0.7788,0.8696
bookmia.07.37,casino_royale,0.3821,0.538,0.3916,0.7406,0.8478,0,238,0.1274,27,0.2444,0.1274,0.2444,0.7358,99,0.8478,0.7358,0.8478,0.7358,99,0.8478,0.7358,0.8478,0.7358,99,0.8478,0.7406,0.8478
bookmia.07.40,casino_royale,0.6495,0.7733,0.7234,0.7835,0.8786,0,249,0.0,6,0.1556,0.0,0.1556,0.7835,152,0.8786,0.7835,0.8786,0.7835,152,0.8786,0.7835,0.8786,0.7835,152,0.8786,0.7835,0.8786
bookmia.07.41,casino_royale,0.699,0.7914,0.674,0.7913,0.878,0,253,0.7864,162,0.878,0.7864,0.878,0.7864,162,0.878,0.7864,0.878,0.7864,162,0.878,0.7864,0.878,0.7864,162,0.878,0.7913,0.878
bookmia.07.43,casino_royale,0.8307,0.9017,0.6716,0.836,0.9075,169,247,0.8307,142,0.9017,0.8307,0.9017,0.8307,157,0.9075,0.8307,0.9075,0.8307,157,0.9075,0.836,0.9075,0.8307,157,0.9075,0.836,0.9075
bookmia.07.44,casino_royale,0.2714,0.419,0.0025,0.5333,0.6952,0,2,0.0,16,0.2257,0.0,0.2257,0.0,16,0.2526,0.0,0.2526,0.0,11,0.2078,0.0,0.2802,0.5333,112,0.6952,0.5333,0.6952
bookmia.07.47,casino_royale,0.2132,0.4103,0.6977,0.7563,0.858,0,256,0.7411,146,0.8488,0.7411,0.8488,0.7411,146,0.8488,0.7411,0.8488,0.7411,146,0.8488,0.7462,0.8513,0.7411,146,0.8488,0.7563,0.858
bookmia.07.49,casino_royale,0.0,0.2427,0.2246,0.4498,0.5372,0,235,0.2392,48,0.4097,0.2392,0.4097,0.244,48,0.4304,0.2823,0.528,0.2632,48,0.4086,0.3445,0.528,0.4019,46,0.5326,0.4498,0.5372
bookmia.07.53,casino_royale,0.3019,0.4562,0.5883,0.7547,0.8571,0,251,0.7075,85,0.8043,0.7075,0.8043,0.75,159,0.8548,0.75,0.8548,0.75,159,0.8548,0.7547,0.8548,0.75,159,0.8548,0.7547,0.8571
bookmia.07.54,casino_royale,0.7854,0.8798,0.5735,0.79,0.8798,0,196,0.7854,172,0.8798,0.7854,0.8798,0.7854,172,0.8798,0.7854,0.8798,0.7854,172,0.8798,0.79,0.8798,0.7854,172,0.8798,0.79,0.8798
bookmia.07.55,casino_royale,0.3235,0.4382,0.7629,0.8039,0.8913,5,254,0.799,157,0.8804,0.799,0.8804,0.799,163,0.8859,0.799,0.8859,0.799,163,0.8859,0.8039,0.8859,0.799,163,0.8859,0.8039,0.8913
bookmia.07.56,casino_royale,0.6965,0.8209,0.7825,0.806,0.8895,233,256,0.801,161,0.8895,0.801,0.8895,0.801,161,0.8895,0.801,0.8895,0.801,161,0.8895,0.801,0.8895,0.801,161,0.8895,0.806,0.8895
bookmia.07.57,casino_royale,0.0,0.1662,0.7349,0.7681,0.8634,0,254,0.7585,157,0.8626,0.7585,0.8626,0.7585,157,0.8626,0.7585,0.8626,0.7585,157,0.8626,0.7585,0.8626,0.7585,157,0.8626,0.7681,0.8634
bookmia.07.59,casino_royale,0.7828,0.8715,0.6362,0.7964,0.8844,0,256,0.5068,112,0.6266,0.5068,0.6266,0.7964,176,0.8844,0.7964,0.8844,0.7964,176,0.8844,0.7964,0.8844,0.7964,176,0.8844,0.7964,0.8844
bookmia.07.61,casino_royale,0.0,0.1453,0.596,0.7861,0.8771,0,252,0.7811,157,0.8771,0.7811,0.8771,0.7811,157,0.8771,0.7811,0.8771,0.7811,157,0.8771,0.7811,0.8771,0.7811,157,0.8771,0.7861,0.8771
bookmia.07.62,casino_royale,0.481,0.6576,0.7158,0.7619,0.8649,0,255,0.7619,160,0.8649,0.7619,0.8649,0.7619,160,0.8649,0.7619,0.8649,0.7619,160,0.8649,0.7619,0.8649,0.7619,160,0.8649,0.7619,0.8649
bookmia.07.63,casino_royale,0.5707,0.6856,0.7481,0.8182,0.8975,181,253,0.303,60,0.4621,0.303,0.4621,0.8182,162,0.8975,0.8182,0.8975,0.8182,162,0.8975,0.8182,0.8975,0.8182,162,0.8975,0.8182,0.8975
bookmia.07.66,casino_royale,0.277,0.4182,0.7513,0.7887,0.8789,0,252,0.784,137,0.8707,0.784,0.8707,0.784,167,0.8789,0.784,0.8789,0.784,167,0.8789,0.784,0.8789,0.784,167,0.8789,0.7887,0.8789
bookmia.07.70,casino_royale,0.5816,0.7278,0.4491,0.7908,0.8832,0,247,0.3929,77,0.4986,0.3929,0.4986,0.3929,75,0.5257,0.3929,0.536,0.7908,155,0.8832,0.7908,0.8832,0.7908,155,0.8832,0.7908,0.8832
bookmia.07.72,casino_royale,0.7704,0.8621,0.7119,0.7908,0.8678,0,244,0.7704,115,0.8621,0.7704,0.8621,0.7704,151,0.8678,0.7704,0.8678,0.7704,151,0.8678,0.7908,0.8678,0.7704,151,0.8678,0.7908,0.8678
bookmia.07.73,casino_royale,0.8107,0.8901,0.5879,0.8155,0.8954,52,251,0.5583,115,0.6649,0.5583,0.6649,0.8107,167,0.8954,0.8107,0.8954,0.8107,167,0.8954,0.8107,0.8954,0.8107,167,0.8954,0.8155,0.8954
bookmia.07.77,casino_royale,0.0,0.1364,0.6956,0.7816,0.8743,0,250,0.7767,160,0.8743,0.7767,0.8743,0.7767,160,0.8743,0.7767,0.8743,0.7767,160,0.8743,0.7816,0.8743,0.7767,160,0.8743,0.7816,0.8743
bookmia.07.80,casino_royale,0.7756,0.8736,0.763,0.7854,0.8736,0,254,0.7756,159,0.8736,0.7756,0.8736,0.7756,159,0.8736,0.7805,0.8736,0.7756,159,0.8736,0.7805,0.8736,0.7756,159,0.8736,0.7854,0.8736
