prompt_id,n_aliases,s_anchor_nats,s_risky_nats,s_perm_nats
tqa_0220,22,7.315032,4.059174,24.998175
tqa_0221,14,6.523234,0.090794,20.744705
tqa_0222,12,3.972536,1.439036,13.799763
tqa_0223,15,5.363483,0.985446,18.480494
tqa_0224,6,2.477107,0.038236,32.900612
tqa_0225,2,5.021183,3.551184,22.272421
tqa_0226,45,4.757357,0.010206,22.252296
tqa_0227,9,0.707874,0.144565,12.103952
tqa_0228,10,0.932938,1.542177,19.215048
tqa_0229,25,0.126656,0.241456,20.719814
tqa_0230,11,0.195732,0.373943,28.986235
tqa_0231,16,3.135956,0.757257,15.076268
tqa_0232,18,3.984969,5.830858,19.225378
tqa_0233,26,1.610424,0.097762,27.615835
tqa_0234,21,5.068257,3.160777,20.177862
tqa_0235,21,0.670937,0.090796,29.920572
tqa_0236,14,0.719182,0.015694,16.573280
tqa_0237,4,2.391577,0.485127,19.951658
tqa_0238,4,2.022426,0.022292,22.359192
tqa_0239,2,1.892143,6.023941,24.335533
tqa_0240,11,0.717930,0.090865,14.644148
tqa_0241,13,6.244367,0.044106,20.053127
tqa_0242,20,0.544409,0.008492,30.637426
tqa_0243,3,0.849722,0.124930,27.599434
tqa_0244,19,5.570355,0.245652,12.823409
tqa_0245,62,1.862047,0.427643,16.178410
tqa_0246,13,4.578111,0.540078,24.348141
tqa_0247,11,3.232678,2.438084,28.737923
tqa_0248,13,4.419183,0.303280,24.137487
tqa_0249,38,0.141912,0.060023,13.112962
tqa_0250,3,0.525887,0.042607,28.777611
tqa_0251,16,2.284396,1.793408,17.278423
tqa_0252,20,8.781958,4.109676,24.353239
tqa_0253,13,3.506088,0.977214,21.095331
tqa_0254,21,3.307614,4.100956,16.424583
tqa_0255,27,3.565142,1.765547,31.369875
tqa_0256,7,0.210416,0.178810,17.191164
tqa_0257,6,3.740626,3.416368,18.299463
tqa_0258,13,3.163811,0.494742,47.732430
tqa_0259,2,15.489254,9.837642,30.937492
tqa_0260,6,3.688395,0.027933,19.496025
tqa_0261,19,3.525236,0.122669,3.731445
tqa_0262,18,6.326557,0.335591,11.708052
tqa_0263,12,0.364367,0.004009,20.324320
tqa_0264,25,1.388883,0.011206,18.769121
tqa_0265,16,9.657055,7.268013,11.705671
tqa_0266,34,2.038658,3.344691,19.103611
tqa_0267,24,5.069421,0.262165,32.864388
tqa_0268,2,3.391966,5.371756,18.700439
tqa_0269,4,5.573878,0.059484,15.912443
tqa_0270,16,2.307907,0.131704,26.728947
tqa_0271,4,5.082234,0.030384,18.153351
tqa_0272,14,0.799192,1.030585,31.188683
tqa_0273,4,22.587265,11.128297,12.910164
tqa_0274,2,6.883816,0.003064,29.236591
tqa_0275,3,9.123705,1.752547,13.493112
tqa_0276,3,2.560426,5.216641,17.230452
tqa_0277,14,0.664082,0.277684,24.134106
tqa_0278,35,14.312586,2.999591,18.580948
tqa_0279,2,3.640216,0.766693,21.077501
tqa_0280,5,4.665815,0.626991,29.987804
tqa_0281,18,1.406781,8.572140,28.689754
tqa_0282,13,0.695097,1.376546,22.610813
tqa_0283,2,5.013534,0.008302,28.003918
tqa_0284,12,3.984476,0.141710,22.654068
tqa_0285,10,9.108352,4.110418,11.803820
tqa_0286,2,3.544567,0.003704,19.815859
tqa_0287,2,3.710049,0.001385,43.236977
tqa_0288,3,14.285297,9.018552,21.340714
tqa_0289,15,2.774501,0.002465,15.233370
tqa_0290,6,4.373154,1.652470,5.653562
tqa_0291,4,4.992946,0.678179,5.293515
tqa_0292,6,6.983667,1.691122,20.364138
tqa_0293,4,3.151662,0.076794,8.425961
tqa_0294,39,0.136063,0.039487,15.904882
tqa_0295,11,1.678629,0.011455,30.325462
tqa_0296,7,18.021690,11.314537,22.749325
tqa_0297,2,6.823684,2.455131,17.139153
tqa_0298,41,0.363889,8.662911,29.286131
tqa_0299,14,3.501506,0.184540,25.311022
tqa_0300,34,9.110241,2.214595,8.324954
tqa_0301,42,0.015964,0.000112,26.757330
tqa_0302,24,0.038951,0.000156,30.055157
tqa_0303,21,4.484824,0.540865,28.169542
tqa_0304,4,14.760246,6.096498,18.812981
tqa_0305,4,13.188257,5.889821,10.651234
tqa_0306,4,5.339664,1.339116,18.389015
tqa_0307,32,1.278479,0.634767,30.795101
tqa_0308,26,1.809059,1.453246,26.764107
tqa_0309,7,0.374641,0.178293,20.158751
tqa_0310,27,5.073279,0.061945,19.143621
tqa_0311,4,10.009107,0.053374,13.730679
tqa_0312,15,7.052775,0.042796,27.458014
tqa_0313,7,15.427383,0.687389,7.328637
tqa_0314,6,6.717934,0.062578,9.595547
tqa_0315,6,5.086666,0.002067,19.440411
tqa_0316,15,7.173567,0.255499,10.225756
tqa_0317,5,13.057730,3.906375,18.579468
tqa_0318,3,8.114993,0.000253,19.376467
tqa_0319,7,9.338943,6.132174,17.570442
tqa_0320,7,10.139954,0.007013,26.316414
tqa_0321,3,7.373331,0.661974,14.721568
tqa_0322,6,8.148550,0.001165,19.015945
tqa_0323,23,11.888018,8.360743,12.634581
tqa_0324,9,8.895363,0.984188,7.952026
tqa_0325,2,2.677176,1.724042,31.289188
tqa_0326,5,7.421295,0.004833,18.038586
tqa_0327,16,13.621469,5.553397,10.172998
tqa_0328,3,14.227810,0.057965,21.994740
tqa_0329,2,15.600436,0.050915,31.720732
tqa_0330,4,6.541792,0.032162,15.480140
tqa_0331,15,1.368550,0.005964,26.276827
tqa_0332,10,5.917577,1.050843,29.297836
tqa_0333,1,13.807631,2.146380,37.529217
tqa_0334,2,7.370917,0.019736,17.402580
tqa_0335,15,8.266894,8.544338,17.942375
tqa_0336,3,13.912091,0.001441,15.576155
tqa_0337,22,1.673954,0.014011,13.226318
tqa_0338,24,0.453814,0.002242,14.982887
tqa_0339,10,0.382813,0.042315,36.266716
tqa_0340,10,2.410427,0.044160,19.948200
tqa_0341,40,4.988010,1.261645,27.852678
tqa_0342,16,11.190861,0.004975,21.063505
tqa_0343,6,12.992615,0.391462,14.086797
tqa_0344,4,5.953702,0.022224,12.877391
tqa_0345,4,5.914489,0.077235,12.868064
tqa_0346,31,2.872497,0.127635,12.468203
tqa_0347,8,3.043747,0.231690,27.995575
tqa_0348,21,3.707619,0.002769,25.532743
