pair,alpha,published_k,F,k_matched,nats_per_window,window_factor,log10_factor
KL3M-170M,4.0,2.0,0.9427,4.9936,2.8341,17.0155,1.2308
KL3M-170M,4.0,2.5,0.9681,5.8121,0.9569,2.6036,0.4156
KL3M-170M,4.0,3.0,0.9818,6.8108,-0.9968,0.369068,-0.4329
KL3M-170M,4.0,4.0,0.9931,8.1712,-1.5245,0.217722,-0.6621
KL3M-170M,4.0,5.5,0.998,9.9126,-1.3739,0.253122,-0.5967
KL3M-170M,4.0,7.5,0.9996,13.1255,-0.5406,0.582384,-0.2348
KL3M-170M,4.0,10.0,1.0,13.9792,-0.0799,0.923195,-0.0347
KL3M-170M,8.0,0.5,0.6611,2.3183,10.5271,37311.5,4.5718
KL3M-170M,8.0,0.75,0.7526,3.0371,8.3681,4307.4,3.6342
KL3M-170M,8.0,1.0,0.8163,3.6805,6.1193,454.56,2.6576
KL3M-170M,8.0,1.5,0.8973,4.7967,2.4598,11.7026,1.0683
KL3M-170M,8.0,2.0,0.9427,5.5821,0.6176,1.85439,0.2682
KL3M-170M,8.0,2.5,0.9681,6.6879,-1.7406,0.175418,-0.7559
KL3M-170M,8.0,3.0,0.9818,7.2839,-2.1458,0.116977,-0.9319
KL3M-170M,8.0,4.0,0.9931,8.9665,-2.4916,0.0827791,-1.0821
KL3M-170M,8.0,5.5,0.998,10.6813,-1.566,0.208885,-0.6801
KL3M-170M,8.0,7.5,0.9996,13.3976,-0.5849,0.557137,-0.254
KL3M-3.7B,2.0,0.5,0.7282,0.9549,8.1155,3345.95,3.5245
KL3M-3.7B,2.0,0.75,0.8145,1.435,7.9513,2839.17,3.4532
KL3M-3.7B,2.0,1.0,0.8699,1.8998,7.2176,1363.19,3.1346
KL3M-3.7B,2.0,1.5,0.9326,2.786,5.3407,208.666,2.3195
KL3M-3.7B,2.0,2.0,0.9634,3.7094,3.0726,21.5972,1.3344
KL3M-3.7B,2.0,2.5,0.9791,4.6563,1.1814,3.25909,0.5131
KL3M-3.7B,2.0,3.0,0.9874,5.373,0.1898,1.20898,0.0824
KL3M-3.7B,2.0,4.0,0.9949,6.942,-0.6376,0.528548,-0.2769
KL3M-3.7B,2.0,5.5,0.9984,8.6787,-0.3391,0.712382,-0.1473
KL3M-3.7B,2.0,7.5,0.9997,9.9303,0.0083,1.0083,0.0036
KL3M-3.7B,2.0,10.0,1.0,13.7061,-0.0243,0.976013,-0.0105
KL3M-3.7B,2.0,14.0,1.0,14.0,0.0107,1.01073,0.0046
KL3M-3.7B,4.0,0.5,0.7282,1.5666,13.2848,588188.0,5.7695
KL3M-3.7B,4.0,0.75,0.8145,2.2155,11.2054,73528.2,4.8665
KL3M-3.7B,4.0,1.0,0.8699,2.7844,9.0621,8622.0,3.9356
KL3M-3.7B,4.0,1.5,0.9326,3.8291,5.0529,156.479,2.1945
KL3M-3.7B,4.0,2.0,0.9634,4.9007,1.6314,5.11113,0.7085
KL3M-3.7B,4.0,2.5,0.9791,5.6646,0.1104,1.11668,0.0479
KL3M-3.7B,4.0,3.0,0.9874,6.6491,-0.9921,0.370808,-0.4309
KL3M-3.7B,4.0,4.0,0.9949,7.6584,-1.0004,0.367748,-0.4345
KL3M-3.7B,4.0,5.5,0.9984,9.4273,-0.4746,0.62211,-0.2061
KL3M-3.7B,4.0,7.5,0.9997,11.1499,-0.0094,0.9906,-0.0041
KL3M-3.7B,4.0,10.0,1.0,13.8338,-0.0226,0.977674,-0.0098
KL3M-3.7B,4.0,14.0,1.0,14.0,0.0167,1.01688,0.0073
KL3M-3.7B,8.0,0.5,0.7282,2.063,12.8013,362698.0,5.5595
KL3M-3.7B,8.0,0.75,0.8145,2.7621,9.7196,16640.2,4.2212
KL3M-3.7B,8.0,1.0,0.8699,3.4056,6.8128,909.413,2.9588
KL3M-3.7B,8.0,1.5,0.9326,4.5266,2.5404,12.6851,1.1033
KL3M-3.7B,8.0,2.0,0.9634,5.38,0.1877,1.20644,0.0815
KL3M-3.7B,8.0,2.5,0.9791,6.4183,-1.3443,0.260709,-0.5838
KL3M-3.7B,8.0,3.0,0.9874,7.083,-1.7102,0.180832,-0.7427
KL3M-3.7B,8.0,4.0,0.9949,8.3343,-1.3352,0.263101,-0.5799
KL3M-3.7B,8.0,5.5,0.9984,9.6283,-0.5235,0.592443,-0.2274
KL3M-3.7B,8.0,7.5,0.9997,11.748,-0.0376,0.963099,-0.0163
KL3M-3.7B,8.0,10.0,1.0,13.8687,-0.0214,0.978866,-0.0093
KL3M-3.7B,8.0,14.0,1.0,14.0,0.0198,1.01998,0.0086
KL3M-520M,2.0,0.5,0.6899,0.9858,7.3097,1494.79,3.1746
KL3M-520M,2.0,0.75,0.7788,1.4669,7.6327,2064.71,3.3149
KL3M-520M,2.0,1.0,0.8391,1.9366,7.1415,1263.29,3.1015
KL3M-520M,2.0,1.5,0.9127,2.8392,5.4162,225.028,2.3522
KL3M-520M,2.0,2.0,0.9519,3.7495,3.2414,25.5683,1.4077
KL3M-520M,2.0,2.5,0.973,4.6915,1.2713,3.56536,0.5521
KL3M-520M,2.0,3.0,0.9843,5.3812,0.3234,1.38183,0.1405
KL3M-520M,2.0,4.0,0.9938,6.9752,-0.7854,0.45595,-0.3411
KL3M-520M,2.0,5.5,0.998,8.7392,-0.4288,0.651276,-0.1862
KL3M-520M,2.0,7.5,0.9996,10.2801,-0.019,0.981153,-0.0083
KL3M-520M,2.0,10.0,1.0,13.959,-0.0563,0.945216,-0.0245
KL3M-520M,2.0,14.0,1.0,14.0,0.0437,1.04464,0.019
KL3M-520M,4.0,0.5,0.6899,1.7179,11.4043,89705.3,4.9528
KL3M-520M,4.0,0.75,0.7788,2.4083,9.3449,11440.8,4.0585
KL3M-520M,4.0,1.0,0.8391,3.0369,6.9283,1020.79,3.0089
KL3M-520M,4.0,1.5,0.9127,4.208,2.5005,12.1884,1.0859
KL3M-520M,4.0,2.0,0.9519,5.2311,-0.3656,0.693773,-0.1588
KL3M-520M,4.0,2.5,0.973,6.2525,-1.993,0.136282,-0.8656
KL3M-520M,4.0,3.0,0.9843,7.0459,-2.6156,0.0731233,-1.1359
KL3M-520M,4.0,4.0,0.9938,8.4223,-2.0912,0.123537,-0.9082
KL3M-520M,4.0,5.5,0.998,9.7166,-0.8865,0.412083,-0.385
KL3M-520M,4.0,7.5,0.9996,12.5401,-0.2264,0.797401,-0.0983
KL3M-520M,4.0,10.0,1.0,13.9874,-0.0339,0.96663,-0.0147
KL3M-520M,8.0,0.5,0.6899,2.4351,7.4752,1763.78,3.2464
KL3M-520M,8.0,0.75,0.7788,3.2919,3.5093,33.4246,1.5241
KL3M-520M,8.0,1.0,0.8391,3.9849,0.4382,1.54999,0.1903
KL3M-520M,8.0,1.5,0.9127,5.2566,-3.3504,0.035069,-1.4551
KL3M-520M,8.0,2.0,0.9519,6.4522,-5.0985,0.00610615,-2.2142
KL3M-520M,8.0,2.5,0.973,7.2469,-5.3317,0.00483598,-2.3155
KL3M-520M,8.0,3.0,0.9843,8.165,-4.9132,0.00734899,-2.1338
KL3M-520M,8.0,4.0,0.9938,9.5289,-3.3845,0.033893,-1.4699
KL3M-520M,8.0,5.5,0.998,11.3013,-1.4709,0.229715,-0.6388
KL3M-520M,8.0,7.5,0.9996,13.5107,-0.4179,0.658404,-0.1815
Llama-3.2-1B,2.0,0.5,0.6701,1.0017,6.3053,547.487,2.7384
Llama-3.2-1B,2.0,0.75,0.7617,1.4882,5.9792,395.109,2.5967
Llama-3.2-1B,2.0,1.0,0.8242,1.9671,5.0624,157.975,2.1986
Llama-3.2-1B,2.0,1.5,0.9016,2.8901,3.146,23.2433,1.3663
Llama-3.2-1B,2.0,2.0,0.9437,3.7953,1.5804,4.85695,0.6864
Llama-3.2-1B,2.0,2.5,0.9673,4.7368,0.3122,1.36642,0.1356
Llama-3.2-1B,2.0,3.0,0.9808,5.4118,-0.1791,0.835982,-0.0778
Llama-3.2-1B,2.0,4.0,0.9928,7.0926,-0.923,0.397325,-0.4009
Llama-3.2-1B,2.0,5.5,0.998,9.2607,-0.5946,0.551809,-0.2582
Llama-3.2-1B,2.0,7.5,0.9996,12.2474,-0.1119,0.894097,-0.0486
Llama-3.2-1B,2.0,10.0,0.9999,13.8173,0.0071,1.00708,0.0031
Llama-3.2-1B,4.0,0.5,0.6701,1.7634,7.6004,1998.9,3.3008
Llama-3.2-1B,4.0,0.75,0.7617,2.4671,4.7558,116.255,2.0654
Llama-3.2-1B,4.0,1.0,0.8242,3.1375,2.2452,9.44195,0.9751
Llama-3.2-1B,4.0,1.5,0.9016,4.3677,-1.0753,0.341188,-0.467
Llama-3.2-1B,4.0,2.0,0.9437,5.3595,-2.5101,0.0812562,-1.0901
Llama-3.2-1B,4.0,2.5,0.9673,6.4647,-3.1472,0.0429713,-1.3668
Llama-3.2-1B,4.0,3.0,0.9808,7.2017,-3.0437,0.0476604,-1.3218
Llama-3.2-1B,4.0,4.0,0.9928,8.9157,-2.2395,0.106511,-0.9726
Llama-3.2-1B,4.0,5.5,0.998,10.4355,-0.9339,0.393031,-0.4056
Llama-3.2-1B,4.0,7.5,0.9996,13.4159,-0.2032,0.8161,-0.0883
Llama-3.2-1B,8.0,0.5,0.6701,2.517,1.2813,3.60144,0.5565
Llama-3.2-1B,8.0,0.75,0.7617,3.4251,-2.4402,0.0871397,-1.0598
Llama-3.2-1B,8.0,1.0,0.8242,4.1894,-4.7488,0.00866202,-2.0624
Llama-3.2-1B,8.0,1.5,0.9016,5.4554,-6.5947,0.00136763,-2.864
Llama-3.2-1B,8.0,2.0,0.9437,6.6995,-6.5143,0.00148209,-2.8291
Llama-3.2-1B,8.0,2.5,0.9673,7.4182,-5.7467,0.00319321,-2.4958
Llama-3.2-1B,8.0,3.0,0.9808,8.5611,-4.848,0.00784408,-2.1055
Llama-3.2-1B,8.0,4.0,0.9928,9.7404,-2.9874,0.050416,-1.2974
Llama-3.2-1B,8.0,5.5,0.998,12.3674,-1.2619,0.28311,-0.548
Llama-3.2-1B,8.0,7.5,0.9996,13.8001,-0.2673,0.765439,-0.1161
Llama-3.2-3B,2.0,0.5,0.6976,0.9984,7.9189,2748.63,3.4391
Llama-3.2-3B,2.0,0.75,0.7868,1.4793,7.7544,2331.87,3.3677
Llama-3.2-3B,2.0,1.0,0.8463,1.9458,7.0341,1134.67,3.0549
Llama-3.2-3B,2.0,1.5,0.9174,2.8258,5.2677,193.968,2.2877
Llama-3.2-3B,2.0,2.0,0.9546,3.7067,3.3939,29.7816,1.4739
Llama-3.2-3B,2.0,2.5,0.9747,4.598,1.8547,6.38969,0.8055
Llama-3.2-3B,2.0,3.0,0.9857,5.3121,1.022,2.77882,0.4439
Llama-3.2-3B,2.0,4.0,0.9948,6.951,-0.1183,0.888418,-0.0514
Llama-3.2-3B,2.0,5.5,0.9986,9.0764,-0.2143,0.807134,-0.0931
Llama-3.2-3B,2.0,7.5,0.9997,11.5663,0.0533,1.05479,0.0232
Llama-3.2-3B,2.0,10.0,1.0,13.9623,-0.087,0.916697,-0.0378
Llama-3.2-3B,4.0,0.5,0.6976,1.7205,11.3012,80921.5,4.9081
Llama-3.2-3B,4.0,0.75,0.7868,2.381,8.9711,7871.95,3.8961
Llama-3.2-3B,4.0,1.0,0.8463,2.9699,6.719,827.996,2.918
Llama-3.2-3B,4.0,1.5,0.9174,4.0443,3.1132,22.4937,1.3521
Llama-3.2-3B,4.0,2.0,0.9546,5.0988,0.6972,2.00817,0.3028
Llama-3.2-3B,4.0,2.5,0.9747,5.9868,-0.4204,0.656813,-0.1826
Llama-3.2-3B,4.0,3.0,0.9857,6.8852,-1.1963,0.302301,-0.5196
Llama-3.2-3B,4.0,4.0,0.9948,8.1841,-0.8987,0.407082,-0.3903
Llama-3.2-3B,4.0,5.5,0.9986,9.8126,-0.3393,0.712304,-0.1473
Llama-3.2-3B,4.0,7.5,0.9997,12.788,-0.0284,0.972004,-0.0123
Llama-3.2-3B,8.0,0.5,0.6976,2.384,6.9371,1029.73,3.0127
Llama-3.2-3B,8.0,0.75,0.7868,3.1897,3.169,23.7842,1.3763
Llama-3.2-3B,8.0,1.0,0.8463,3.8779,0.4647,1.59151,0.2018
Llama-3.2-3B,8.0,1.5,0.9174,5.1257,-2.4704,0.084554,-1.0729
Llama-3.2-3B,8.0,2.0,0.9546,6.2172,-3.5715,0.0281132,-1.5511
Llama-3.2-3B,8.0,2.5,0.9747,7.0612,-3.6605,0.0257203,-1.5897
Llama-3.2-3B,8.0,3.0,0.9857,7.5966,-3.0365,0.0480009,-1.3188
Llama-3.2-3B,8.0,4.0,0.9948,9.3223,-2.0437,0.129548,-0.8876
Llama-3.2-3B,8.0,5.5,0.9986,10.647,-0.5869,0.556047,-0.2549
Llama-3.2-3B,8.0,7.5,0.9997,13.3544,-0.1455,0.864566,-0.0632
Phi-3.5-mini,2.0,0.5,0.6977,1.0013,5.0959,163.351,2.2131
Phi-3.5-mini,2.0,0.75,0.7838,1.5088,4.7923,120.58,2.0813
Phi-3.5-mini,2.0,1.0,0.8403,2.0162,3.8618,47.5492,1.6771
Phi-3.5-mini,2.0,1.5,0.9074,3.0044,1.9416,6.97017,0.8432
Phi-3.5-mini,2.0,2.0,0.9436,3.9639,0.2789,1.3217,0.1211
Phi-3.5-mini,2.0,2.5,0.9645,5.0239,-1.152,0.316012,-0.5003
Phi-3.5-mini,2.0,3.0,0.9771,5.9955,-1.9295,0.145228,-0.838
Phi-3.5-mini,2.0,4.0,0.9899,8.2832,-2.5882,0.0751534,-1.1241
Phi-3.5-mini,2.0,5.5,0.9965,12.4621,-1.7237,0.178399,-0.7486
Phi-3.5-mini,4.0,0.5,0.6977,1.7413,6.9566,1050.09,3.0212
Phi-3.5-mini,4.0,0.75,0.7838,2.459,4.431,84.0159,1.9244
Phi-3.5-mini,4.0,1.0,0.8403,3.1485,2.0516,7.78056,0.891
Phi-3.5-mini,4.0,1.5,0.9074,4.4074,-1.3607,0.256475,-0.591
Phi-3.5-mini,4.0,2.0,0.9436,5.4245,-3.039,0.0478846,-1.3198
Phi-3.5-mini,4.0,2.5,0.9645,6.7315,-4.1564,0.0156635,-1.8051
Phi-3.5-mini,4.0,3.0,0.9771,7.7355,-4.4822,0.0113087,-1.9466
Phi-3.5-mini,4.0,4.0,0.9899,10.2634,-3.877,0.0207136,-1.6837
Phi-3.5-mini,8.0,0.5,0.6977,2.3564,3.3523,28.5692,1.4559
Phi-3.5-mini,8.0,0.75,0.7838,3.198,-0.0741,0.928562,-0.0322
Phi-3.5-mini,8.0,1.0,0.8403,3.9166,-2.5521,0.0779164,-1.1084
Phi-3.5-mini,8.0,1.5,0.9074,5.2461,-5.2876,0.00505403,-2.2964
Phi-3.5-mini,8.0,2.0,0.9436,6.5749,-6.3005,0.00183545,-2.7363
Phi-3.5-mini,8.0,2.5,0.9645,7.5344,-6.3369,0.00176974,-2.7521
Phi-3.5-mini,8.0,3.0,0.9771,9.0579,-5.9246,0.00267286,-2.573
Phi-3.5-mini,8.0,4.0,0.9899,11.9673,-4.2675,0.0140163,-1.8534
Pleias-1.2B,2.0,0.5,0.5986,0.8389,9.2816,10738.4,4.0309
Pleias-1.2B,2.0,0.75,0.6972,1.2554,10.3256,30502.4,4.4843
Pleias-1.2B,2.0,1.0,0.7674,1.6407,10.5016,36372.5,4.5608
Pleias-1.2B,2.0,1.5,0.8589,2.4082,9.4264,12412.2,4.0938
Pleias-1.2B,2.0,2.0,0.9127,3.1717,7.668,2138.89,3.3302
Pleias-1.2B,2.0,2.5,0.9456,3.8819,6.0031,404.669,2.6071
Pleias-1.2B,2.0,3.0,0.9658,4.6922,4.2095,67.3205,1.8281
Pleias-1.2B,2.0,4.0,0.9864,6.0005,2.293,9.90458,0.9958
Pleias-1.2B,2.0,5.5,0.9966,7.7457,0.8326,2.29918,0.3616
Pleias-1.2B,2.0,7.5,0.9994,10.7699,-0.077,0.92586,-0.0335
Pleias-1.2B,2.0,10.0,0.9998,13.7663,-0.0731,0.929529,-0.0317
Pleias-1.2B,4.0,0.5,0.5986,1.261,17.6573,46607500.0,7.6685
Pleias-1.2B,4.0,0.75,0.6972,1.7841,17.6697,47190700.0,7.6739
Pleias-1.2B,4.0,1.0,0.7674,2.2748,16.3874,13090000.0,7.1169
Pleias-1.2B,4.0,1.5,0.8589,3.1958,12.7039,329024.0,5.5172
Pleias-1.2B,4.0,2.0,0.9127,3.9857,9.4514,12726.5,4.1047
Pleias-1.2B,4.0,2.5,0.9456,4.8848,6.2292,507.344,2.7053
Pleias-1.2B,4.0,3.0,0.9658,5.4479,4.729,113.186,2.0538
Pleias-1.2B,4.0,4.0,0.9864,7.0214,1.6814,5.37288,0.7302
Pleias-1.2B,4.0,5.5,0.9966,9.1976,0.0615,1.06347,0.0267
Pleias-1.2B,4.0,7.5,0.9994,12.4944,-0.2761,0.758749,-0.1199
Pleias-1.2B,8.0,0.5,0.5986,1.5888,20.5926,877536000.0,8.9433
Pleias-1.2B,8.0,0.75,0.6972,2.1681,19.017,181536000.0,8.259
Pleias-1.2B,8.0,1.0,0.7674,2.6896,16.763,19057100.0,7.2801
Pleias-1.2B,8.0,1.5,0.8589,3.6698,11.8879,145496.0,5.1629
Pleias-1.2B,8.0,2.0,0.9127,4.575,7.952,2841.12,3.4535
Pleias-1.2B,8.0,2.5,0.9456,5.2863,5.4347,229.214,2.3602
Pleias-1.2B,8.0,3.0,0.9658,6.1249,3.3037,27.2144,1.4348
Pleias-1.2B,8.0,4.0,0.9864,7.3609,1.1232,3.07473,0.4878
Pleias-1.2B,8.0,5.5,0.9966,9.6207,-0.3382,0.713087,-0.1469
Pleias-1.2B,8.0,7.5,0.9994,13.0617,-0.4051,0.666908,-0.1759
Pleias-350M,2.0,0.5,0.6165,0.8642,8.7179,6111.53,3.7862
Pleias-350M,2.0,0.75,0.7135,1.2903,10.2821,29205.3,4.4655
Pleias-350M,2.0,1.0,0.7817,1.6874,10.8206,50039.9,4.6993
Pleias-350M,2.0,1.5,0.8698,2.4626,10.1386,25302.0,4.4032
Pleias-350M,2.0,2.0,0.9206,3.2671,8.2803,3945.43,3.5961
Pleias-350M,2.0,2.5,0.9516,3.965,6.6621,782.183,2.8933
Pleias-350M,2.0,3.0,0.9706,4.8625,4.2128,67.5428,1.8296
Pleias-350M,2.0,4.0,0.9894,6.4624,1.2657,3.54574,0.5497
Pleias-350M,2.0,5.5,0.9978,8.9723,-0.7542,0.470397,-0.3275
Pleias-350M,2.0,7.5,0.9996,12.444,-0.6068,0.545066,-0.2636
Pleias-350M,2.0,10.0,0.9999,13.7307,-0.0211,0.979132,-0.0092
Pleias-350M,4.0,0.5,0.6165,1.3234,17.5473,41752200.0,7.6207
Pleias-350M,4.0,0.75,0.7135,1.8679,18.1468,76041600.0,7.8811
Pleias-350M,4.0,1.0,0.7817,2.3789,17.0527,25461500.0,7.4059
Pleias-350M,4.0,1.5,0.8698,3.3636,13.1182,497908.0,5.6971
Pleias-350M,4.0,2.0,0.9206,4.2289,9.5279,13737.4,4.1379
Pleias-350M,4.0,2.5,0.9516,5.12,5.8813,358.271,2.5542
Pleias-350M,4.0,3.0,0.9706,5.9529,3.3565,28.6882,1.4577
Pleias-350M,4.0,4.0,0.9894,7.438,0.0541,1.05555,0.0235
Pleias-350M,4.0,5.5,0.9978,9.9656,-1.6442,0.193162,-0.7141
Pleias-350M,4.0,7.5,0.9996,13.4082,-0.733,0.480483,-0.3183
Pleias-350M,4.0,10.0,0.9999,13.9656,-0.0112,0.988814,-0.0049
Pleias-350M,8.0,0.5,0.6165,1.7012,20.2887,647538000.0,8.8113
Pleias-350M,8.0,0.75,0.7135,2.3165,18.8109,147733000.0,8.1695
Pleias-350M,8.0,1.0,0.7817,2.8707,16.4719,14244700.0,7.1537
Pleias-350M,8.0,1.5,0.8698,3.8814,11.521,100806.0,5.0035
Pleias-350M,8.0,2.0,0.9206,4.893,6.7907,889.493,2.9491
Pleias-350M,8.0,2.5,0.9516,5.6729,3.9058,49.6892,1.6963
Pleias-350M,8.0,3.0,0.9706,6.7157,0.8585,2.35956,0.3728
Pleias-350M,8.0,4.0,0.9894,8.4646,-1.6745,0.187398,-0.7272
Pleias-350M,8.0,5.5,0.9978,11.3066,-2.0733,0.125764,-0.9004
Pleias-350M,8.0,7.5,0.9996,13.6498,-0.7788,0.458944,-0.3382
Qwen2.5-7B,2.0,0.5,0.7811,1.0648,6.366,581.73,2.7647
Qwen2.5-7B,2.0,0.75,0.8525,1.6122,5.5432,255.504,2.4074
