prompt_id,novel,recall,rouge,words,block_len,n_per_block,blocks,scorer,certificate_whole_nats,certificate_window50_nats,anchor_model,rng_seed,gen_batch,score_batch,scorer_model
bookmia.01.58,a_game_of_thrones,0.0,0.0966,162,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.59,a_game_of_thrones,0.0,0.0714,151,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.60,a_game_of_thrones,0.0,0.0398,144,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.62,a_game_of_thrones,0.0,0.1114,171,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.69,a_game_of_thrones,0.0,0.0185,123,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.71,a_game_of_thrones,0.0,0.1602,176,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.73,a_game_of_thrones,0.0,0.1273,164,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.74,a_game_of_thrones,0.0,0.1156,152,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.75,a_game_of_thrones,0.0,0.1081,69,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.76,a_game_of_thrones,0.0,0.1329,147,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.77,a_game_of_thrones,0.0,0.1954,178,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.78,a_game_of_thrones,0.0,0.0395,160,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.79,a_game_of_thrones,0.0,0.1631,113,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.81,a_game_of_thrones,0.0,0.1272,79,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.82,a_game_of_thrones,0.0,0.0875,134,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.83,a_game_of_thrones,0.0,0.0519,146,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.87,a_game_of_thrones,0.0,0.1157,149,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.88,a_game_of_thrones,0.0,0.1008,182,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.89,a_game_of_thrones,0.0,0.0867,164,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.90,a_game_of_thrones,0.0,0.118,146,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.01.97,a_game_of_thrones,0.0,0.1274,172,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.02,casino_royale,0.0,0.126,178,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.03,casino_royale,0.0,0.1363,200,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.04,casino_royale,0.0,0.0745,164,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.05,casino_royale,0.0,0.1607,152,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.06,casino_royale,0.0,0.089,187,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.07,casino_royale,0.0,0.0861,179,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
