prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n2,lcs_n2,rouge_n2,oracle_recall_n2,oracle_rouge_n2,recall_n4,lcs_n4,rouge_n4,oracle_recall_n4,oracle_rouge_n4,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n16,lcs_n16,rouge_n16,oracle_recall_n16,oracle_rouge_n16,recall_n32,lcs_n32,rouge_n32,oracle_recall_n32,oracle_rouge_n32,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.01.31,a_game_of_thrones,0.2359,0.3561,0.0,0.0,0.121,0,0,0.0,2,0.0921,0.0,0.0921,0.0,2,0.0921,0.0,0.0921,0.0,2,0.0984,0.0,0.0984,0.0,2,0.0806,0.0,0.1021,0.0,2,0.0806,0.0,0.1124,0.0,2,0.0793,0.0,0.121,0.0,2,0.0793,0.0,0.121
bookmia.01.32,a_game_of_thrones,0.0,0.1808,0.0,0.0,0.1462,0,0,0.0,1,0.0105,0.0,0.0105,0.0,2,0.1012,0.0,0.1012,0.0,1,0.0636,0.0,0.1012,0.0,1,0.0636,0.0,0.1012,0.0,1,0.0636,0.0,0.1163,0.0,1,0.0636,0.0,0.1192,0.0,1,0.0561,0.0,0.1462
bookmia.01.33,a_game_of_thrones,0.7158,0.8257,0.0,0.0,0.1377,0,0,0.0,2,0.0463,0.0,0.0463,0.0,2,0.0463,0.0,0.0645,0.0,2,0.0463,0.0,0.1377,0.0,2,0.0497,0.0,0.1377,0.0,2,0.1325,0.0,0.1377,0.0,1,0.0875,0.0,0.1377,0.0,1,0.0875,0.0,0.1377
bookmia.01.36,a_game_of_thrones,0.6946,0.7933,0.0,0.0,0.158,0,0,0.0,2,0.1115,0.0,0.1115,0.0,2,0.1115,0.0,0.1115,0.0,2,0.1115,0.0,0.1115,0.0,2,0.1115,0.0,0.1115,0.0,2,0.1011,0.0,0.1429,0.0,2,0.0818,0.0,0.158,0.0,2,0.0818,0.0,0.158
bookmia.01.37,a_game_of_thrones,0.6649,0.7602,0.0,0.0,0.1414,0,0,0.0,1,0.0456,0.0,0.0456,0.0,2,0.08,0.0,0.08,0.0,2,0.08,0.0,0.0803,0.0,2,0.08,0.0,0.1277,0.0,2,0.08,0.0,0.1277,0.0,2,0.08,0.0,0.1414,0.0,2,0.08,0.0,0.1414
bookmia.01.39,a_game_of_thrones,0.24,0.3429,0.0,0.0,0.1199,0,0,0.0,1,0.0087,0.0,0.0087,0.0,1,0.0857,0.0,0.0857,0.0,1,0.0857,0.0,0.1199,0.0,1,0.0274,0.0,0.1199,0.0,1,0.0274,0.0,0.1199,0.0,1,0.0274,0.0,0.1199,0.0,1,0.0282,0.0,0.1199
bookmia.01.41,a_game_of_thrones,0.0,0.1453,0.0,0.0,0.1461,0,0,0.0,1,0.0092,0.0,0.0092,0.0,2,0.1056,0.0,0.1056,0.0,2,0.1056,0.0,0.1056,0.0,2,0.1056,0.0,0.1056,0.0,2,0.1056,0.0,0.1405,0.0,2,0.1173,0.0,0.1405,0.0,2,0.1173,0.0,0.1461
bookmia.01.42,a_game_of_thrones,0.0,0.1862,0.0,0.0,0.1371,0,0,0.0,1,0.0816,0.0,0.0816,0.0,1,0.0569,0.0,0.0816,0.0,1,0.0569,0.0,0.1274,0.0,1,0.0494,0.0,0.1274,0.0,1,0.0494,0.0,0.1274,0.0,1,0.0494,0.0,0.1274,0.0,1,0.0273,0.0,0.1371
bookmia.01.43,a_game_of_thrones,0.0,0.1448,0.0,0.0,0.1296,0,0,0.0,2,0.065,0.0,0.065,0.0,2,0.065,0.0,0.065,0.0,2,0.1072,0.0,0.1072,0.0,1,0.0741,0.0,0.1154,0.0,2,0.1294,0.0,0.1296,0.0,1,0.0359,0.0,0.1296,0.0,1,0.0359,0.0,0.1296
bookmia.01.44,a_game_of_thrones,0.1923,0.337,0.0,0.0,0.1399,0,0,0.0,2,0.0252,0.0,0.0252,0.0,2,0.0252,0.0,0.0252,0.0,2,0.1146,0.0,0.1146,0.0,2,0.1146,0.0,0.1199,0.0,2,0.1146,0.0,0.1199,0.0,2,0.0816,0.0,0.1199,0.0,2,0.0913,0.0,0.1399
bookmia.01.46,a_game_of_thrones,0.1465,0.2727,0.0,0.0,0.1186,0,0,0.0,0,0.0,0.0,0.0,0.0,2,0.0843,0.0,0.0843,0.0,2,0.0843,0.0,0.1119,0.0,2,0.0884,0.0,0.1119,0.0,1,0.0374,0.0,0.1119,0.0,1,0.0374,0.0,0.1146,0.0,1,0.0374,0.0,0.1186
bookmia.01.49,a_game_of_thrones,0.3366,0.468,0.0,0.0,0.1318,0,0,0.0,1,0.0367,0.0,0.0367,0.0,1,0.026,0.0,0.0367,0.0,1,0.026,0.0,0.0561,0.0,1,0.0852,0.0,0.1124,0.0,1,0.0171,0.0,0.125,0.0,2,0.1318,0.0,0.1318,0.0,2,0.1318,0.0,0.1318
bookmia.01.51,a_game_of_thrones,0.75,0.8464,0.0,0.0,0.1361,0,0,0.0,2,0.0732,0.0,0.0732,0.0,2,0.0943,0.0,0.0943,0.0,2,0.0977,0.0,0.1125,0.0,2,0.0941,0.0,0.1289,0.0,2,0.0941,0.0,0.1289,0.0,1,0.0671,0.0,0.1361,0.0,2,0.0482,0.0,0.1361
bookmia.01.52,a_game_of_thrones,0.6812,0.8103,0.0,0.0,0.1451,0,0,0.0,2,0.0738,0.0,0.0738,0.0,2,0.1451,0.0,0.1451,0.0,2,0.1451,0.0,0.1451,0.0,1,0.0441,0.0,0.1451,0.0,2,0.1141,0.0,0.1451,0.0,1,0.0856,0.0,0.1451,0.0,1,0.0504,0.0,0.1451
bookmia.01.58,a_game_of_thrones,0.0,0.1468,0.0,0.0,0.1246,0,0,0.0,2,0.0929,0.0,0.0929,0.0,2,0.0929,0.0,0.0929,0.0,2,0.0929,0.0,0.0929,0.0,2,0.0929,0.0,0.0929,0.0,1,0.0452,0.0,0.0973,0.0,1,0.0682,0.0,0.1246,0.0,1,0.0682,0.0,0.1246
bookmia.01.59,a_game_of_thrones,0.3615,0.5108,0.0,0.0,0.1474,0,0,0.0,2,0.12,0.0,0.12,0.0,2,0.0614,0.0,0.12,0.0,1,0.0255,0.0,0.12,0.0,2,0.0929,0.0,0.1237,0.0,2,0.0929,0.0,0.1312,0.0,2,0.0929,0.0,0.1368,0.0,2,0.0929,0.0,0.1474
bookmia.01.60,a_game_of_thrones,0.0,0.1616,0.0,0.0,0.1326,0,0,0.0,2,0.0982,0.0,0.0982,0.0,2,0.0982,0.0,0.0982,0.0,2,0.0676,0.0,0.0982,0.0,1,0.0405,0.0,0.0982,0.0,1,0.0405,0.0,0.1192,0.0,1,0.0405,0.0,0.1326,0.0,1,0.0405,0.0,0.1326
bookmia.01.62,a_game_of_thrones,0.6543,0.7576,0.0,0.0,0.1265,0,0,0.0,2,0.0893,0.0,0.0893,0.0,2,0.0893,0.0,0.0893,0.0,2,0.0893,0.0,0.0893,0.0,2,0.0893,0.0,0.0988,0.0,2,0.1186,0.0,0.1186,0.0,2,0.1186,0.0,0.1223,0.0,1,0.0574,0.0,0.1265
bookmia.01.69,a_game_of_thrones,0.4975,0.6067,0.0,0.0,0.1215,0,0,0.0,1,0.0186,0.0,0.0186,0.0,1,0.0186,0.0,0.1124,0.0,1,0.0186,0.0,0.1124,0.0,1,0.0186,0.0,0.1124,0.0,1,0.0186,0.0,0.1124,0.0,1,0.0093,0.0,0.1166,0.0,1,0.0093,0.0,0.1215
bookmia.01.71,a_game_of_thrones,0.0,0.1589,0.0,0.0,0.1607,0,0,0.0,2,0.1478,0.0,0.1478,0.0,1,0.1245,0.0,0.1478,0.0,1,0.1245,0.0,0.1478,0.0,2,0.0759,0.0,0.1478,0.0,2,0.0759,0.0,0.1478,0.0,2,0.0759,0.0,0.1478,0.0,1,0.0529,0.0,0.1607
bookmia.01.73,a_game_of_thrones,0.1925,0.32,0.0,0.0,0.1526,0,0,0.0,2,0.1033,0.0,0.1033,0.0,2,0.1033,0.0,0.1033,0.0,2,0.0925,0.0,0.1155,0.0,2,0.1084,0.0,0.1526,0.0,2,0.1084,0.0,0.1526,0.0,2,0.0891,0.0,0.1526,0.0,2,0.0985,0.0,0.1526
bookmia.01.74,a_game_of_thrones,0.0,0.1369,0.0,0.0,0.1303,0,0,0.0,1,0.0889,0.0,0.0889,0.0,1,0.0452,0.0,0.0889,0.0,1,0.0636,0.0,0.0889,0.0,1,0.0636,0.0,0.0989,0.0,1,0.1018,0.0,0.1223,0.0,2,0.1083,0.0,0.1238,0.0,1,0.1004,0.0,0.1303
bookmia.01.75,a_game_of_thrones,0.1474,0.2389,0.0,0.0,0.1357,0,0,0.0,0,0.0,0.0,0.0,0.0,1,0.0448,0.0,0.0448,0.0,1,0.0909,0.0,0.0909,0.0,1,0.0909,0.0,0.0909,0.0,1,0.0909,0.0,0.1066,0.0,1,0.0909,0.0,0.1342,0.0,1,0.0909,0.0,0.1357
bookmia.01.76,a_game_of_thrones,0.0,0.1512,0.0,0.0,0.1477,0,0,0.0,3,0.0452,0.0,0.0452,0.0,1,0.0383,0.0,0.0452,0.0,2,0.1091,0.0,0.1091,0.0,2,0.0369,0.0,0.141,0.0,2,0.1408,0.0,0.141,0.0,2,0.1417,0.0,0.1417,0.0,2,0.1417,0.0,0.1477
bookmia.01.77,a_game_of_thrones,0.0,0.1843,0.0,0.0,0.1848,0,0,0.0,1,0.0352,0.0,0.0352,0.0,2,0.1085,0.0,0.1085,0.0,2,0.0766,0.0,0.1085,0.0,2,0.0747,0.0,0.1227,0.0,2,0.0747,0.0,0.1227,0.0,2,0.0747,0.0,0.1767,0.0,2,0.0779,0.0,0.1848
bookmia.01.78,a_game_of_thrones,0.768,0.8596,0.0,0.0,0.1474,0,0,0.0,2,0.0977,0.0,0.0977,0.0,4,0.1125,0.0,0.1125,0.0,2,0.0898,0.0,0.1125,0.0,2,0.0898,0.0,0.1125,0.0,1,0.0374,0.0,0.1474,0.0,1,0.0374,0.0,0.1474,0.0,4,0.1279,0.0,0.1474
bookmia.01.79,a_game_of_thrones,0.2982,0.4674,0.0,0.0,0.1448,0,0,0.0,1,0.0261,0.0,0.0261,0.0,3,0.0919,0.0,0.0919,0.0,3,0.0919,0.0,0.1365,0.0,2,0.0996,0.0,0.1448,0.0,2,0.0709,0.0,0.1448,0.0,3,0.0437,0.0,0.1448,0.0,3,0.0351,0.0,0.1448
bookmia.01.81,a_game_of_thrones,0.2255,0.3456,0.0,0.0,0.1429,0,0,0.0,1,0.0647,0.0,0.0647,0.0,1,0.0647,0.0,0.1418,0.0,1,0.1362,0.0,0.1418,0.0,1,0.1362,0.0,0.1418,0.0,1,0.0098,0.0,0.1418,0.0,1,0.0098,0.0,0.1418,0.0,1,0.0098,0.0,0.1429
bookmia.01.82,a_game_of_thrones,0.7799,0.8763,0.0,0.0,0.1416,0,0,0.0,2,0.08,0.0,0.08,0.0,1,0.0095,0.0,0.08,0.0,1,0.0095,0.0,0.08,0.0,1,0.0095,0.0,0.1107,0.0,1,0.0095,0.0,0.1107,0.0,1,0.0095,0.0,0.1164,0.0,1,0.0095,0.0,0.1416
bookmia.01.83,a_game_of_thrones,0.7512,0.8305,0.0,0.0,0.1534,0,0,0.0,2,0.0923,0.0,0.0923,0.0,1,0.0899,0.0,0.0923,0.0,1,0.0899,0.0,0.1529,0.0,1,0.0816,0.0,0.1529,0.0,1,0.0816,0.0,0.1529,0.0,0,0.0,0.0,0.1534,0.0,0,0.0,0.0,0.1534
bookmia.01.87,a_game_of_thrones,0.2991,0.4326,0.0,0.0,0.1473,0,0,0.0,2,0.0806,0.0,0.0806,0.0,2,0.0806,0.0,0.1118,0.0,2,0.0806,0.0,0.1118,0.0,2,0.0806,0.0,0.1292,0.0,2,0.1219,0.0,0.1292,0.0,2,0.1219,0.0,0.1425,0.0,2,0.1219,0.0,0.1473
bookmia.01.88,a_game_of_thrones,0.7385,0.8304,0.0,0.0,0.1314,0,0,0.0,1,0.0642,0.0,0.0642,0.0,2,0.0944,0.0,0.0944,0.0,2,0.1084,0.0,0.1084,0.0,2,0.1181,0.0,0.1181,0.0,2,0.0633,0.0,0.1311,0.0,2,0.0633,0.0,0.1311,0.0,1,0.0635,0.0,0.1314
bookmia.01.89,a_game_of_thrones,0.7317,0.8451,0.0,0.0,0.1405,0,0,0.0,1,0.0096,0.0,0.0096,0.0,1,0.0886,0.0,0.0886,0.0,1,0.0886,0.0,0.0886,0.0,2,0.1202,0.0,0.1202,0.0,1,0.075,0.0,0.1202,0.0,1,0.075,0.0,0.122,0.0,1,0.075,0.0,0.1405
bookmia.01.90,a_game_of_thrones,0.3782,0.4928,0.0,0.0,0.1433,0,0,0.0,1,0.0201,0.0,0.0201,0.0,2,0.1099,0.0,0.1099,0.0,2,0.1395,0.0,0.1395,0.0,2,0.1242,0.0,0.1395,0.0,2,0.09,0.0,0.1433,0.0,2,0.09,0.0,0.1433,0.0,2,0.09,0.0,0.1433
bookmia.01.97,a_game_of_thrones,0.0,0.1637,0.0,0.0,0.1504,0,0,0.0,2,0.0943,0.0,0.0943,0.0,2,0.0943,0.0,0.0943,0.0,2,0.1319,0.0,0.1319,0.0,2,0.1504,0.0,0.1504,0.0,2,0.0588,0.0,0.1504,0.0,2,0.0588,0.0,0.1504,0.0,2,0.0588,0.0,0.1504
bookmia.07.02,casino_royale,0.803,0.8835,0.0,0.0,0.1629,0,0,0.0,2,0.0959,0.0,0.0959,0.0,2,0.0959,0.0,0.0959,0.0,1,0.1312,0.0,0.1312,0.0,1,0.1312,0.0,0.1312,0.0,2,0.0896,0.0,0.1312,0.0,2,0.0896,0.0,0.1312,0.0,2,0.0896,0.0,0.1629
bookmia.07.03,casino_royale,0.5735,0.7166,0.0,0.0,0.1543,0,0,0.0,2,0.0726,0.0,0.0726,0.0,2,0.0892,0.0,0.0892,0.0,2,0.1137,0.0,0.1137,0.0,1,0.0854,0.0,0.1137,0.0,1,0.0854,0.0,0.1192,0.0,1,0.0517,0.0,0.1351,0.0,1,0.0935,0.0,0.1543
bookmia.07.04,casino_royale,0.684,0.8511,0.0,0.0,0.1263,0,0,0.0,2,0.0534,0.0,0.0534,0.0,2,0.0534,0.0,0.0534,0.0,1,0.0264,0.0,0.0853,0.0,1,0.0591,0.0,0.0976,0.0,1,0.1097,0.0,0.1097,0.0,1,0.1097,0.0,0.1097,0.0,1,0.0094,0.0,0.1263
bookmia.07.05,casino_royale,0.0,0.1703,0.0,0.0,0.171,0,0,0.0,1,0.064,0.0,0.064,0.0,2,0.171,0.0,0.171,0.0,3,0.0992,0.0,0.171,0.0,2,0.0601,0.0,0.171,0.0,2,0.0591,0.0,0.171,0.0,2,0.0591,0.0,0.171,0.0,2,0.0591,0.0,0.171
bookmia.07.06,casino_royale,0.8154,0.8983,0.0,0.0,0.1217,0,0,0.0,0,0.0,0.0,0.0,0.0,1,0.019,0.0,0.019,0.0,1,0.019,0.0,0.019,0.0,2,0.0925,0.0,0.0925,0.0,1,0.055,0.0,0.1217,0.0,1,0.0753,0.0,0.1217,0.0,2,0.1131,0.0,0.1217
bookmia.07.07,casino_royale,0.1435,0.2821,0.0,0.0,0.1317,0,0,0.0,2,0.1007,0.0,0.1007,0.0,2,0.1007,0.0,0.1007,0.0,2,0.1007,0.0,0.1007,0.0,2,0.1007,0.0,0.1227,0.0,2,0.1007,0.0,0.1317,0.0,1,0.0092,0.0,0.1317,0.0,0,0.0,0.0,0.1317
bookmia.07.08,casino_royale,0.0,0.1939,0.0,0.0,0.1379,0,0,0.0,1,0.026,0.0,0.026,0.0,1,0.026,0.0,0.0427,0.0,2,0.0669,0.0,0.0669,0.0,2,0.0669,0.0,0.0979,0.0,2,0.0669,0.0,0.1379,0.0,2,0.0669,0.0,0.1379,0.0,1,0.0812,0.0,0.1379
bookmia.07.09,casino_royale,0.7799,0.8763,0.0,0.0,0.158,0,0,0.0,2,0.1392,0.0,0.1392,0.0,2,0.1392,0.0,0.1392,0.0,2,0.1392,0.0,0.1392,0.0,2,0.1392,0.0,0.158,0.0,2,0.1392,0.0,0.158,0.0,2,0.1392,0.0,0.158,0.0,2,0.1392,0.0,0.158
bookmia.07.15,casino_royale,0.7897,0.8773,0.0,0.0,0.1481,0,0,0.0,1,0.0092,0.0,0.0092,0.0,2,0.1155,0.0,0.1155,0.0,2,0.1155,0.0,0.1155,0.0,2,0.0588,0.0,0.1364,0.0,2,0.094,0.0,0.1374,0.0,2,0.0511,0.0,0.1481,0.0,2,0.1139,0.0,0.1481
bookmia.07.16,casino_royale,0.7767,0.852,0.0,0.0,0.1542,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,0.0775,0.0,0.0775,0.0,2,0.0775,0.0,0.1128,0.0,2,0.0775,0.0,0.125,0.0,2,0.0775,0.0,0.1398,0.0,2,0.0775,0.0,0.1542
bookmia.07.17,casino_royale,0.302,0.4011,0.0,0.0,0.1366,0,0,0.0,2,0.0977,0.0,0.0977,0.0,2,0.0977,0.0,0.0977,0.0,2,0.0977,0.0,0.1366,0.0,2,0.0727,0.0,0.1366,0.0,2,0.0727,0.0,0.1366,0.0,1,0.1012,0.0,0.1366,0.0,1,0.1012,0.0,0.1366
bookmia.07.20,casino_royale,0.5681,0.7278,0.0,0.0,0.1732,0,0,0.0,2,0.1287,0.0,0.1287,0.0,2,0.1466,0.0,0.1466,0.0,2,0.1466,0.0,0.1466,0.0,1,0.0498,0.0,0.1466,0.0,1,0.0498,0.0,0.1466,0.0,1,0.0498,0.0,0.1466,0.0,2,0.0876,0.0,0.1732
bookmia.07.24,casino_royale,0.5959,0.7003,0.0,0.0,0.1373,0,0,0.0,2,0.119,0.0,0.119,0.0,2,0.119,0.0,0.1203,0.0,2,0.0962,0.0,0.1203,0.0,2,0.0778,0.0,0.1203,0.0,2,0.1214,0.0,0.1214,0.0,2,0.1214,0.0,0.1214,0.0,2,0.1214,0.0,0.1373
bookmia.07.25,casino_royale,0.743,0.8525,0.0,0.0,0.1117,0,0,0.0,2,0.0717,0.0,0.0717,0.0,0,0.0,0.0,0.0717,0.0,1,0.0574,0.0,0.1117,0.0,1,0.0889,0.0,0.1117,0.0,1,0.0426,0.0,0.1117,0.0,1,0.0089,0.0,0.1117,0.0,1,0.0089,0.0,0.1117
