row,author,status,n_words,target_words,T_target,S_anchor,S_risky,S_whole_anchor,S_whole_risky,anchor_exact,anchor_near,sel_worst_n1,sel_worst_n8,sel_worst_n64,risky_exact,risky_near,meter_0.0649836_exact,meter_0.0649836_near,meter_0.5_exact,meter_0.5_near,meter_1_exact,meter_1_near,meter_3_exact,meter_3_near,meter_10_exact,meter_10_near
159,J.K. Rowling,protected,28,14,22,79.0394,10.5498,164.62,35.9613,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25
160,Ernest Hemingway,protected,16,8,10,28.1273,5.1541,75.1533,23.3499,0.0,0.0,0.0,0.0,0.0,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.875,0.875
161,Jane Austen,public_domain,42,21,24,56.701,6.8338,156.478,26.9318,0.0,0.0,0.0,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.875,0.875
162,Paulo Coelho,protected,15,7,9,24.7011,4.3686,76.9581,23.4131,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875
163,Marilyn Monroe,protected,32,16,17,41.6295,3.834,107.0025,27.2418,0.0,0.0,0.0,0.0,0.0,0.9375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.625,1.0,1.0
165,John Lennon,protected,25,12,15,45.8368,4.0574,95.0886,25.6261,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.75,0.875
167,Mark Twain,public_domain,10,5,7,27.4325,2.6731,107.1364,49.6959,0.0,0.0,0.0,0.0,0.0,0.5,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.375
168,Charles M. Schulz,protected,9,4,6,25.4588,0.5696,67.6829,26.7614,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0
169,Suzanne Collins,protected,13,6,7,22.2898,3.6989,69.8737,36.8774,0.0,0.0,0.0,0.0,0.0,0.625,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.875,0.875
171,Ralph Waldo Emerson,public_domain,52,26,33,76.9164,4.4134,187.6073,24.3668,0.0,0.0,0.0,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.375,0.375
172,Mark Twain,public_domain,10,5,6,19.5815,3.896,46.7329,23.3051,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.625,0.625
173,Oscar Wilde,public_domain,16,8,9,29.4834,4.914,76.1033,24.5861,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.0
174,John Green,protected,8,4,5,24.207,2.8702,61.9605,26.7233,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
175,Harper Lee,protected,27,13,15,46.865,8.3334,97.2962,26.4812,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.375,0.375
176,Suzanne Collins,protected,17,8,9,21.5755,4.8174,74.1759,28.206,0.0,0.0,0.0,0.0,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875
177,Jane Austen,public_domain,19,9,13,23.4077,4.3001,93.5392,27.0812,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,1.0
181,C.S. Lewis,protected,13,6,7,22.6278,4.1594,56.4693,24.5365,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0
182,Kurt Vonnegut,protected,18,9,10,15.3611,4.8373,53.0074,24.171,0.0,0.0,0.0,0.0,0.0,0.8125,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.625,0.625
183,E.E. Cummings,protected,12,6,7,16.7848,4.844,48.4235,23.042,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.5,0.5
184,Lewis Carroll,public_domain,14,7,8,18.524,3.3497,69.389,31.2424,0.0,0.0,0.0,0.0,0.0,0.9375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,1.0
185,Stephen Chbosky,protected,9,4,5,32.1379,4.8004,61.4531,26.8513,0.0,0.0,0.0,0.0,0.0,0.5625,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.625
190,Khaled Hosseini,protected,13,6,8,27.2535,4.744,70.7937,28.7485,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.625
191,John Green,protected,24,12,14,36.3741,3.7653,135.7498,31.9482,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
192,Veronica Roth,protected,19,9,10,28.2593,4.2486,81.0818,28.8779,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875
