constraint,k,L,prompt_id,window,S_i,K_i,surplus,attempts,matched,attempts_to_match,bound_success_prob,bound_expected_attempts
kl,-1.0,50,bookmia.01.14,4,140.92,-50.0,190.92,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.14,5,40.2,-50.0,90.2,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.20,0,186.26,-50.0,236.26,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.20,1,151.51,-50.0,201.51,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.20,2,150.27,-50.0,200.27,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.20,3,185.33,-50.0,235.33,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.20,4,155.88,-50.0,205.88,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.20,5,29.47,-50.0,79.47,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.22,0,184.19,-50.0,234.19,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.22,1,163.58,-50.0,213.58,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.22,2,144.91,-50.0,194.91,4,1,4,1.0,1.0
kl,-1.0,50,bookmia.01.22,3,164.07,-50.0,214.07,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.22,4,128.85,-50.0,178.85,8,1,8,1.0,1.0
kl,-1.0,50,bookmia.01.22,5,93.1,-50.0,143.1,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.23,0,156.24,-50.0,206.24,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.23,1,147.89,-50.0,197.89,5,1,5,1.0,1.0
kl,-1.0,50,bookmia.01.23,2,161.02,-50.0,211.02,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.23,3,172.37,-50.0,222.37,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.23,4,152.14,-50.0,202.14,4,1,4,1.0,1.0
kl,-1.0,50,bookmia.01.23,5,13.26,-50.0,63.26,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.26,0,212.96,-50.0,262.96,8,1,8,1.0,1.0
kl,-1.0,50,bookmia.01.26,1,173.97,-50.0,223.97,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.26,2,131.38,-50.0,181.38,8,0,,1.0,1.0
