prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.01.78,a_game_of_thrones,0.768,0.8688,0.3313,0.366,0.5358,0,245,0.366,71,0.5358,0.366,0.5358,0.366,71,0.5358,0.366,0.5358,0.366,71,0.5358,0.366,0.5358,0.3608,62,0.5208,0.366,0.5358
bookmia.01.79,a_game_of_thrones,0.2339,0.4252,0.2549,0.3257,0.4897,0,234,0.3257,71,0.4897,0.3257,0.4897,0.3257,71,0.4897,0.3257,0.4897,0.3257,71,0.4897,0.3257,0.4897,0.3257,71,0.4897,0.3257,0.4897
bookmia.01.81,a_game_of_thrones,0.6127,0.7654,0.2843,0.3529,0.5217,0,233,0.1716,35,0.3249,0.1716,0.3249,0.3529,72,0.5217,0.3529,0.5217,0.3529,72,0.5217,0.3529,0.5217,0.3529,72,0.5217,0.3529,0.5217
bookmia.01.82,a_game_of_thrones,0.3636,0.469,0.3399,0.3732,0.5436,0,244,0.2153,45,0.3737,0.2153,0.3737,0.3732,78,0.5436,0.3732,0.5436,0.3732,78,0.5436,0.3732,0.5436,0.3732,78,0.5436,0.3732,0.5436
bookmia.01.83,a_game_of_thrones,0.5522,0.7099,0.283,0.3682,0.5309,0,225,0.3632,73,0.5309,0.3632,0.5309,0.3632,73,0.5309,0.3682,0.5309,0.3632,73,0.5309,0.3682,0.5309,0.3632,73,0.5309,0.3682,0.5309
bookmia.01.87,a_game_of_thrones,0.2991,0.462,0.2493,0.3224,0.4769,0,225,0.3131,67,0.4769,0.3131,0.4769,0.3131,67,0.4769,0.3131,0.4769,0.3224,50,0.4752,0.3224,0.4769,0.3224,50,0.4752,0.3224,0.4769
bookmia.01.88,a_game_of_thrones,0.0,0.1538,0.2936,0.3744,0.5448,0,227,0.3538,69,0.5318,0.3538,0.5318,0.3744,73,0.5448,0.3744,0.5448,0.3744,73,0.5448,0.3744,0.5448,0.3744,73,0.5448,0.3744,0.5448
bookmia.01.89,a_game_of_thrones,0.7317,0.8451,0.2727,0.3512,0.5145,0,230,0.2195,45,0.3564,0.2195,0.3564,0.3463,71,0.5126,0.3463,0.5126,0.3463,71,0.5126,0.3463,0.5126,0.3463,71,0.5126,0.3512,0.5145
bookmia.01.90,a_game_of_thrones,0.7876,0.8653,0.3354,0.4145,0.5861,0,242,0.4145,80,0.5861,0.4145,0.5861,0.4145,80,0.5861,0.4145,0.5861,0.4145,80,0.5861,0.4145,0.5861,0.4145,80,0.5861,0.4145,0.5861
bookmia.01.97,a_game_of_thrones,0.0,0.1864,0.3027,0.381,0.5462,0,223,0.2381,31,0.3735,0.2381,0.3735,0.3757,71,0.5462,0.3757,0.5462,0.3757,71,0.5462,0.3757,0.5462,0.3757,71,0.5462,0.381,0.5462
