pair,prompt_id,s_safe,s_risky,requirement,ratio
Comma-7B + mem. Comma-7B,bookmia.01.44,2.3882,0.19053755521418975,2.19766244478581,0.9202170860002555
Comma-7B + mem. Comma-7B,bookmia.01.46,2.6716,0.1831475362322782,2.488452463767722,0.9314464978917959
Comma-7B + mem. Comma-7B,bookmia.01.49,2.1274,0.20556645923988645,1.9218335407601137,0.9033719755382691
Comma-7B + mem. Comma-7B,bookmia.01.51,2.2923,0.22533873780177724,2.0669612621982227,0.9016975361855877
Comma-7B + mem. Comma-7B,bookmia.01.52,2.1816,0.25766813638272057,1.9239318636172795,0.8818902931872384
Comma-7B + mem. Comma-7B,bookmia.01.58,2.2031,0.20486872974708728,1.9982312702529128,0.9070088830524773
Comma-7B + mem. Comma-7B,bookmia.01.59,2.493,0.21898244793746396,2.274017552062536,0.9121610718261276
Comma-7B + mem. Comma-7B,bookmia.01.60,2.6284,0.29550620551117235,2.332893794488828,0.8875718286747937
Comma-7B + mem. Comma-7B,bookmia.01.62,2.3362,0.07193791660777402,2.264262083392226,0.9692072953480978
Comma-7B + mem. Comma-7B,bookmia.01.69,2.7092,0.0020748900148985527,2.7071251099851015,0.9992341318415404
Comma-7B + mem. Comma-7B,bookmia.01.71,2.3875,0.01254755228283708,2.3749524477171633,0.9947444807192305
Comma-7B + mem. Comma-7B,bookmia.01.73,2.4642,0.2903904747735762,2.1738095252264236,0.8821562881366869
Comma-7B + mem. Comma-7B,bookmia.01.74,2.3935,0.3872810804602212,2.0062189195397786,0.8381946603466801
Comma-7B + mem. Comma-7B,bookmia.01.75,2.5257,0.1313888053613271,2.394311194638673,0.94797925115361
Comma-7B + mem. Comma-7B,bookmia.01.76,2.4706,0.2609801797847594,2.2096198202152406,0.8943656683458434
Comma-7B + mem. Comma-7B,bookmia.01.77,2.2589,0.09606587377691064,2.1628341262230895,0.9574722768706403
Comma-7B + mem. Comma-7B,bookmia.01.78,2.3667,0.2394101742851777,2.127289825714822,0.8988421961865983
Comma-7B + mem. Comma-7B,bookmia.01.79,2.3922,0.19802069182827078,2.194179308171729,0.917222351045786
Comma-7B + mem. Comma-7B,bookmia.01.81,2.1786,0.0016576781605045375,2.1769423218394954,0.9992391085281812
Comma-7B + mem. Comma-7B,bookmia.01.82,2.1614,0.117551675365371,2.043848324634629,0.945613178789039
Comma-7B + mem. Comma-7B,bookmia.01.83,2.1047,0.22038402733203602,1.8843159726679637,0.8952895769791248
Comma-7B + mem. Comma-7B,bookmia.01.87,2.2893,0.11127921545400493,2.178020784545995,0.951391597670028
Comma-7B + mem. Comma-7B,bookmia.01.88,2.577,0.22031784999934417,2.3566821500006556,0.9145060729533007
Comma-7B + mem. Comma-7B,bookmia.01.89,2.3567,0.18809619241301911,2.168603807586981,0.920186620098859
Comma-7B + mem. Comma-7B,bookmia.01.90,2.5072,0.2376634502032915,2.2695365497967086,0.9052076219674172
Comma-7B + mem. Comma-7B,bookmia.01.97,1.965,0.15733068541661333,1.8076693145833866,0.9199334934266599
Comma-7B + mem. Comma-7B,bookmia.07.02,2.2239,0.20225633587967307,2.021643664120327,0.9090533136023773
Comma-7B + mem. Comma-7B,bookmia.07.03,2.6723,0.24666704042066853,2.4256329595793313,0.9076948544621979
Comma-7B + mem. Comma-7B,bookmia.07.04,2.6976,0.22377815517034522,2.4738218448296547,0.9170454644238044
Comma-7B + mem. Comma-7B,bookmia.07.05,2.6873,0.17393480221768157,2.5133651977823184,0.9352752568683506
Comma-7B + mem. Comma-7B,bookmia.07.06,2.2172,0.008327612291875595,2.2088723877081247,0.9962440861032493
Comma-7B + mem. Comma-7B,bookmia.07.07,2.5785,0.2619162044743208,2.316583795525679,0.8984230349139729
Comma-7B + mem. Comma-7B,bookmia.07.08,2.2289,0.0014406261188637992,2.227459373881136,0.9993536604967187
Comma-7B + mem. Comma-7B,bookmia.07.09,2.4944,0.2539387739798291,2.2404612260201713,0.8981964504570923
