prompt_id,novel,risky_alone_recall,risky_alone_R,min_R,median_R,anchor_recall,accepted_C4.1589,recall_C4.1589,accepted_C33.271,recall_C33.271,accepted_C83.178,recall_C83.178,accepted_C159.83,recall_C159.83,accepted_C250,recall_C250,accepted_C400,recall_C400,accepted_C600,recall_C600,accepted_C800,recall_C800
bookmia.01.36,a_game_of_thrones,0.8719,843.43,513.11,811.26,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,36,0.0,3,0.601
bookmia.01.37,a_game_of_thrones,0.9787,864.69,595.67,799.32,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,56,0.0,1,0.0
bookmia.01.39,a_game_of_thrones,0.24,684.97,506.67,720.55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6,0.0,0,0.24
bookmia.01.41,a_game_of_thrones,0.8883,897.4,524.43,729.31,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,12,0.0,2,0.0
bookmia.01.42,a_game_of_thrones,0.5366,785.18,233.92,668.4,0.0,,0.0,,0.0,,0.0,,0.0,4,0.0,4,0.0,4,0.0,0,0.5366
bookmia.01.43,a_game_of_thrones,0.2524,832.02,559.69,728.83,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,24,0.0,1,0.0
bookmia.01.44,a_game_of_thrones,0.1683,728.92,585.99,853.17,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,58,0.1683,0,0.1683
bookmia.01.46,a_game_of_thrones,0.1465,748.53,658.43,759.39,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.1465
bookmia.01.49,a_game_of_thrones,0.3366,726.4,627.79,784.19,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.3366
bookmia.01.51,a_game_of_thrones,0.9528,926.28,663.78,839.85,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,4,0.5755
bookmia.01.52,a_game_of_thrones,0.2222,686.95,610.31,857.66,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.2222
bookmia.01.58,a_game_of_thrones,0.0,652.52,568.85,709.53,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,34,0.0,0,0.0
bookmia.01.59,a_game_of_thrones,0.23,766.05,536.76,845.68,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,11,0.0,0,0.23
bookmia.01.60,a_game_of_thrones,0.1106,713.5,563.96,760.45,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,3,0.0,0,0.1106
bookmia.01.62,a_game_of_thrones,1.0,965.9,494.36,920.68,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,9,0.0,1,0.1064
bookmia.01.69,a_game_of_thrones,0.6866,868.99,478.75,884.38,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,25,0.4925,5,0.1443
bookmia.01.71,a_game_of_thrones,0.0,718.13,567.22,681.83,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,37,0.0,0,0.0
bookmia.01.73,a_game_of_thrones,0.5728,803.34,436.11,787.92,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,21,0.1502,1,0.3192
bookmia.01.74,a_game_of_thrones,0.0,654.09,416.8,656.35,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,3,0.0,0,0.0
bookmia.01.75,a_game_of_thrones,0.0,536.37,475.28,675.88,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0,0.0
bookmia.01.76,a_game_of_thrones,0.9698,908.67,548.74,856.71,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,13,0.0,1,0.1307
bookmia.01.77,a_game_of_thrones,1.0,976.04,618.95,904.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,2,0.0
bookmia.01.78,a_game_of_thrones,1.0,893.91,634.64,889.46,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,12,0.0
bookmia.01.79,a_game_of_thrones,0.2982,773.88,634.71,754.96,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.2982
bookmia.01.81,a_game_of_thrones,0.0,722.46,522.91,815.32,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,57,0.0,0,0.0
bookmia.01.82,a_game_of_thrones,0.9904,829.18,648.39,830.03,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1,0.3636
bookmia.01.83,a_game_of_thrones,0.8905,892.98,548.23,822.56,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,56,0.0,2,0.7463
bookmia.01.87,a_game_of_thrones,0.0,620.48,524.09,764.84,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,5,0.0,0,0.0
bookmia.01.88,a_game_of_thrones,0.0,555.89,539.11,869.04,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0,0.0
bookmia.01.89,a_game_of_thrones,0.2195,747.84,683.14,922.94,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.2195
bookmia.01.90,a_game_of_thrones,0.3472,887.2,574.34,845.53,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,37,0.0,4,0.0
bookmia.01.97,a_game_of_thrones,0.0,678.58,519.32,634.02,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,2,0.0,0,0.0
bookmia.07.02,casino_royale,1.0,835.43,544.21,826.13,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,9,0.1478,3,0.8276
bookmia.07.03,casino_royale,0.9431,950.99,494.17,672.28,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6,0.0948,1,0.0948
bookmia.07.04,casino_royale,0.2406,711.61,538.48,727.34,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,8,0.1132,0,0.2406
bookmia.07.05,casino_royale,1.0,966.49,640.06,926.7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1,0.0
bookmia.07.06,casino_royale,0.9436,738.75,533.23,758.92,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,11,0.2513,0,0.9436
