anchor,event,n,n_passages,rate,rate_se,cover,base_rate_n1,amplification_vs_n1,pool_events,pool_draws,per_draw_rate,amplification_vs_per_draw,bound_n_times_per_draw,g0,g2
kl3m37b,E_08,64,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m37b,E_08,256,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m37b,E_001,1,100,0.91,0.0286,0.91,0.91,1.0,24055,25600,0.939648,0.9684,0.939648,PASS,PASS
kl3m37b,E_001,8,100,0.99,0.0099,0.99,0.91,1.0879,24055,25600,0.939648,1.0536,1.0,PASS,PASS
kl3m37b,E_001,64,100,0.99,0.0099,0.99,0.91,1.0879,24055,25600,0.939648,1.0536,1.0,PASS,PASS
kl3m37b,E_001,256,100,1.0,0.0,1.0,0.91,1.0989,24055,25600,0.939648,1.0642,1.0,PASS,PASS
kl3m520m,E_08,1,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m520m,E_08,8,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m520m,E_08,64,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m520m,E_08,256,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
kl3m520m,E_001,1,100,0.92,0.0271,0.92,0.92,1.0,22594,25600,0.882578,1.0424,0.882578,PASS,PASS
kl3m520m,E_001,8,100,0.99,0.0099,0.99,0.92,1.0761,22594,25600,0.882578,1.1217,1.0,PASS,PASS
kl3m520m,E_001,64,100,1.0,0.0,1.0,0.92,1.087,22594,25600,0.882578,1.133,1.0,PASS,PASS
kl3m520m,E_001,256,100,1.0,0.0,1.0,0.92,1.087,22594,25600,0.882578,1.133,1.0,PASS,PASS
llama32_1b,E_08,1,100,0.03,0.0171,0.03,0.03,1.0,465,25600,0.018164,1.6516,0.018164,PASS,PASS
llama32_1b,E_08,8,100,0.05,0.0218,0.05,0.03,1.6667,465,25600,0.018164,2.7527,0.145313,PASS,PASS
llama32_1b,E_08,64,100,0.09,0.0286,0.09,0.03,3.0,465,25600,0.018164,4.9548,1.0,PASS,PASS
llama32_1b,E_08,256,100,0.12,0.0325,0.13,0.03,4.0,465,25600,0.018164,6.6065,1.0,PASS,PASS
llama32_1b,E_001,1,100,0.83,0.0376,0.83,0.83,1.0,19885,25600,0.776758,1.0685,0.776758,PASS,PASS
llama32_1b,E_001,8,100,0.95,0.0218,0.97,0.83,1.1446,19885,25600,0.776758,1.223,1.0,PASS,PASS
llama32_1b,E_001,64,100,0.98,0.014,0.99,0.83,1.1807,19885,25600,0.776758,1.2617,1.0,PASS,PASS
llama32_1b,E_001,256,100,0.97,0.0171,1.0,0.83,1.1687,19885,25600,0.776758,1.2488,1.0,PASS,PASS
llama32_3b,E_08,1,100,0.06,0.0237,0.06,0.06,1.0,1192,25600,0.046562,1.2886,0.046562,PASS,PASS
llama32_3b,E_08,8,100,0.09,0.0286,0.09,0.06,1.5,1192,25600,0.046562,1.9329,0.3725,PASS,PASS
llama32_3b,E_08,64,100,0.11,0.0313,0.13,0.06,1.8333,1192,25600,0.046562,2.3624,1.0,PASS,PASS
llama32_3b,E_08,256,100,0.11,0.0313,0.15,0.06,1.8333,1192,25600,0.046562,2.3624,1.0,PASS,PASS
llama32_3b,E_001,1,100,0.85,0.0357,0.85,0.85,1.0,21430,25600,0.837109,1.0154,0.837109,PASS,PASS
llama32_3b,E_001,8,100,0.97,0.0171,0.98,0.85,1.1412,21430,25600,0.837109,1.1587,1.0,PASS,PASS
llama32_3b,E_001,64,100,0.98,0.014,1.0,0.85,1.1529,21430,25600,0.837109,1.1707,1.0,PASS,PASS
llama32_3b,E_001,256,100,0.97,0.0171,1.0,0.85,1.1412,21430,25600,0.837109,1.1587,1.0,PASS,PASS
opencalm1b,E_08,1,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm1b,E_08,8,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm1b,E_08,64,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm1b,E_08,256,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm1b,E_001,1,100,0.61,0.0488,0.61,0.61,1.0,16171,25600,0.63168,0.9657,0.63168,PASS,PASS
opencalm1b,E_001,8,100,0.85,0.0357,0.9,0.61,1.3934,16171,25600,0.63168,1.3456,1.0,PASS,PASS
opencalm1b,E_001,64,100,0.95,0.0218,0.96,0.61,1.5574,16171,25600,0.63168,1.5039,1.0,PASS,PASS
opencalm1b,E_001,256,100,0.99,0.0099,1.0,0.61,1.623,16171,25600,0.63168,1.5673,1.0,PASS,PASS
opencalm3b,E_08,1,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm3b,E_08,8,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm3b,E_08,64,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm3b,E_08,256,100,0.0,0.0,0.0,0.0,,0,25600,0.0,,0.0,PASS,PASS
opencalm3b,E_001,1,100,0.99,0.0099,0.99,0.99,1.0,25002,25600,0.976641,1.0137,0.976641,PASS,PASS
opencalm3b,E_001,8,100,1.0,0.0,1.0,0.99,1.0101,25002,25600,0.976641,1.0239,1.0,PASS,PASS
opencalm3b,E_001,64,100,1.0,0.0,1.0,0.99,1.0101,25002,25600,0.976641,1.0239,1.0,PASS,PASS
opencalm3b,E_001,256,100,1.0,0.0,1.0,0.99,1.0101,25002,25600,0.976641,1.0239,1.0,PASS,PASS
phi35mini,E_08,1,100,0.0,0.0,0.0,0.0,,185,25600,0.007227,0.0,0.007227,PASS,PASS
phi35mini,E_08,8,100,0.01,0.0099,0.01,0.0,,185,25600,0.007227,1.3838,0.057813,PASS,PASS
phi35mini,E_08,64,100,0.01,0.0099,0.01,0.0,,185,25600,0.007227,1.3838,0.4625,PASS,PASS
phi35mini,E_08,256,100,0.02,0.014,0.02,0.0,,185,25600,0.007227,2.7676,1.0,PASS,PASS
phi35mini,E_001,1,100,0.87,0.0336,0.87,0.87,1.0,21640,25600,0.845313,1.0292,0.845313,PASS,PASS
phi35mini,E_001,8,100,0.96,0.0196,0.97,0.87,1.1034,21640,25600,0.845313,1.1357,1.0,PASS,PASS
phi35mini,E_001,64,100,0.95,0.0218,0.98,0.87,1.092,21640,25600,0.845313,1.1238,1.0,PASS,PASS
phi35mini,E_001,256,100,0.97,0.0171,1.0,0.87,1.1149,21640,25600,0.845313,1.1475,1.0,PASS,PASS
pleias12b,E_08,1,100,0.05,0.0218,0.05,0.05,1.0,1147,25600,0.044805,1.116,0.044805,PASS,PASS
pleias12b,E_08,8,100,0.05,0.0218,0.05,0.05,1.0,1147,25600,0.044805,1.116,0.358438,PASS,PASS
pleias12b,E_08,64,100,0.05,0.0218,0.05,0.05,1.0,1147,25600,0.044805,1.116,1.0,PASS,PASS
pleias12b,E_08,256,100,0.05,0.0218,0.05,0.05,1.0,1147,25600,0.044805,1.116,1.0,PASS,PASS
pleias12b,E_001,1,100,0.98,0.014,0.98,0.98,1.0,24946,25600,0.974453,1.0057,0.974453,PASS,PASS
pleias12b,E_001,8,100,0.99,0.0099,0.99,0.98,1.0102,24946,25600,0.974453,1.016,1.0,PASS,PASS
pleias12b,E_001,64,100,0.99,0.0099,0.99,0.98,1.0102,24946,25600,0.974453,1.016,1.0,PASS,PASS
pleias12b,E_001,256,100,0.99,0.0099,0.99,0.98,1.0102,24946,25600,0.974453,1.016,1.0,PASS,PASS
pleias350m,E_08,1,100,0.05,0.0218,0.05,0.05,1.0,1045,25600,0.04082,1.2249,0.04082,PASS,PASS
pleias350m,E_08,8,100,0.05,0.0218,0.05,0.05,1.0,1045,25600,0.04082,1.2249,0.326562,PASS,PASS
pleias350m,E_08,64,100,0.05,0.0218,0.05,0.05,1.0,1045,25600,0.04082,1.2249,1.0,PASS,PASS
pleias350m,E_08,256,100,0.05,0.0218,0.05,0.05,1.0,1045,25600,0.04082,1.2249,1.0,PASS,PASS
pleias350m,E_001,1,100,0.97,0.0171,0.97,0.97,1.0,24718,25600,0.965547,1.0046,0.965547,PASS,PASS
pleias350m,E_001,8,100,0.99,0.0099,0.99,0.97,1.0206,24718,25600,0.965547,1.0253,1.0,PASS,PASS
pleias350m,E_001,64,100,0.99,0.0099,0.99,0.97,1.0206,24718,25600,0.965547,1.0253,1.0,PASS,PASS
pleias350m,E_001,256,100,0.99,0.0099,0.99,0.97,1.0206,24718,25600,0.965547,1.0253,1.0,PASS,PASS
qwen25_7b,E_08,1,100,0.11,0.0313,0.11,0.11,1.0,2613,25600,0.10207,1.0777,0.10207,PASS,PASS
qwen25_7b,E_08,8,100,0.14,0.0347,0.14,0.11,1.2727,2613,25600,0.10207,1.3716,0.816562,PASS,PASS
qwen25_7b,E_08,64,100,0.15,0.0357,0.16,0.11,1.3636,2613,25600,0.10207,1.4696,1.0,PASS,PASS
qwen25_7b,E_08,256,100,0.15,0.0357,0.16,0.11,1.3636,2613,25600,0.10207,1.4696,1.0,PASS,PASS
qwen25_7b,E_001,1,100,0.9,0.03,0.9,0.9,1.0,23125,25600,0.90332,0.9963,0.90332,PASS,PASS
qwen25_7b,E_001,8,100,0.97,0.0171,0.97,0.9,1.0778,23125,25600,0.90332,1.0738,1.0,PASS,PASS
qwen25_7b,E_001,64,100,0.98,0.014,0.98,0.9,1.0889,23125,25600,0.90332,1.0849,1.0,PASS,PASS
qwen25_7b,E_001,256,100,0.99,0.0099,0.99,0.9,1.1,23125,25600,0.90332,1.096,1.0,PASS,PASS
