prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.01.60,a_game_of_thrones,0.0,0.1616,0.2281,0.3942,0.5714,0,196,0.2981,62,0.5361,0.2981,0.5361,0.3942,82,0.5655,0.3942,0.5655,0.3942,82,0.5655,0.3942,0.5714,0.3942,82,0.5655,0.3942,0.5714
bookmia.01.62,a_game_of_thrones,0.6543,0.7576,0.3599,0.516,0.6807,0,230,0.2074,39,0.3554,0.2074,0.3554,0.4787,61,0.6502,0.4787,0.6502,0.516,97,0.6807,0.516,0.6807,0.516,97,0.6807,0.516,0.6807
bookmia.01.69,a_game_of_thrones,0.4975,0.6067,0.123,0.5124,0.671,0,249,0.1294,26,0.2968,0.1294,0.2968,0.1294,26,0.3473,0.1294,0.3473,0.5124,77,0.671,0.5124,0.671,0.5124,77,0.671,0.5124,0.671
bookmia.01.71,a_game_of_thrones,0.0,0.1589,0.1014,0.4739,0.641,0,167,0.1374,29,0.2893,0.1374,0.2893,0.4739,85,0.6346,0.4739,0.6346,0.4739,85,0.6346,0.4739,0.6346,0.4739,100,0.641,0.4739,0.641
bookmia.01.73,a_game_of_thrones,0.1925,0.32,0.1129,0.4272,0.586,0,119,0.0,8,0.1886,0.0,0.1886,0.0,6,0.1731,0.0,0.1911,0.3803,81,0.5623,0.3803,0.5623,0.4272,89,0.586,0.4272,0.586
bookmia.01.74,a_game_of_thrones,0.0,0.1369,0.1533,0.5309,0.6936,0,119,0.0,12,0.2333,0.0,0.2333,0.0,7,0.1633,0.1031,0.2333,0.4278,83,0.587,0.4278,0.6014,0.5309,103,0.6936,0.5309,0.6936
bookmia.01.75,a_game_of_thrones,0.1474,0.2389,0.0336,0.3526,0.5638,0,41,0.0,16,0.2476,0.0,0.2476,0.0,16,0.2476,0.1263,0.2752,0.3526,67,0.5638,0.3526,0.5638,0.3526,67,0.5638,0.3526,0.5638
bookmia.01.76,a_game_of_thrones,0.0,0.1512,0.1481,0.4925,0.6577,0,118,0.2714,54,0.4306,0.2714,0.4306,0.2714,54,0.4306,0.2714,0.4306,0.4925,98,0.6577,0.4925,0.6577,0.4925,96,0.6532,0.4925,0.6577
bookmia.01.77,a_game_of_thrones,0.0,0.1843,0.254,0.4645,0.6343,0,199,0.4313,86,0.5935,0.4313,0.5935,0.4313,86,0.5935,0.4313,0.5935,0.4645,86,0.6214,0.4645,0.6214,0.4645,98,0.6343,0.4645,0.6343
bookmia.01.78,a_game_of_thrones,0.768,0.8596,0.237,0.5361,0.6936,0,228,0.2062,40,0.3345,0.2062,0.3345,0.2165,42,0.3826,0.2165,0.3826,0.5258,102,0.6869,0.5258,0.6869,0.5361,70,0.6936,0.5361,0.6936
