prompt_id,u_sel_n64,u_sel_n1,u_metered_k10,u_anchor_k0,gain_sel,gain_metered,diff
bookmia100unseen.58.003,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.58.004,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.58.005,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.58.006,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.58.007,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.58.008,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.58.009,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.58.010,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.58.011,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.58.012,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.58.013,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.58.014,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.58.015,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.58.016,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.58.017,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.58.018,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.59.000,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
bookmia100unseen.59.001,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.59.002,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.59.003,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.59.004,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.59.005,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.59.006,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.59.007,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.59.008,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.59.009,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.59.010,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.59.011,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.59.012,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.59.013,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.59.014,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.59.015,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.59.016,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.59.017,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
bookmia100unseen.59.018,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.64.000,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.64.001,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.64.002,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.64.003,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.64.005,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.64.006,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.64.007,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.64.008,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.64.009,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.64.010,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.64.011,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.64.012,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.64.013,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.64.014,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.64.015,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.64.016,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.64.017,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.64.018,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.64.019,0.0,0.25,0.5,0.25,-0.25,0.25,-0.5
bookmia100unseen.67.000,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.67.001,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.67.002,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.67.003,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.67.004,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.67.005,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
bookmia100unseen.67.006,0.25,0.5,0.5,0.5,-0.25,0.0,-0.25
bookmia100unseen.67.007,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.67.008,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.67.009,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.67.010,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.67.011,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.67.012,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
bookmia100unseen.67.013,0.5,0.0,0.5,0.0,0.5,0.5,0.0
bookmia100unseen.67.014,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.67.015,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
bookmia100unseen.67.016,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.67.017,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.67.018,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.68.000,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
bookmia100unseen.68.001,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
bookmia100unseen.68.002,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.68.003,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.68.004,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.68.005,0.75,0.25,0.5,0.25,0.5,0.25,0.25
bookmia100unseen.68.006,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.68.007,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.68.008,0.0,0.25,0.5,0.25,-0.25,0.25,-0.5
bookmia100unseen.68.009,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.68.010,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.68.011,0.25,0.5,0.5,0.5,-0.25,0.0,-0.25
bookmia100unseen.68.012,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.68.013,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.68.014,1.0,0.5,0.5,0.5,0.5,0.0,0.5
bookmia100unseen.68.015,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.68.016,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.68.017,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.68.018,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.69.000,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.69.001,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.69.002,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.69.003,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.69.004,1.0,1.0,0.5,1.0,0.0,-0.5,0.5
bookmia100unseen.69.006,1.0,0.75,0.5,0.75,0.25,-0.25,0.5
bookmia100unseen.69.007,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.69.008,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.69.009,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
bookmia100unseen.69.010,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.69.011,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.69.012,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.69.013,0.75,0.25,0.5,0.25,0.5,0.25,0.25
bookmia100unseen.69.014,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.69.015,0.25,0.5,0.5,0.5,-0.25,0.0,-0.25
bookmia100unseen.69.016,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.69.017,0.25,0.5,0.5,0.5,-0.25,0.0,-0.25
bookmia100unseen.69.018,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
bookmia100unseen.69.019,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.72.000,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.72.001,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.72.002,0.75,0.25,0.5,0.25,0.5,0.25,0.25
bookmia100unseen.72.005,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.72.006,0.25,0.5,0.5,0.5,-0.25,0.0,-0.25
bookmia100unseen.72.007,0.25,0.75,0.5,0.75,-0.5,-0.25,-0.25
bookmia100unseen.72.008,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.72.009,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.72.010,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.72.011,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.72.012,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.72.013,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.72.014,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
bookmia100unseen.72.015,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.72.016,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.72.017,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
bookmia100unseen.72.018,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.72.019,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.72.020,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.73.000,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
bookmia100unseen.73.001,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.73.002,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.73.003,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.73.004,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.73.005,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.73.006,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.73.007,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.73.008,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.73.009,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.73.010,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.73.011,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.73.012,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.73.013,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.73.014,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.73.015,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.73.016,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.73.017,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.73.018,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.74.000,0.25,0.75,0.5,0.75,-0.5,-0.25,-0.25
bookmia100unseen.74.001,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.74.002,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.74.003,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.74.004,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.74.005,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.74.006,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.74.007,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.74.008,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.74.009,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.74.010,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.74.011,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.74.012,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.74.013,0.25,0.0,0.5,0.0,0.25,0.5,-0.25
bookmia100unseen.74.014,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.74.015,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.74.016,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.74.017,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.74.018,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.75.000,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.75.001,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.75.002,0.25,0.5,0.5,0.5,-0.25,0.0,-0.25
bookmia100unseen.75.003,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.75.004,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.75.005,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.75.006,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.75.007,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.75.008,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.75.009,0.25,0.5,0.5,0.5,-0.25,0.0,-0.25
bookmia100unseen.75.010,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.75.011,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.75.012,0.75,1.0,0.5,1.0,-0.25,-0.5,0.25
bookmia100unseen.75.013,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.75.014,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.75.015,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.75.016,0.25,0.5,0.5,0.5,-0.25,0.0,-0.25
bookmia100unseen.75.017,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.76.000,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.76.001,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.76.002,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.76.003,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.76.004,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.76.005,0.75,0.25,0.5,0.25,0.5,0.25,0.25
bookmia100unseen.76.006,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.76.007,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.76.008,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.76.009,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.76.010,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.76.011,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.76.012,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.76.013,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.76.014,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.76.015,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.76.016,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.76.017,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.79.000,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.79.001,0.25,0.25,0.5,0.25,0.0,0.25,-0.25
bookmia100unseen.79.002,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.79.003,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.79.004,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.79.005,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.79.006,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.79.007,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.79.008,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.79.009,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.79.010,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.79.011,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.79.012,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.79.013,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.79.014,0.5,0.75,0.5,0.75,-0.25,-0.25,0.0
bookmia100unseen.79.015,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.79.016,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.79.017,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.83.000,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.83.001,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.83.002,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.83.003,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.83.004,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.83.005,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.83.006,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.83.007,0.5,0.5,0.5,0.5,0.0,0.0,0.0
bookmia100unseen.83.008,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.83.009,0.5,0.25,0.5,0.25,0.25,0.25,0.0
bookmia100unseen.83.010,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
bookmia100unseen.83.011,0.75,0.5,0.5,0.5,0.25,0.0,0.25
bookmia100unseen.83.012,0.75,0.75,0.5,0.75,0.0,-0.25,0.25
