model,id,novel,n_tok,s_rate,k_crit,binding_token,binding_frac,ratio_skip0,ratio_skip1,ratio_skip5,ratio_skip10,ratio_skip20
alea-institute/kl3m-003-3.7b,bookmia.37.32,the_hunger_games,137,1.0510224167768056,3.6333169393474236,3,0.021897810218978103,3.456935724063621,3.7045160364091565,1.3549418827337323,1.5925502065944546,1.2110556692920762
alea-institute/kl3m-003-3.7b,bookmia.37.34,the_hunger_games,129,1.163543735846389,2.857329750061035,0,0.0,2.4557132336607412,1.1180598133136577,1.3926830835919788,1.2358495442855857,3.4136679517491824
alea-institute/kl3m-003-3.7b,bookmia.37.35,the_hunger_games,128,1.0687323440588707,10.657660484313965,0,0.0,9.972244728589304,1.1746294745299335,1.3925240489423583,2.953119711058893,2.3481636475264405
alea-institute/kl3m-003-3.7b,bookmia.37.36,the_hunger_games,125,1.009104856678658,4.084652900695801,1,0.008,4.047798277514909,5.096816075280664,4.827169291481146,4.018760371450122,1.158366720646873
alea-institute/kl3m-003-3.7b,bookmia.37.37,the_hunger_games,131,1.0393661201069408,3.1213722229003906,0,0.0,3.0031498646302146,2.46986849121062,4.8803141983685245,1.0581270092672854,1.672720436151109
alea-institute/kl3m-003-3.7b,bookmia.37.39,the_hunger_games,132,1.147316111366784,7.3540239334106445,0,0.0,6.409762628234937,2.453777641818095,1.095112228742893,1.489678709296305,1.1543184389507208
alea-institute/kl3m-003-3.7b,bookmia.37.40,the_hunger_games,127,1.1574574120838976,3.2572943369547525,0,0.0,2.814180723151004,1.0180310137531543,1.1188416204152127,1.5831309093129713,3.973632095010741
alea-institute/kl3m-003-3.7b,bookmia.37.41,the_hunger_games,126,1.0351696230379441,1.5113985650241375,4,0.031746031746031744,1.4600491855514361,1.502013655698797,1.2777911350320679,1.0912609002455966,1.3896064347833623
alea-institute/kl3m-003-3.7b,bookmia.37.42,the_hunger_games,124,0.9039825959139864,3.3772997856140137,0,0.0,3.7360230173450844,1.2774774525042432,2.2783560252196597,1.019049634556296,1.0417617428879724
alea-institute/kl3m-003-3.7b,bookmia.37.44,the_hunger_games,125,1.2649230747102997,7.775026321411133,0,0.0,6.146639646993408,2.594546579164037,1.311789463408,2.2908194672971356,1.5250020826732322
alea-institute/kl3m-003-3.7b,bookmia.37.45,the_hunger_games,130,1.1007279837855448,1.7638306617736816,0,0.0,1.6024219314454435,1.5454686821573331,2.0937969660601863,1.847774119572617,2.0125320566484666
alea-institute/kl3m-003-3.7b,bookmia.37.47,the_hunger_games,147,0.8511618382348489,1.2613862752914429,0,0.0,1.4819582112695784,1.2013556281309345,1.2812344019136228,1.906439448401271,2.3539560040683156
alea-institute/kl3m-003-3.7b,bookmia.37.50,the_hunger_games,123,1.2067217774873193,5.410895824432373,0,0.0,4.483963018964603,0.9885424469521795,1.0336310583858308,1.1749392563512757,1.0647976081165662
alea-institute/kl3m-003-3.7b,bookmia.37.51,the_hunger_games,132,1.025359480508381,8.234519004821777,0,0.0,8.03086055315843,1.6401216544957857,2.1019475736158952,3.228720237922886,1.4225109376380776
alea-institute/kl3m-003-3.7b,bookmia.37.52,the_hunger_games,143,1.106544393500135,3.3047125339508057,0,0.0,2.986515998239887,1.1673380023611215,1.565762457196555,4.157311531580143,1.1973002785867395
alea-institute/kl3m-003-3.7b,bookmia.37.55,the_hunger_games,122,1.0344779526768162,15.18460750579834,0,0.0,14.678522114953378,1.8930189808060798,1.6224826888630044,1.4004711379827415,1.9158469563471832
alea-institute/kl3m-003-3.7b,bookmia.37.57,the_hunger_games,134,1.1729555517877452,1.5836219787597656,0,0.0,1.3501125224618344,1.207380754561354,1.5793158536009961,1.22578054846272,2.7998907686770145
alea-institute/kl3m-003-3.7b,bookmia.37.58,the_hunger_games,131,1.0820268057206144,6.542782465616862,0,0.0,6.046784082451139,1.0844523803253288,1.3879262387072757,1.2190244915357047,1.3513539655166853
alea-institute/kl3m-003-3.7b,bookmia.37.59,the_hunger_games,138,1.310548713453589,13.525290489196777,0,0.0,10.320326402484202,2.0261815298622126,4.376196735683663,3.9948874543173307,1.1314807679323406
alea-institute/kl3m-003-3.7b,bookmia.37.68,the_hunger_games,134,1.0377469823293972,4.024318981170654,1,0.007462686567164179,3.877938504949824,4.912588500142496,1.4584933634962616,2.0874688638128562,1.3350763795575034
alea-institute/kl3m-003-3.7b,bookmia.37.72,the_hunger_games,126,1.1269988165891154,6.3441972732543945,0,0.0,5.6292847693090176,1.4452052462067329,0.9669139304767935,1.4660276509331658,0.9930391706907308
alea-institute/kl3m-003-3.7b,bookmia.37.74,the_hunger_games,130,0.9841007998933133,3.3812763690948486,0,0.0,3.435904502324776,1.6003706467739933,1.5648964179843072,2.471167873152109,1.278773881068
alea-institute/kl3m-003-3.7b,bookmia.37.80,the_hunger_games,134,1.0183224454280584,8.434065818786621,0,0.0,8.282313580195424,2.2700511882847785,1.788118115764948,1.8648849906891452,1.2579816842727871
alea-institute/kl3m-003-3.7b,bookmia.37.82,the_hunger_games,135,0.9715620621307041,2.0596607753208707,0,0.0,2.1199477167767227,1.3098951643641934,2.240586332040648,1.5391374213692641,2.098445078371707
