band,quantity,value,lo95,hi95,lo90,hi90,n,reading,predicted,verdict
P5,sel_n64 - winc_125 (chat_B),-0.16,-0.1985,-0.122,,,500,REFUTED,REFUTED,right
P5,sel_n64 - winc_12.48 (chat_B),0.045,0.0095,0.081,,,500,CONFIRMED,CONFIRMED,right
P7,differences of P1-P4 with the same sign under judge G,9,,,,,9,right,all,
descriptive,"sensitivity of met_k0.5 - anchor_k0: MDE at 80% power, 90% CI, TOST at the known difference +0.0650 and at half selection's gain +0.0508",-0.003,,,-0.0205,0.015,500,MDE80 0.0305; equivalent within 0.065: yes; within 0.051: yes,,
descriptive,"sensitivity of frontkl_4.16 - anchor_k0: MDE at 80% power, 90% CI, TOST at the known difference +0.0650 and at half selection's gain +0.0508",0.0125,,,-0.004,0.0295,500,MDE80 0.0287; equivalent within 0.065: yes; within 0.051: yes,,
descriptive,"sensitivity of win_4.16 - win_0: MDE at 80% power, 90% CI, TOST at the known difference +0.0650 and at half selection's gain +0.0508",0.0115,,,-0.0075,0.0305,500,MDE80 0.0325; equivalent within 0.065: yes; within 0.051: yes,,
descriptive,"sensitivity of frontpw_4.16 - win_0: MDE at 80% power, 90% CI, TOST at the known difference +0.0650 and at half selection's gain +0.0508",0.023,,,0.0045,0.041,500,MDE80 0.0311; equivalent within 0.065: yes; within 0.051: yes,,
descriptive,"sensitivity of pw_33.27 - win_0: MDE at 80% power, 90% CI, TOST at the known difference +0.0650 and at half selection's gain +0.0508",0.0125,,,-0.003,0.0285,500,MDE80 0.0267; equivalent within 0.065: yes; within 0.051: yes,,
descriptive,plain_B: level of sel_n64's empty texts,0.4939,,,,,41,"arm level 0.555, order consistency 0.288",,
descriptive,plain_B: level of sel_n1's empty texts,0.4531,,,,,64,"arm level 0.4535, order consistency 0.3",,
descriptive,plain_B: level of anchor_k0's empty texts,0.4234,,,,,62,"arm level 0.4385, order consistency 0.294",,
descriptive,plain_B: level of blk10n64's empty texts,0.4568,,,,,110,"arm level 0.6005, order consistency 0.346",,
descriptive,plain_B: level of blk25n64's empty texts,0.4808,,,,,104,"arm level 0.588, order consistency 0.366",,
descriptive,plain_B: level of blk200n1's empty texts,0.4408,,,,,76,"arm level 0.4425, order consistency 0.326",,
descriptive,plain_B: level of met_k0.5's empty texts,0.4289,,,,,95,"arm level 0.4355, order consistency 0.358",,
descriptive,plain_B: level of win_4.16's empty texts,0.5,,,,,1,"arm level 0.4465, order consistency 0.33",,
descriptive,plain_B: level of win_0's empty texts,0.4583,,,,,66,"arm level 0.435, order consistency 0.324",,
descriptive,plain_B: level of pw_83.18's empty texts,0.465,,,,,50,"arm level 0.451, order consistency 0.36",,
descriptive,plain_B: level of pw_33.27's empty texts,0.4619,,,,,59,"arm level 0.4475, order consistency 0.318",,
descriptive,plain_B: level of frontpw_4.16's empty texts,0.5,,,,,1,"arm level 0.458, order consistency 0.324",,
descriptive,plain_G: level of sel_n64's empty texts,0.6341,,,,,41,"arm level 0.545, order consistency 0.784",,
descriptive,plain_G: level of sel_n1's empty texts,0.6172,,,,,64,"arm level 0.369, order consistency 0.796",,
descriptive,plain_G: level of anchor_k0's empty texts,0.6452,,,,,62,"arm level 0.3685, order consistency 0.81",,
descriptive,plain_G: level of blk10n64's empty texts,0.7,,,,,110,"arm level 0.675, order consistency 0.764",,
descriptive,plain_G: level of blk25n64's empty texts,0.7067,,,,,104,"arm level 0.6555, order consistency 0.812",,
descriptive,plain_G: level of blk200n1's empty texts,0.7336,,,,,76,"arm level 0.37, order consistency 0.828",,
descriptive,plain_G: level of met_k0.5's empty texts,0.65,,,,,95,"arm level 0.3835, order consistency 0.788",,
descriptive,plain_G: level of win_4.16's empty texts,1.0,,,,,1,"arm level 0.324, order consistency 0.83",,
descriptive,plain_G: level of win_0's empty texts,0.7083,,,,,66,"arm level 0.371, order consistency 0.784",,
descriptive,plain_G: level of pw_83.18's empty texts,0.75,,,,,50,"arm level 0.3835, order consistency 0.824",,
descriptive,plain_G: level of pw_33.27's empty texts,0.7331,,,,,59,"arm level 0.3525, order consistency 0.8",,
descriptive,plain_G: level of frontpw_4.16's empty texts,1.0,,,,,1,"arm level 0.3445, order consistency 0.814",,
descriptive,chat_B: level of sel_n64's empty texts,0.2073,,,,,41,"arm level 0.363, order consistency 0.438",,
descriptive,chat_B: level of sel_n1's empty texts,0.2109,,,,,64,"arm level 0.2485, order consistency 0.458",,
descriptive,chat_B: level of chat_anchor's empty texts,0.0,,,,,2,"arm level 0.238, order consistency 0.504",,
descriptive,chat_B: level of winc_0's empty texts,0.1875,,,,,8,"arm level 0.23, order consistency 0.518",,
descriptive,chat_G: level of sel_n64's empty texts,0.2195,,,,,41,"arm level 0.225, order consistency 0.882",,
descriptive,chat_G: level of sel_n1's empty texts,0.2891,,,,,64,"arm level 0.112, order consistency 0.924",,
descriptive,chat_G: level of chat_anchor's empty texts,0.0,,,,,2,"arm level 0.088, order consistency 0.926",,
descriptive,chat_G: level of winc_0's empty texts,0.1875,,,,,8,"arm level 0.0925, order consistency 0.928",,
post hoc,"sel_n64 - win_4.16 (plain_B), empty texts scored as losses",0.048,0.0095,0.0865,,,500,CONFIRMED,,
post hoc,"sel_n64 - frontpw_4.16 (plain_B), empty texts scored as losses",0.0365,-0.002,0.0745,,,500,UNRESOLVED,,
post hoc,"sel_n64 - win_24.95 (plain_B), empty texts scored as losses",0.021,-0.0175,0.0605,,,500,UNRESOLVED,,
post hoc,"sel_n64 - win_40 (plain_B), empty texts scored as losses",0.021,-0.019,0.0605,,,500,UNRESOLVED,,
post hoc,"sel_n64 - win_125 (plain_B), empty texts scored as losses",-0.021,-0.062,0.0195,,,500,UNRESOLVED,,
post hoc,"blk10n64 - pw_83.18 (plain_B), empty texts scored as losses",0.0945,0.055,0.1345,,,500,CONFIRMED,,
post hoc,"blk25n64 - pw_33.27 (plain_B), empty texts scored as losses",0.094,0.0555,0.1345,,,500,CONFIRMED,,
post hoc,"blk10n64 - win_24.95 (plain_B), empty texts scored as losses",0.0265,-0.016,0.0685,,,500,UNRESOLVED,,
post hoc,"blk25n64 - win_12.48 (plain_B), empty texts scored as losses",0.033,-0.0095,0.0765,,,500,UNRESOLVED,,
post hoc,"sel_n64 - win_4.16 (plain_G), empty texts scored as losses",0.1585,0.108,0.2095,,,500,CONFIRMED,,
post hoc,"sel_n64 - frontpw_4.16 (plain_G), empty texts scored as losses",0.138,0.0855,0.1915,,,500,CONFIRMED,,
post hoc,"sel_n64 - win_24.95 (plain_G), empty texts scored as losses",0.114,0.062,0.1675,,,500,CONFIRMED,,
post hoc,"sel_n64 - win_40 (plain_G), empty texts scored as losses",0.062,0.0075,0.1165,,,500,CONFIRMED,,
post hoc,"sel_n64 - win_125 (plain_G), empty texts scored as losses",-0.0205,-0.0775,0.0355,,,500,UNRESOLVED,,
post hoc,"blk10n64 - pw_83.18 (plain_G), empty texts scored as losses",0.2315,0.1795,0.2845,,,500,CONFIRMED,,
post hoc,"blk25n64 - pw_33.27 (plain_G), empty texts scored as losses",0.2615,0.2135,0.31,,,500,CONFIRMED,,
post hoc,"blk10n64 - win_24.95 (plain_G), empty texts scored as losses",0.1735,0.119,0.23,,,500,CONFIRMED,,
post hoc,"blk25n64 - win_12.48 (plain_G), empty texts scored as losses",0.201,0.1465,0.255,,,500,CONFIRMED,,
post hoc,"sel_n64 - winc_125 (chat_B), empty texts scored as losses",-0.153,-0.193,-0.1125,,,500,REFUTED,,
post hoc,"sel_n64 - winc_12.48 (chat_B), empty texts scored as losses",0.052,0.0155,0.0895,,,500,CONFIRMED,,
post hoc,"sel_n64 - winc_125 (chat_G), empty texts scored as losses",-0.2655,-0.318,-0.2135,,,500,REFUTED,,
post hoc,"sel_n64 - winc_12.48 (chat_G), empty texts scored as losses",0.113,0.076,0.1515,,,500,CONFIRMED,,
