k,mode,L,constraint,prompt_id,novel,n_target_tokens,n_queries,spend_total,spend_max_query,budget_K_per_query,max_query_Z_over_K,R_total,max_query_R_over_K,invariant_violations,delta_init_mean,tokens_generated,attempts_total,windows_total,windows_matched,nv_recall,lcs_word
10.0,chained,20,kl,bookmia.01.77,a_game_of_thrones,269,14,685.174,102.139,200.0,0.5107,737.783,0.521,0,13.231,294,14,14,0,0.0,13
10.0,chained,20,kl,bookmia.01.78,a_game_of_thrones,257,13,516.01,52.737,200.0,0.2637,538.998,0.2713,0,12.435,270,13,13,0,0.0,3
10.0,chained,20,kl,bookmia.01.79,a_game_of_thrones,286,15,106.526,49.763,200.0,0.2488,102.764,0.2503,0,11.208,305,15,15,0,0.0,2
10.0,chained,20,kl,bookmia.01.81,a_game_of_thrones,256,13,441.422,47.256,200.0,0.2363,395.239,0.2477,0,12.11,270,13,13,0,0.0,2
10.0,chained,20,kl,bookmia.01.82,a_game_of_thrones,259,13,525.018,69.656,200.0,0.3483,507.566,0.3745,0,11.818,272,13,13,0,0.0,16
10.0,chained,20,kl,bookmia.01.83,a_game_of_thrones,270,14,607.95,64.239,200.0,0.3212,580.057,0.3276,0,12.675,293,14,14,0,0.2189,29
10.0,chained,20,kl,bookmia.01.87,a_game_of_thrones,281,15,617.834,52.723,200.0,0.2636,664.623,0.2871,0,11.516,310,15,15,0,0.0,2
10.0,chained,20,kl,bookmia.01.88,a_game_of_thrones,258,13,405.097,51.599,200.0,0.258,367.797,0.3132,0,11.222,271,13,13,0,0.0,2
10.0,chained,20,kl,bookmia.01.89,a_game_of_thrones,272,14,588.91,57.697,200.0,0.2885,593.47,0.3213,0,10.13,291,14,14,0,0.0,2
10.0,chained,20,kl,bookmia.01.90,a_game_of_thrones,247,13,544.849,61.15,200.0,0.3057,546.753,0.3055,0,13.666,268,13,13,0,0.0,3
10.0,chained,20,kl,bookmia.01.97,a_game_of_thrones,263,14,542.178,52.142,200.0,0.2607,561.453,0.3312,0,12.219,290,14,14,0,0.0,7
10.0,chained,20,kl,bookmia.07.02,casino_royale,243,13,434.525,55.301,200.0,0.2765,427.307,0.2994,0,9.854,270,13,13,0,0.0,8
10.0,chained,20,kl,bookmia.07.03,casino_royale,261,14,288.884,81.474,200.0,0.4074,270.012,0.4123,0,11.749,290,14,14,0,0.1422,14
10.0,chained,20,kl,bookmia.07.04,casino_royale,262,14,519.51,51.371,200.0,0.2569,520.547,0.3312,0,10.981,289,14,14,0,0.0,6
10.0,chained,20,kl,bookmia.07.05,casino_royale,263,14,427.479,50.49,200.0,0.2524,335.183,0.2376,0,12.637,289,14,14,0,0.0,3
10.0,chained,20,kl,bookmia.07.06,casino_royale,243,13,310.145,87.677,200.0,0.4384,331.513,0.4864,0,11.536,280,13,13,0,0.0,1
10.0,chained,20,kl,bookmia.07.07,casino_royale,256,13,492.453,85.966,200.0,0.4298,494.299,0.4272,0,12.934,270,13,13,0,0.1481,32
10.0,chained,20,kl,bookmia.07.08,casino_royale,270,14,554.89,53.277,200.0,0.2664,536.909,0.2912,0,11.998,290,14,14,0,0.0,2
10.0,chained,20,kl,bookmia.07.09,casino_royale,261,14,520.896,45.166,200.0,0.2258,463.489,0.2309,0,10.196,289,14,14,0,0.0,3
10.0,chained,20,kl,bookmia.07.15,casino_royale,261,14,486.482,50.79,200.0,0.2539,480.265,0.2513,0,10.509,290,14,14,0,0.0,3
10.0,chained,20,kl,bookmia.07.16,casino_royale,244,13,232.893,47.258,200.0,0.2363,222.092,0.2409,0,10.583,266,13,13,0,0.0,2
10.0,chained,20,kl,bookmia.07.17,casino_royale,250,13,428.825,94.986,200.0,0.4749,473.844,0.4837,0,13.054,266,13,13,0,0.0,15
