k,mode,L,B_user,field,n,recall_mean,recall_ge_0p8_pct,cut_pct,queries_served_mean,spend_total_mean,S_total_median
10.0,chained,50,800,Z,100,0.1124,2.0,3.0,5.81,608.8,849.0
10.0,chained,50,1600,Z,100,0.1124,2.0,0,5.84,608.8,849.0
10.0,chained,50,3200,Z,100,0.1124,2.0,0,5.84,608.8,849.0
10.0,chained,50,inf,Z,100,0.1124,2.0,0,5.84,608.8,849.0
10.0,oracle,20,50,Z,100,0.0,0.0,100,0.4,685.4,849.0
10.0,oracle,20,100,Z,100,0.0,0.0,100,1.37,685.4,849.0
10.0,oracle,20,200,Z,100,0.0358,0.0,100,3.19,685.4,849.0
10.0,oracle,20,400,Z,100,0.0982,0.0,100,7.19,685.4,849.0
10.0,oracle,20,800,Z,100,0.189,0.0,4.0,13.47,685.4,849.0
10.0,oracle,20,1600,Z,100,0.189,0.0,0,13.53,685.4,849.0
10.0,oracle,20,3200,Z,100,0.189,0.0,0,13.53,685.4,849.0
10.0,oracle,20,inf,Z,100,0.189,0.0,0,13.53,685.4,849.0
10.0,oracle,50,50,Z,100,0.0,0.0,100,0.01,739.5,849.0
10.0,oracle,50,100,Z,100,0.0,0.0,100,0.12,739.5,849.0
10.0,oracle,50,200,Z,100,0.0566,0.0,100,1.03,739.5,849.0
10.0,oracle,50,400,Z,100,0.1793,0.0,100,2.6,739.5,849.0
10.0,oracle,50,800,Z,100,0.4046,3.0,29.0,5.54,739.5,849.0
10.0,oracle,50,1600,Z,100,0.4103,3.0,0,5.84,739.5,849.0
10.0,oracle,50,3200,Z,100,0.4103,3.0,0,5.84,739.5,849.0
10.0,oracle,50,inf,Z,100,0.4103,3.0,0,5.84,739.5,849.0
10.0,single,0,50,Z,100,0.0,0.0,99.0,0.01,674.0,849.0
10.0,single,0,100,Z,100,0.0,0.0,99.0,0.01,674.0,849.0
10.0,single,0,200,Z,100,0.0,0.0,99.0,0.01,674.0,849.0
10.0,single,0,400,Z,100,0.0,0.0,99.0,0.01,674.0,849.0
10.0,single,0,800,Z,100,0.0834,1.0,15.0,0.85,674.0,849.0
10.0,single,0,1600,Z,100,0.2005,10.0,0,1,674.0,849.0
10.0,single,0,3200,Z,100,0.2005,10.0,0,1,674.0,849.0
10.0,single,0,inf,Z,100,0.2005,10.0,0,1,674.0,849.0
20.0,chained,20,50,Z,100,0.0,0.0,100,0.07,682.9,849.0
20.0,chained,20,100,Z,100,0.0016,0.0,100,1.05,682.9,849.0
20.0,chained,20,200,Z,100,0.1306,0.0,99.0,2.87,682.9,849.0
20.0,chained,20,400,Z,100,0.2614,0.0,97.0,7,682.9,849.0
20.0,chained,20,800,Z,100,0.427,25.0,25.0,13.13,682.9,849.0
20.0,chained,20,1600,Z,100,0.44,26.0,0,13.53,682.9,849.0
20.0,chained,20,3200,Z,100,0.44,26.0,0,13.53,682.9,849.0
20.0,chained,20,inf,Z,100,0.44,26.0,0,13.53,682.9,849.0
20.0,chained,50,50,Z,100,0.0,0.0,100,0,762.0,849.0
