prompt_id,split,novel_source,S_safe,n_ref_tokens,S_safe_per_tok,S_safe_first_tok,cap_k0.1,cap_k0.15,cap_k0.25,cap_k0.5,cap_k1,cap_k1.5,cap_k3,cap_k5,cap_k10,cap_k20
bookmia.01.07,attack_train,a_game_of_thrones,199.851,75,2.6647,14.865,0.10172,0.152246,0.253017,0.503841,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.10,attack_train,a_game_of_thrones,219.074,80,2.7384,14.987,0.092703,0.138778,0.230699,0.459616,0.914269,1.0,1.0,1.0,1.0,1.0
bookmia.01.11,attack_train,a_game_of_thrones,164.113,77,2.1313,15.053,0.124153,0.185725,0.308433,0.613402,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.12,attack_train,a_game_of_thrones,232.725,98,2.3747,12.162,0.08721,0.130572,0.217094,0.432631,0.861115,1.0,1.0,1.0,1.0,1.0
bookmia.01.14,attack_train,a_game_of_thrones,143.417,65,2.2064,9.789,0.142306,0.212789,0.353162,0.701518,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.20,attack_train,a_game_of_thrones,175.043,76,2.3032,13.246,0.116311,0.174027,0.289079,0.575183,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.22,attack_train,a_game_of_thrones,178.51,75,2.3801,11.969,0.114026,0.170617,0.283436,0.56403,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.23,attack_train,a_game_of_thrones,193.394,68,2.844,16.923,0.105155,0.157375,0.261511,0.520659,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.26,attack_train,a_game_of_thrones,187.017,71,2.634,16.39,0.108781,0.162789,0.270477,0.538401,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.27,attack_train,a_game_of_thrones,190.043,73,2.6033,0.732,0.10703,0.160174,0.266147,0.529835,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.31,attack_train,a_game_of_thrones,158.033,73,2.1648,11.284,0.128989,0.192937,0.320358,0.636925,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.32,attack_train,a_game_of_thrones,173.594,79,2.1974,0.657,0.117294,0.175493,0.291505,0.579976,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.33,attack_train,a_game_of_thrones,158.995,77,2.0649,1.567,0.128199,0.191759,0.31841,0.633085,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.36,attack_train,a_game_of_thrones,207.375,80,2.5922,15.013,0.09799,0.146676,0.243787,0.485559,0.965165,1.0,1.0,1.0,1.0,1.0
bookmia.01.37,attack_train,a_game_of_thrones,156.134,77,2.0277,11.588,0.130577,0.195305,0.324273,0.644643,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.39,attack_train,a_game_of_thrones,170.456,73,2.335,12.933,0.119479,0.178753,0.296899,0.590631,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.41,attack_train,a_game_of_thrones,168.648,79,2.1348,0.186,0.120775,0.180687,0.300098,0.596949,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.42,attack_train,a_game_of_thrones,198.842,74,2.6871,6.698,0.102242,0.153026,0.254308,0.506397,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.43,attack_train,a_game_of_thrones,176.084,88,2.001,16.327,0.115616,0.172989,0.287362,0.571788,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.44,attack_train,a_game_of_thrones,171.921,79,2.1762,14.324,0.118449,0.177216,0.294356,0.585609,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.46,attack_train,a_game_of_thrones,209.509,79,2.652,14.493,0.096981,0.145169,0.241291,0.480611,0.955482,1.0,1.0,1.0,1.0,1.0
bookmia.01.49,attack_train,a_game_of_thrones,154.406,72,2.1445,16.394,0.132056,0.197511,0.327919,0.651829,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.51,attack_train,a_game_of_thrones,161.493,74,2.1823,14.931,0.126192,0.188766,0.313462,0.623324,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.52,attack_train,a_game_of_thrones,174.149,83,2.0982,14.66,0.116916,0.174928,0.290571,0.578131,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.58,attack_train,a_game_of_thrones,155.134,69,2.2483,12.181,0.131429,0.196576,0.326373,0.648782,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.59,attack_train,a_game_of_thrones,186.805,74,2.5244,13.714,0.108906,0.162975,0.270785,0.539012,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.60,attack_train,a_game_of_thrones,177.124,74,2.3936,13.448,0.114929,0.171964,0.285666,0.568437,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.62,attack_train,a_game_of_thrones,152.944,79,1.936,9.182,0.133334,0.199417,0.331068,0.658034,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.69,attack_train,a_game_of_thrones,201.767,70,2.8824,11.725,0.100743,0.150788,0.250601,0.499057,0.991486,1.0,1.0,1.0,1.0,1.0
bookmia.01.71,attack_train,a_game_of_thrones,166.375,72,2.3108,3.354,0.122445,0.183178,0.304219,0.605084,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.73,attack_train,a_game_of_thrones,192.431,80,2.4054,16.602,0.105687,0.158169,0.262827,0.523263,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.74,attack_train,a_game_of_thrones,215.034,79,2.7219,12.84,0.094463,0.141408,0.235057,0.468257,0.93125,1.0,1.0,1.0,1.0,1.0
bookmia.01.75,attack_train,a_game_of_thrones,162.822,69,2.3597,11.475,0.125149,0.187212,0.31089,0.618251,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.76,attack_train,a_game_of_thrones,172.476,76,2.2694,12.557,0.118063,0.176641,0.293404,0.583728,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.77,attack_train,a_game_of_thrones,147.819,78,1.8951,12.038,0.138016,0.206395,0.3426,0.68074,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.78,attack_train,a_game_of_thrones,167.571,74,2.2645,11.546,0.121561,0.181858,0.302037,0.600776,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.79,attack_train,a_game_of_thrones,201.377,75,2.685,12.522,0.100941,0.151083,0.251089,0.500023,0.99336,1.0,1.0,1.0,1.0,1.0
bookmia.01.81,attack_train,a_game_of_thrones,128.034,72,1.7782,1.545,0.159638,0.238604,0.395764,0.785107,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.82,attack_train,a_game_of_thrones,158.527,75,2.1137,12.499,0.128582,0.192331,0.319355,0.634947,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.83,attack_train,a_game_of_thrones,187.127,89,2.1025,13.745,0.108717,0.162692,0.270317,0.538085,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.87,attack_train,a_game_of_thrones,190.471,74,2.5739,12.082,0.106787,0.159811,0.265546,0.528645,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.88,attack_train,a_game_of_thrones,156.668,68,2.3039,12.338,0.130126,0.194634,0.323163,0.642454,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.89,attack_train,a_game_of_thrones,171.596,75,2.288,12.937,0.118676,0.177555,0.294917,0.586715,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.90,attack_train,a_game_of_thrones,181.018,74,2.4462,16.345,0.112428,0.168232,0.279489,0.556225,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.01.97,attack_train,a_game_of_thrones,140.642,69,2.0383,14.509,0.14515,0.217027,0.360159,0.715273,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.02,attack_train,casino_royale,124.35,64,1.943,10.285,0.164431,0.245739,0.407527,0.808114,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.03,attack_train,casino_royale,198.236,68,2.9152,12.084,0.102558,0.153497,0.255089,0.507945,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.04,attack_train,casino_royale,209.497,74,2.831,15.567,0.096987,0.145178,0.241305,0.480639,0.955536,1.0,1.0,1.0,1.0,1.0
bookmia.07.05,attack_train,casino_royale,211.987,67,3.164,11.69,0.095835,0.143458,0.238455,0.474991,0.944466,1.0,1.0,1.0,1.0,1.0
bookmia.07.06,attack_train,casino_royale,145.279,72,2.0178,0.55,0.140459,0.210037,0.348616,0.692578,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.07,attack_train,casino_royale,170.135,70,2.4305,16.336,0.119707,0.179093,0.297462,0.591743,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.08,attack_train,casino_royale,155.907,81,1.9248,1.653,0.130769,0.195592,0.324747,0.645578,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.09,attack_train,casino_royale,198.82,81,2.4546,16.61,0.102253,0.153043,0.254336,0.506453,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.15,attack_train,casino_royale,172.215,76,2.266,1.083,0.118244,0.176911,0.293851,0.584611,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.16,attack_train,casino_royale,187.53,74,2.5342,10.575,0.10848,0.16234,0.269733,0.53693,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.17,attack_train,casino_royale,190.869,74,2.5793,17.066,0.106561,0.159475,0.264989,0.527543,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.20,attack_train,casino_royale,216.776,71,3.0532,13.2,0.093696,0.140262,0.233158,0.464492,0.923853,1.0,1.0,1.0,1.0,1.0
bookmia.07.24,attack_train,casino_royale,132.433,61,2.171,12.901,0.154267,0.230607,0.382573,0.759266,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.25,attack_train,casino_royale,200.617,71,2.8256,6.009,0.101327,0.15166,0.252045,0.501917,0.997026,1.0,1.0,1.0,1.0,1.0
bookmia.07.26,attack_train,casino_royale,182.642,67,2.726,14.31,0.111417,0.166723,0.27699,0.551285,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.28,attack_train,casino_royale,195.415,76,2.5712,0.875,0.104055,0.155733,0.258792,0.515276,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.29,attack_train,casino_royale,181.038,71,2.5498,7.263,0.112416,0.168214,0.279458,0.556164,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.30,attack_train,casino_royale,191.114,68,2.8105,2.813,0.106423,0.159269,0.264648,0.526867,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.31,attack_train,casino_royale,160.179,89,1.7998,6.353,0.12724,0.190329,0.316046,0.628421,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.32,attack_train,casino_royale,205.011,72,2.8474,12.721,0.099132,0.148382,0.246614,0.491159,0.976108,1.0,1.0,1.0,1.0,1.0
bookmia.07.37,attack_train,casino_royale,172.073,66,2.6072,1.116,0.118343,0.177058,0.294095,0.585092,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.40,attack_train,casino_royale,135.401,69,1.9623,16.771,0.150842,0.225506,0.374156,0.742758,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.41,attack_train,casino_royale,228.962,72,3.18,15.321,0.088658,0.132736,0.220682,0.439749,0.875152,1.0,1.0,1.0,1.0,1.0
bookmia.07.43,attack_train,casino_royale,215.74,84,2.5683,18.061,0.094151,0.140941,0.234284,0.466724,0.928238,1.0,1.0,1.0,1.0,1.0
bookmia.07.44,attack_train,casino_royale,180.981,65,2.7843,14.56,0.112452,0.168267,0.279546,0.556339,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.47,attack_train,casino_royale,141.595,74,1.9134,10.11,0.144161,0.215553,0.357725,0.710489,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.49,attack_train,casino_royale,131.677,74,1.7794,12.605,0.155164,0.231943,0.384778,0.763587,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.53,attack_train,casino_royale,177.004,74,2.3919,12.454,0.115008,0.172082,0.28586,0.568821,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.54,attack_train,casino_royale,182.379,78,2.3382,16.349,0.11158,0.166966,0.277392,0.55208,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.55,attack_train,casino_royale,173.397,70,2.4771,15.924,0.117429,0.175694,0.291838,0.580633,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.56,attack_train,casino_royale,160.989,70,2.2998,11.448,0.126592,0.189363,0.314448,0.625269,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.57,attack_train,casino_royale,184.127,68,2.7078,12.169,0.110508,0.165367,0.274745,0.546844,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.59,attack_train,casino_royale,147.922,70,2.1132,13.707,0.137918,0.20625,0.34236,0.680268,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.61,attack_train,casino_royale,212.071,68,3.1187,11.746,0.095797,0.143401,0.23836,0.474803,0.944097,1.0,1.0,1.0,1.0,1.0
bookmia.07.62,attack_train,casino_royale,193.668,71,2.7277,4.612,0.105004,0.15715,0.261139,0.519923,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.63,attack_train,casino_royale,177.195,74,2.3945,12.731,0.114882,0.171895,0.28555,0.568209,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.66,attack_train,casino_royale,153.355,69,2.2225,16.8,0.132973,0.198877,0.330177,0.656278,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.70,attack_train,casino_royale,192.168,70,2.7453,12.071,0.105833,0.158387,0.263188,0.523979,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.72,attack_train,casino_royale,154.013,70,2.2002,2.751,0.132397,0.19802,0.32876,0.653485,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.73,attack_train,casino_royale,177.538,62,2.8635,13.526,0.114658,0.17156,0.284996,0.567113,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.77,attack_train,casino_royale,153.416,60,2.5569,11.65,0.132919,0.198798,0.330045,0.656018,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.80,attack_train,casino_royale,202.297,75,2.6973,9.782,0.100477,0.15039,0.249941,0.497749,0.988946,1.0,1.0,1.0,1.0,1.0
bookmia.07.82,attack_train,casino_royale,117.677,70,1.6811,0.654,0.173883,0.259803,0.4307,0.853326,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.83,attack_train,casino_royale,168.993,65,2.5999,7.694,0.120526,0.180314,0.299482,0.595733,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.84,attack_train,casino_royale,131.968,77,1.7139,12.255,0.154818,0.231427,0.383926,0.761918,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.86,attack_train,casino_royale,158.622,71,2.2341,15.628,0.128504,0.192214,0.319163,0.634568,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.90,attack_train,casino_royale,151.435,65,2.3298,13.821,0.134679,0.201422,0.334383,0.664562,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.95,attack_train,casino_royale,156.835,62,2.5296,6.832,0.129986,0.194425,0.322817,0.641773,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.98,attack_train,casino_royale,145.877,69,2.1142,0.738,0.139876,0.209168,0.347181,0.689754,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.07.99,attack_train,casino_royale,132.844,61,2.1778,1.23,0.153784,0.229887,0.381385,0.756937,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.01,attack_train,dune,187.982,74,2.5403,18.383,0.108217,0.161946,0.269081,0.53564,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.02,attack_train,dune,204.955,62,3.3057,0.703,0.099159,0.148423,0.246682,0.491293,0.97637,1.0,1.0,1.0,1.0,1.0
bookmia.10.03,attack_train,dune,158.402,72,2.2,11.348,0.128684,0.192484,0.319608,0.635446,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.07,attack_train,dune,182.661,80,2.2833,10.691,0.111406,0.166706,0.276961,0.551228,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.11,attack_train,dune,259.077,71,3.649,15.086,0.078257,0.11719,0.194897,0.388564,0.774034,1.0,1.0,1.0,1.0,1.0
bookmia.10.12,attack_train,dune,239.245,68,3.5183,11.704,0.08481,0.126985,0.211145,0.420826,0.837816,1.0,1.0,1.0,1.0,1.0
bookmia.10.13,attack_train,dune,174.711,68,2.5693,12.836,0.116535,0.174361,0.289632,0.576274,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.14,attack_train,dune,211.081,71,2.973,14.33,0.096251,0.144079,0.239484,0.477031,0.948465,1.0,1.0,1.0,1.0,1.0
bookmia.10.16,attack_train,dune,187.953,60,3.1326,12.762,0.108233,0.161971,0.269123,0.535722,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.19,attack_train,dune,205.039,67,3.0603,16.352,0.099118,0.148361,0.24658,0.491092,0.975977,1.0,1.0,1.0,1.0,1.0
bookmia.10.21,attack_train,dune,207.179,69,3.0026,12.217,0.098084,0.146816,0.244019,0.486018,0.966064,1.0,1.0,1.0,1.0,1.0
bookmia.10.25,attack_train,dune,187.534,76,2.4676,1.918,0.108478,0.162336,0.269727,0.536918,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.32,attack_train,dune,196.073,79,2.4819,7.003,0.103702,0.155206,0.257919,0.513547,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.35,attack_train,dune,199.465,67,2.9771,15.589,0.101919,0.152544,0.253509,0.504816,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.36,attack_train,dune,198.318,68,2.9164,12.02,0.102515,0.153433,0.254983,0.507735,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.37,attack_train,dune,215.873,78,2.7676,14.684,0.094092,0.140854,0.234139,0.466436,0.927673,1.0,1.0,1.0,1.0,1.0
bookmia.10.38,attack_train,dune,194.958,66,2.9539,15.8,0.104302,0.156101,0.259402,0.516484,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.40,attack_train,dune,182.702,74,2.4689,13.58,0.11138,0.166668,0.276899,0.551105,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.41,attack_train,dune,212.951,77,2.7656,16.962,0.095397,0.142803,0.237369,0.47284,0.940246,1.0,1.0,1.0,1.0,1.0
bookmia.10.42,attack_train,dune,178.573,70,2.551,12.935,0.113986,0.170556,0.283336,0.563831,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.44,attack_train,dune,205.765,83,2.4791,13.661,0.098765,0.147833,0.245705,0.489359,0.972593,1.0,1.0,1.0,1.0,1.0
bookmia.10.48,attack_train,dune,217.251,84,2.5863,14.629,0.093489,0.139953,0.232645,0.463475,0.921856,1.0,1.0,1.0,1.0,1.0
bookmia.10.49,attack_train,dune,228.777,74,3.0916,10.041,0.088731,0.132844,0.220861,0.440105,0.875853,1.0,1.0,1.0,1.0,1.0
bookmia.10.52,attack_train,dune,199.815,77,2.595,11.739,0.101739,0.152274,0.253062,0.503932,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.54,attack_train,dune,159.061,71,2.2403,1.654,0.128145,0.191679,0.318278,0.632823,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.57,attack_train,dune,158.532,71,2.2329,14.741,0.128578,0.192324,0.319345,0.634927,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.58,attack_train,dune,151.798,65,2.3354,10.643,0.134353,0.200936,0.333579,0.66298,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.59,attack_train,dune,170.176,73,2.3312,3.907,0.119678,0.17905,0.29739,0.591601,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.61,attack_train,dune,197.83,83,2.3835,10.602,0.102771,0.153815,0.255616,0.508987,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.62,attack_train,dune,205.99,75,2.7465,13.696,0.098656,0.147671,0.245436,0.488824,0.971549,1.0,1.0,1.0,1.0,1.0
bookmia.10.63,attack_train,dune,198.889,68,2.9248,14.164,0.102217,0.152989,0.254247,0.506278,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.65,attack_train,dune,154.941,77,2.0122,10.663,0.131595,0.196823,0.326782,0.649587,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.68,attack_train,dune,278.752,73,3.8185,14.373,0.072683,0.108857,0.181068,0.361088,0.719612,1.0,1.0,1.0,1.0,1.0
bookmia.10.70,attack_train,dune,179.808,77,2.3352,15.217,0.113194,0.169375,0.281379,0.559964,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.71,attack_train,dune,199.756,72,2.7744,5.904,0.101769,0.152319,0.253138,0.504081,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.72,attack_train,dune,182.259,70,2.6037,14.651,0.111654,0.167077,0.277576,0.552443,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.74,attack_train,dune,143.478,78,1.8395,2.259,0.142245,0.212698,0.353011,0.701221,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.76,attack_train,dune,228.257,75,3.0434,14.225,0.088935,0.13315,0.221367,0.441109,0.877832,1.0,1.0,1.0,1.0,1.0
bookmia.10.77,attack_train,dune,264.111,82,3.2209,3.027,0.076751,0.114939,0.191162,0.381145,0.759347,1.0,1.0,1.0,1.0,1.0
bookmia.10.78,attack_train,dune,230.413,77,2.9924,16.398,0.088094,0.131893,0.219285,0.436977,0.869686,1.0,1.0,1.0,1.0,1.0
bookmia.10.79,attack_train,dune,164.658,68,2.4214,12.934,0.123737,0.185105,0.307407,0.611377,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.80,attack_train,dune,283.765,80,3.5471,14.7,0.071387,0.10692,0.177852,0.354696,0.70694,1.0,1.0,1.0,1.0,1.0
bookmia.10.82,attack_train,dune,223.953,73,3.0679,17.935,0.090662,0.13573,0.225645,0.449595,0.894549,1.0,1.0,1.0,1.0,1.0
bookmia.10.85,attack_train,dune,255.079,88,2.8986,17.855,0.079495,0.119042,0.197968,0.394665,0.786106,1.0,1.0,1.0,1.0,1.0
bookmia.10.90,attack_train,dune,191.572,76,2.5207,13.336,0.106166,0.158884,0.264012,0.525608,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.10.91,attack_train,dune,257.535,71,3.6273,16.843,0.07873,0.117897,0.19607,0.390895,0.778646,1.0,1.0,1.0,1.0,1.0
bookmia.10.92,attack_train,dune,219.192,82,2.6731,14.01,0.092652,0.138703,0.230574,0.459368,0.913782,1.0,1.0,1.0,1.0,1.0
bookmia.10.94,attack_train,dune,278.69,72,3.8707,13.14,0.072699,0.108881,0.181108,0.361169,0.719772,1.0,1.0,1.0,1.0,1.0
bookmia.10.98,attack_train,dune,207.19,83,2.4963,10.729,0.098078,0.146808,0.244006,0.485992,0.966014,1.0,1.0,1.0,1.0,1.0
bookmia.10.99,attack_train,dune,189.414,74,2.5596,13.317,0.107389,0.160711,0.267036,0.531593,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.12.01,attack_train,fahrenheit_451,157.379,71,2.2166,15.097,0.129531,0.193746,0.321696,0.639562,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.12.04,attack_train,fahrenheit_451,166.804,65,2.5662,14.304,0.122126,0.182702,0.303432,0.603532,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.12.06,attack_train,fahrenheit_451,152.166,66,2.3056,1.706,0.134024,0.200446,0.332769,0.661384,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.12.08,attack_train,fahrenheit_451,178.165,75,2.3755,18.175,0.11425,0.17095,0.283988,0.56512,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.12.09,attack_train,fahrenheit_451,260.141,80,3.2518,14.643,0.077933,0.116707,0.194095,0.386972,0.770883,1.0,1.0,1.0,1.0,1.0
bookmia.12.12,attack_train,fahrenheit_451,141.621,72,1.967,1.394,0.144134,0.215513,0.357659,0.71036,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.12.18,attack_train,fahrenheit_451,235.046,66,3.5613,10.843,0.08634,0.129273,0.214938,0.428354,0.852676,1.0,1.0,1.0,1.0,1.0
bookmia.12.19,attack_train,fahrenheit_451,178.117,71,2.5087,0.376,0.114281,0.170997,0.284065,0.565272,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.12.23,attack_train,fahrenheit_451,255.319,80,3.1915,11.09,0.07942,0.118929,0.197781,0.394294,0.785371,1.0,1.0,1.0,1.0,1.0
bookmia.12.26,attack_train,fahrenheit_451,223.93,70,3.199,12.132,0.090672,0.135744,0.225669,0.449641,0.89464,1.0,1.0,1.0,1.0,1.0
bookmia.12.27,attack_train,fahrenheit_451,258.794,89,2.9078,16.051,0.078343,0.117319,0.195111,0.38899,0.774876,1.0,1.0,1.0,1.0,1.0
bookmia.12.29,attack_train,fahrenheit_451,221.224,82,2.6978,14.862,0.091792,0.137418,0.228444,0.455146,0.905475,1.0,1.0,1.0,1.0,1.0
bookmia.12.30,attack_train,fahrenheit_451,134.089,75,1.7878,1.107,0.152337,0.227733,0.377831,0.749967,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.12.32,attack_train,fahrenheit_451,183.95,69,2.6659,13.816,0.110616,0.165527,0.27501,0.54737,1.0,1.0,1.0,1.0,1.0,1.0
bookmia.12.33,attack_train,fahrenheit_451,276.331,86,3.2132,0.325,0.073326,0.109818,0.182663,0.364258,0.725895,1.0,1.0,1.0,1.0,1.0
