k,K,split,prompt_id,seed,constraint,T,Z,L,M,V,b,B,L_over_K
0.5,100.0,attack_train,bookmia.01.46,3320184832,kl,200,0.0,0.0,0.0,0.0,0.0,93.2,0.0
0.5,100.0,attack_train,bookmia.01.81,3320184832,kl,200,93.428,120.6,27.172,189.48,19.404,93.428,1.206
0.5,100.0,attack_train,bookmia.01.88,3320184832,kl,200,95.044,95.372,0.327,215.184,13.988,95.347,0.9537
0.5,100.0,attack_train,bookmia.07.54,3320184832,kl,200,92.179,110.847,18.668,196.94,15.256,94.519,1.1085
0.5,100.0,attack_train,bookmia.07.66,3320184832,kl,200,93.488,61.843,-31.644,220.711,14.231,93.488,0.6184
0.5,100.0,attack_train,bookmia.01.69,3320184832,kl,200,93.873,86.393,-7.48,234.659,13.394,93.873,0.8639
0.5,100.0,attack_train,bookmia.07.04,3320184832,kl,200,94.202,82.425,-11.777,223.8,17.868,94.847,0.8242
0.5,100.0,attack_train,bookmia.07.31,3320184832,kl,200,94.483,86.41,-8.073,221.268,13.602,94.491,0.8641
0.5,100.0,attack_train,bookmia.07.47,3320184832,kl,200,92.428,96.934,4.506,241.395,18.156,93.255,0.9693
0.5,100.0,attack_train,bookmia.01.07,3320184832,kl,200,93.341,92.659,-0.682,228.212,12.267,93.341,0.9266
0.5,100.0,attack_train,bookmia.01.20,3320184832,kl,200,92.238,120.466,28.229,218.561,16.505,92.238,1.2047
0.5,100.0,attack_train,bookmia.01.36,3320184832,kl,200,92.844,72.974,-19.87,198.576,15.491,92.844,0.7297
0.5,100.0,attack_train,bookmia.07.03,3320184832,kl,200,79.565,95.706,16.141,190.287,15.056,94.787,0.9571
0.5,100.0,attack_train,bookmia.07.57,3320184832,kl,200,93.684,75.774,-17.909,205.371,13.179,94.044,0.7577
0.5,100.0,attack_train,bookmia.00.40,3320184832,kl,200,94.032,94.3,0.268,223.893,18.923,95.114,0.943
0.5,100.0,attack_train,bookmia.01.14,3320184832,kl,200,94.119,88.307,-5.812,234.237,14.331,94.119,0.8831
0.5,100.0,attack_train,bookmia.01.83,3320184832,kl,200,92.125,85.827,-6.298,225.879,14.896,92.267,0.8583
0.5,100.0,attack_train,bookmia.07.08,3320184832,kl,200,94.553,77.461,-17.092,224.907,14.846,94.553,0.7746
0.5,100.0,attack_train,bookmia.07.44,3320184832,kl,200,95.187,79.556,-15.632,220.168,13.341,95.188,0.7956
0.5,100.0,attack_train,bookmia.07.62,3320184832,kl,200,92.789,74.389,-18.4,242.279,15.914,92.789,0.7439
0.5,100.0,attack_train,bookmia.01.51,3320184832,kl,200,93.931,109.433,15.502,217.003,14.149,93.931,1.0943
0.5,100.0,attack_train,bookmia.01.97,3320184832,kl,200,93.279,103.755,10.476,218.477,20.454,93.975,1.0375
0.5,100.0,attack_train,bookmia.00.71,3320184832,kl,200,91.23,96.242,5.012,214.597,18.853,91.23,0.9624
0.5,100.0,attack_train,bookmia.01.02,3320184832,kl,200,93.239,99.416,6.177,201.554,13.155,93.544,0.9942
0.5,100.0,attack_train,bookmia.01.71,3320184832,kl,200,93.005,111.123,18.118,225.889,14.185,93.005,1.1112
0.5,100.0,attack_train,bookmia.07.20,3320184832,kl,200,93.457,98.739,5.281,200.387,11.183,94.019,0.9874
0.5,100.0,attack_train,bookmia.07.25,3320184832,kl,200,94.85,110.515,15.665,234.053,14.234,94.85,1.1051
0.5,100.0,attack_train,bookmia.01.22,3320184832,kl,200,91.451,74.224,-17.226,225.15,18.775,94.091,0.7422
