model,corpus,params,family,work,id,n_tok,n_char,total_nats,s_rate,k_crit,uncertified_width,nats_per_tok
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.20,136,277,322.0639810046414,1.1626858520023156,8.393667221069336,7.219204746160977,2.368117507387069
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.24,115,227,222.3150357818813,0.9793613911096093,4.536359786987305,4.631956934556754,1.9331742241902723
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.25,130,262,283.4301704070822,1.0817945435384817,1.3522981579844782,1.2500508216293975,2.1802320800544783
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.26,129,246,267.03112981742015,1.0854923976317892,5.793820381164551,5.33750433794367,2.0700087582745748
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.28,137,271,288.4514882004587,1.0643966354260468,1.2470733487130836,1.1716246624679687,2.105485315331815
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.29,128,288,270.0157111361623,0.9375545525561191,4.216289520263672,4.497113803957875,2.109497743251268
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.30,134,257,275.00464331454714,1.0700569778776152,1.3178005000381559,1.2315236733018862,2.052273457571247
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.31,134,242,268.92065736139193,1.1112423857908758,3.3084158897399902,2.9772225502228093,2.0068705773238205
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.32,147,300,341.9624443294015,1.1398748144313382,5.409248352050781,4.745475804506964,2.326275131492527
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.37,126,274,268.23399844096275,0.9789561986896451,2.146907329559326,2.1930575979119493,2.1288412574679585
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.40,131,256,249.55122894636588,0.9748094880717417,4.5393368403116865,4.656639985409756,1.9049712133310372
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.41,138,283,270.9531255671682,0.9574315391066013,5.718868732452393,5.9731359359529606,1.9634284461388998
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.43,130,238,338.22624589304905,1.4211186802228952,12.702984809875488,8.938721998843256,2.6017403530234544
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.44,130,250,270.9298432962096,1.0837193731848382,13.162642478942871,12.145803429037585,2.0840757176631506
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.47,132,279,219.1596247057896,0.7855183681211098,2.847752809524536,3.6253166381533615,1.6603001871650729
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.49,137,266,240.68014853910427,0.9048125884928732,4.3107733726501465,4.764272101729386,1.7567894053949216
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.53,147,280,277.4007769369782,0.9907170604892079,3.5979331334431968,3.631645478747047,1.887080115217539
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.54,125,258,273.64129999870784,1.0606251937934412,15.203407287597656,14.33438256658888,2.1891303999896627
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.55,125,257,281.5165404319414,1.0953950989569705,3.626067638397217,3.3102828758773337,2.2521323234555313
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.56,138,251,266.7423945145274,1.062718703245129,4.0688728332519535,3.828739271104574,1.9329159022791842
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.57,129,257,254.4903186187148,0.9902347027965557,4.582229137420654,4.627417242073848,1.9727931675869366
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.59,132,259,247.0208526516799,0.9537484658366019,5.027663866678874,5.271477802345659,1.8713700958460597
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.61,129,271,273.97790769410494,1.01098858927714,11.039624214172363,10.919632853686043,2.123859749566705
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.62,143,257,327.10699032235425,1.2727898456122733,4.173367500305176,3.27891325869086,2.287461470785694
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.63,129,266,290.837882679014,1.0933754987932858,5.244827588399251,4.79691340640773,2.254557230069876
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.66,135,262,247.46998259840257,0.9445419183145136,10.083683013916016,10.675739020571822,1.8331109822103895
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.70,130,266,270.3723607127613,1.0164374462885764,2.5454225540161133,2.5042589323233604,2.0797873900981636
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.72,140,267,300.35133552958723,1.1249113690246713,3.1980831623077393,2.842964566248952,2.1453666823541946
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.73,134,263,279.32283086972893,1.0620639957023914,12.889575958251953,12.136345842067161,2.084498737833798
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.77,122,261,231.62633431408904,0.8874572195942109,4.674205780029297,5.266964623000728,1.8985765107712216
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.80,154,288,349.7707169833011,1.2144816561920178,10.154345512390137,8.361053014360776,2.2712384219694877
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.82,142,272,230.62600792906596,0.8478897350333308,1.3314356803894043,1.5702934301204452,1.624126816401873
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.83,122,255,229.95745742996223,0.9017939507057342,11.004291534423828,12.202667278719256,1.8848971920488709
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.84,139,251,252.8272895924165,1.0072800382167988,6.6204328536987305,6.572584189615204,1.8189013639742193
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.86,133,260,279.9064278369178,1.0765631839881455,14.758566856384277,13.708964857697373,2.1045596077963746
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.90,134,271,274.9126382363029,1.0144377794697523,5.703840732574463,5.622661978890283,2.051586852509723
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.95,133,269,255.00409272407705,0.9479706049222195,3.1356074015299478,3.3077053077898158,1.9173240054441885
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.98,131,247,244.6974058078049,0.9906777563069025,1.5135360234775221,1.5277783455235299,1.867919128303854
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,casino_royale,bookmia.07.99,130,270,251.86441543873298,0.9328311682916036,1.752912163734436,1.879131211861989,1.937418580297946
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.01,127,262,259.99325185781345,0.9923406559458529,4.181970596313477,4.214248979174815,2.047190959510342
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.02,134,297,301.7870001455012,1.0161178456077482,1.3243885189915696,1.3033808280371675,2.252141792130606
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.03,125,251,238.02612193784444,0.9483112427802567,3.2698829650878904,3.448111566727033,1.9042089755027556
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.07,141,269,309.04470144842344,1.1488650611465556,4.783552805582683,4.163720324829746,2.19180639325123
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.11,135,276,346.63177619385533,1.2559122325864323,4.590059280395508,3.654761185773878,2.5676427866211506
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.12,136,267,302.228018159105,1.1319401429179963,3.021209955215454,2.669054520345186,2.2222648394051836
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.13,120,267,265.867174486164,0.9957572078133483,3.7092278003692627,3.7250323384699477,2.2155597873847
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.14,140,271,331.64540495548863,1.2237837821235742,7.829529762268066,6.397804805585716,2.3688957496820615
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.16,131,263,294.7654593292991,1.1207812141798446,6.289078712463379,5.611334873296878,2.2501180101473217
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.19,131,253,286.862580877445,1.1338441931914822,4.036204814910889,3.5597526001786908,2.1897906937209544
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.21,128,264,283.2889405177557,1.0730641686278624,11.03328800201416,10.282039345440575,2.2131948477949663
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.25,132,274,295.2358423625701,1.0775030743159493,1.860308289527893,1.7264992869824582,2.23663516941341
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.32,136,261,282.8562402469688,1.083740384088003,5.699344635009766,5.258957512971078,2.079825295933594
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.35,120,271,265.798793670343,0.9808073567171328,4.842200597127278,4.936953790125149,2.2149899472528585
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.36,108,224,260.4616783799138,1.1627753499103295,7.551915168762207,6.494732769614176,2.411682207221424
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.37,140,303,323.4814276409452,1.0675954707621953,4.061230023701985,3.8040907206196044,2.3105816260067513
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.38,135,289,295.368852349784,1.0220375513833355,2.2077135358537947,2.1601100007192864,2.187917424813215
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.40,130,280,314.0817360226365,1.1217204857951304,3.6676156520843506,3.269634190093769,2.4160133540202806
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.41,127,245,289.7927453548182,1.1828275320604824,5.191362380981445,4.388942800425101,2.2818326405891196
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.42,131,275,265.77023045672104,0.9664372016608038,4.496370792388916,4.652522465672875,2.0287803851658093
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.44,142,272,333.43556201428873,1.225866036817238,15.32253646850586,12.499356380154177,2.348137760664005
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.48,139,257,330.1154199691373,1.2844957975452813,7.41021728515625,5.768969660560546,2.3749310789146567
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.49,146,286,389.3092732025543,1.361221234973966,6.789978981018066,4.988152407972042,2.666501871250372
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.52,132,275,307.01399653137196,1.1164145328413526,3.3364367485046387,2.988528588940145,2.3258636100861514
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.54,132,264,227.65297241328517,0.8623218652018377,1.9036712646484375,2.207611034196446,1.7246437304036755
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.57,131,261,291.49078958979226,1.1168229486198937,6.337471008300781,5.674552995291033,2.225120531219788
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.58,130,276,277.9083655147151,1.0069143678069388,3.9027340412139893,3.875934405141274,2.1377566578055007
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.59,129,253,238.82051580157713,0.9439546079113721,1.8154602509651643,1.9232495246589418,1.8513218279192025
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.61,142,276,311.5377859408909,1.1287600939887352,8.064193725585938,7.1442937861926366,2.1939280700062738
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.62,130,260,310.3479965971783,1.193646140758378,12.304527282714844,10.308354262258339,2.387292281516756
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.63,123,270,254.03213805701853,0.9408597705815501,2.1838673182896207,2.321140074827263,2.065301935422915
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.65,129,261,251.4326538206842,0.9633435012286752,1.1516284215705175,1.195449411452611,1.9490903396952264
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.68,148,294,387.3725373827838,1.3175936645672917,13.143180847167969,9.975139681234195,2.6173820093431335
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.70,135,285,290.8454241072759,1.0205102600255296,4.469983100891113,4.380145184213327,2.1544105489427845
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.71,127,259,279.727760868147,1.0800299647418803,5.394209861755371,4.994500187820761,2.2025807942373783
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.72,131,275,276.8499729048053,1.006727174199292,7.730908393859863,7.679248749800261,2.113358571792407
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.74,135,279,239.01521475655682,0.8566853575503829,1.769448357820511,2.0654588551391777,1.7704830722707912
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.76,148,288,327.08158367451324,1.135699943314282,4.549754460652669,4.006123701455197,2.2100107005034677
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.77,159,295,358.34963720817177,1.214744532909057,2.138248871822725,1.76024572566058,2.2537713031960487
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.78,134,264,333.29277759150136,1.2624726423920507,8.1364164352417,6.444825940802446,2.4872595342649357
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.79,127,272,283.3040228585305,1.0415589075681269,6.40560785929362,6.1500197566834585,2.230740337468744
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.80,138,297,335.96845403444604,1.1312069159408957,5.793347676595052,5.121386366150671,2.4345540147423628
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.82,126,269,338.9561672717682,1.260060101382038,3.7298660278320312,2.960069939315674,2.6901283116807
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.85,145,283,388.68408793990966,1.3734420068548046,5.4184160232543945,3.9451363772268913,2.680579916826963
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.90,135,259,292.67523433995666,1.1300202098067824,6.281373977661133,5.5586386182731715,2.167964698814494
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.91,125,278,329.6231005640293,1.1856946063454292,15.517181396484375,13.086996696655078,2.6369848045122346
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.92,157,281,333.1187840814091,1.1854760999338403,3.712574005126953,3.131715608044858,2.121775694786045
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.94,141,279,398.0260029725032,1.4266164981093303,5.001723289489746,3.5060040985916268,2.8228794537056965
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.98,147,281,349.06787329757935,1.2422344245465458,3.0570198694864907,2.460904165171882,2.37461138297673
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,dune,bookmia.10.99,133,243,291.7689476390369,1.2006952577738146,10.692312240600586,8.905100750064584,2.1937514860077965
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.01,131,262,266.9443603431864,1.018871604363307,3.9514293670654297,3.878240742153844,2.037743208726614
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.04,133,241,235.5383867965429,0.9773377045499706,4.024750709533691,4.118075759071371,1.770965314259721
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.06,134,271,227.0951707677159,0.8379895600284719,1.9011950492858887,2.2687574403925663,1.6947400803560888
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.08,131,245,287.5909880505351,1.1738407675532045,16.97182273864746,14.458368807571858,2.1953510538208785
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.09,146,280,379.48318959522294,1.3552971056972247,5.253113428751628,3.875986605939953,2.5991999287344036
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.12,129,244,355.80234298534924,1.4582063237104477,2.1410226821899414,1.4682577131760395,2.758157697560847
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.18,133,297,345.8300559105119,1.1644109626616561,5.649603843688965,4.851898534839349,2.6002259842895628
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.19,132,252,247.525132142473,0.9822425878669564,1.3269107385228078,1.3508992125909902,1.875190395018735
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.23,145,277,339.7001546646352,1.226354348969802,11.720320701599121,9.557042555803521,2.3427596873423115
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.26,133,265,309.0026641256991,1.1660477891535814,9.188492774963379,7.880031041980864,2.3233283016969857
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.27,137,275,306.16503009491134,1.113327382163314,3.8232486248016357,3.434074007389143,2.234781241568696
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.29,144,285,309.0439314053874,1.0843646715978505,6.098545551300049,5.62407252009937,2.1461384125374128
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.30,136,253,211.28752550427453,0.835128559305433,1.3629932403564453,1.6320759542579066,1.5535847463549597
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.32,131,269,294.46941643959144,1.09468184550034,7.065672397613525,6.4545442373569815,2.24785814076024
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.33,151,294,378.17691518721404,1.2863160380517484,1.3778492364248163,1.0711591830198306,2.50448288203453
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.35,138,268,352.77682982513215,1.3163314545713887,3.9614893595377603,3.009492286900994,2.556353839312552
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.36,122,261,270.9714208042715,1.0382046774110019,5.479555130004883,5.277914123513094,2.2210772197071433
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.38,148,296,339.44554422964575,1.1467754872623168,6.747779846191406,5.884133312179788,2.2935509745246336
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.39,126,250,251.4746964216174,1.0058987856864696,3.673696200052897,3.6521529326092237,1.9958309239810905
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.41,132,273,363.4292782197008,1.3312427773615414,3.907565434773763,2.935276345700345,2.753252107725006
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.45,135,265,292.24763363040984,1.1028212589826787,3.8320999145507812,3.474815055783187,2.164797286151184
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.47,132,257,335.3475077674375,1.304854115826605,6.71967887878418,5.149754901548796,2.540511422480587
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.49,141,267,279.33726440474857,1.0462069827893206,6.108700275421143,5.83890222098745,1.9811153503882877
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.50,127,241,220.9248373369337,0.9167005698627955,9.518346786499023,10.383267011521172,1.7395656483223128
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.52,125,249,238.65946349019214,0.9584717409244664,2.232722620666027,2.329461084071731,1.909275707921537
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.53,124,257,251.69389636388223,0.9793536823497363,2.071157254060381,2.1148205100848863,2.0297894868055018
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.54,127,261,310.5788479496696,1.1899572718378144,4.311269760131836,3.623045853968647,2.445502739761178
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.56,129,249,306.53687209426425,1.2310717754789728,4.13409423828125,3.358126082187855,2.376254822436157
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.57,135,278,302.85523222544,1.0894073101634532,4.629543304443359,4.249598163380003,2.2433720905588146
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.59,133,268,321.41565060120774,1.199312129108984,4.710776329040527,3.9278985134089717,2.41665902707675
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.60,130,263,282.81883476581424,1.0753567861818032,2.3855548401673636,2.218384512769564,2.1755294981985713
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.61,131,247,292.2583117559552,1.1832320314006284,5.463800430297852,4.61769144622478,2.2309794790530932
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.62,137,292,310.4624851316912,1.0632276888071617,7.0433759689331055,6.624522708616713,2.266149526508695
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.66,135,260,211.4720241481118,0.8133539390311992,1.044507662455241,1.2841981975268641,1.5664594381341617
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.68,139,282,301.6447271478246,1.0696621530064703,2.754645029703776,2.575247728417211,2.170105950703774
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.72,120,230,218.49155969524872,0.9499633030228205,12.368828773498535,13.020322715772743,1.820762997460406
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.73,133,264,290.18318830634234,1.09917874358463,3.7605454126993814,3.4212319285174044,2.1818284835063335
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.74,160,299,305.2753187979106,1.0209876882873263,1.5620839718185986,1.529973367689618,1.9079707424869412
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.75,115,236,213.3713260126533,0.9041157881892089,3.6192485809326174,4.003080831252112,1.8554028348926375
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.76,138,271,323.7117930818349,1.1945084615565864,4.177258014678955,3.4970518410857396,2.3457376310277893
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.77,144,280,353.53263757016975,1.2626165627506063,12.954035758972168,10.259675139023871,2.4550877609039565
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.80,158,290,415.9321126717259,1.4342486643852619,10.591235160827637,7.384518057311339,2.6324817257704174
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.86,128,262,266.2749269734222,1.0163165151657336,5.865386486053467,5.771220282784622,2.080272866979861
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.88,121,242,294.87821528781205,1.218505021850463,3.494509696960449,2.8678664710413493,2.437010043700926
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.89,129,237,278.1929145027898,1.173809765834556,6.817651271820068,5.808139845363145,2.1565342209518588
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.92,144,294,418.6218029481606,1.423883683497145,2.929108810424805,2.057126466419459,2.907095853806671
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.93,131,242,276.7128937801972,1.1434417098355256,13.253596305847168,11.590968032601841,2.1123121662610473
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.94,125,252,253.03215343295597,1.0040958469561745,3.329237937927246,3.315657512198192,2.024257227463648
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.96,147,275,340.2710745441145,1.2373493619785982,6.095434665679932,4.926203425629891,2.314769214585813
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,fahrenheit_451,bookmia.12.98,127,262,275.5264286149468,1.0516275901333847,3.7846839427948,3.598882321368883,2.169499437912967
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,hitchhiker's_guide_to_the_galaxy,bookmia.18.03,139,270,285.1337470652652,1.0560509150565378,12.2484769821167,11.598377320151227,2.051321921332843
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,hitchhiker's_guide_to_the_galaxy,bookmia.18.08,137,267,273.16699240892194,1.0230973498461495,6.5312886238098145,6.3838388642018975,1.9939196526198681
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,hitchhiker's_guide_to_the_galaxy,bookmia.18.10,158,337,401.13581821665866,1.190314000642904,5.928136825561523,4.980313448686363,2.538834292510498
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,hitchhiker's_guide_to_the_galaxy,bookmia.18.12,135,278,297.82766633993015,1.0713225407911156,3.35160223642985,3.1284716869252724,2.20613086177726
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,hitchhiker's_guide_to_the_galaxy,bookmia.18.15,127,267,248.6222749450244,0.9311695690824884,3.0955470403035483,3.3243644799879912,1.9576557082285386
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,hitchhiker's_guide_to_the_galaxy,bookmia.18.16,129,268,232.71276414376916,0.868331209491676,3.0443231582641603,3.505946953175065,1.8039749158431717
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,hitchhiker's_guide_to_the_galaxy,bookmia.18.18,131,273,301.06568546878407,1.1028047086768646,1.3108848990280404,1.1886827184486983,2.298211339456367
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,hitchhiker's_guide_to_the_galaxy,bookmia.18.23,138,299,329.7890401794866,1.102973378526711,3.9963439305623374,3.623246044161488,2.389775653474541
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,hitchhiker's_guide_to_the_galaxy,bookmia.18.24,161,296,324.7989222650067,1.0972936563006983,11.641342163085938,10.609140129664421,2.0173846103416566
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,hitchhiker's_guide_to_the_galaxy,bookmia.18.25,135,252,270.5377211297746,1.0735623854356133,2.2086968421936035,2.057353044553059,2.0039831194798117
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,hitchhiker's_guide_to_the_galaxy,bookmia.18.26,150,285,339.51143620093353,1.191268197196258,3.934211015701294,3.3025401206552516,2.2634095746728904
alea-institute/kl3m-003-1.7b,kl3m,1.7,passage,hitchhiker's_guide_to_the_galaxy,bookmia.18.27,151,320,343.089482750569,1.072154633595528,10.935281753540039,10.199351297739566,2.272115779805093
