prompt_id,novel,risky_alone_recall,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,recall_n8,lcs_n8,recall_n64,lcs_n64
bookmia.07.44,casino_royale,0.7048,0.3343,0.3619,0.3571,75,0.3619,43,0.3571,75
bookmia.07.47,casino_royale,0.4569,0.2003,0.3503,0.2589,51,0.2589,51,0.3503,69
bookmia.07.49,casino_royale,0.0,0.3339,0.3636,0.3636,76,0.3636,76,0.3636,76
bookmia.07.53,casino_royale,0.75,0.3237,0.3396,0.3396,72,0.3396,72,0.3396,72
bookmia.07.54,casino_royale,0.7854,0.2936,0.3242,0.3242,71,0.3242,71,0.3242,71
bookmia.07.55,casino_royale,0.2598,0.3647,0.3922,0.3922,80,0.3922,80,0.3922,80
bookmia.07.56,casino_royale,0.7612,0.0685,0.3483,0.199,38,0.3383,68,0.3433,64
bookmia.07.57,casino_royale,0.7295,0.3417,0.3623,0.3623,75,0.3623,75,0.3623,75
bookmia.07.59,casino_royale,0.5837,0.3154,0.3348,0.3348,74,0.3348,74,0.3348,74
bookmia.07.61,casino_royale,0.0,0.3067,0.3333,0.3333,67,0.3333,67,0.3333,67
bookmia.07.62,casino_royale,0.4524,0.3297,0.3429,0.3429,72,0.3429,72,0.3429,72
bookmia.07.63,casino_royale,0.2222,0.3734,0.3889,0.3889,77,0.3889,77,0.3889,77
bookmia.07.66,casino_royale,0.2817,0.3277,0.3474,0.3474,74,0.3474,74,0.3474,74
bookmia.07.70,casino_royale,0.2245,0.3148,0.3724,0.3673,72,0.3673,72,0.3673,72
bookmia.07.72,casino_royale,0.7704,0.3495,0.3724,0.3673,72,0.3673,72,0.3673,72
bookmia.07.73,casino_royale,0.8107,0.3525,0.3689,0.3689,76,0.3689,76,0.3689,76
bookmia.07.77,casino_royale,0.1699,0.3344,0.3592,0.3544,73,0.3544,73,0.3544,73
bookmia.07.80,casino_royale,0.7756,0.3689,0.3707,0.3707,76,0.3707,76,0.3707,76
