variant,k,split,n_traj,active_step_pct,forced_safe_step_pct,risky_unchanged_step_pct,traj_with_active_step_pct,identical_to_risky_pct,util_mean,util_max,util_gt_0p9_pct,invariant_violations,lead_forced_mean,lead_forced_max,delta_init_mean,gen_len_mean,rouge_l_mean,lcs_word_mean,lcs_char_mean,acs_word_mean,nv_recall_mean,nv_recall_gt0_pct,lcs_word_max
plain,0.0,test,450,0.0,100.0,0.0,0.0,0.0,,,,0,176.318,200,5.809,176.3,0.0904,1.5844,9.9178,0.0378,0.0,0.0,7
plain,0.0,val,450,0.0,100.0,0.0,0.0,0.0,,,,0,172.26,200,5.276,172.3,0.1006,1.7444,10.5867,0.0111,0.0,0.0,5
plain,0.0,all,2700,0.0,100.0,0.0,0.0,0.0,,,,0,131.549,200,4.384,131.5,0.0624,1.3541,8.3148,0.0311,0.0,0.0,7
plain,0.1,attack_train,300,63.96,33.189,2.851,89.0,0.0,0.8695,1.0,84.67,0,59.567,106,6.216,180.1,0.0974,1.73,9.54,0,0.0,0.0,3
plain,0.1,creative,450,70.724,23.772,5.504,68.67,0.0,0.5741,1.0,52.0,0,28.542,61,3.45,124.0,0.0733,1.3711,8.6133,0.0911,0.0,0.0,7
plain,0.1,factual,450,65.192,28.5,6.307,70.0,0.0,0.5624,1.0,47.33,0,35.644,68,4.123,125.7,0.0453,2.3267,14.8689,0.0467,0.0,0.0,6
plain,0.1,neutral,600,74.703,17.343,7.954,64.83,0.0,0.5434,1.0,47.83,0,19.562,54,2.628,114.2,0.0,0,0,0,0.0,0.0,0
plain,0.1,test,450,65.984,30.48,3.536,92.89,0.0,0.8919,1.0,86.22,0,55.884,96,5.809,184.2,0.0882,1.5444,9.7356,0.0222,0.0,0.0,5
plain,0.1,val,450,67.158,28.126,4.716,91.56,0.0,0.8825,1.0,86.0,0,50.971,85,5.276,182.2,0.0988,1.7489,10.5667,0.0111,0.0,0.0,5
plain,0.1,all,2700,67.995,26.895,5.11,78.15,0.0,0.7025,1.0,65.3,0,39.473,106,4.384,148.1,0.0618,1.3574,8.3574,0.0285,0.0,0.0,7
plain,0.15,attack_train,300,72.358,21.855,5.787,92.67,0.0,0.9072,1.0,88.33,0,40.363,70,6.216,185.6,0.0964,1.7,9.37,0,0.0,0.0,4
plain,0.15,creative,450,76.985,15.252,7.764,74.0,0.0,0.6531,1.0,60.44,0,19.896,42,3.45,136.1,0.0714,1.3711,8.7089,0.08,0.0,0.0,7
plain,0.15,factual,450,72.064,18.281,9.655,81.33,0.0,0.6548,1.0,56.44,0,25.162,45,4.123,138.9,0.0486,2.3867,15.2444,0.12,0.0,0.0,7
plain,0.15,neutral,600,76.801,10.997,12.202,69.83,0.0,0.6045,1.0,55.33,0,13.437,36,2.628,124.1,0.0,0,0,0,0.0,0.0,0
plain,0.15,test,450,74.252,20.36,5.387,96.0,0.0,0.9128,1.0,88.0,0,37.553,64,5.809,186.1,0.0862,1.56,9.96,0.0333,0.0,0.0,5
plain,0.15,val,450,73.211,18.569,8.22,95.56,0.0,0.9121,1.0,87.56,0,34.164,55,5.276,186.3,0.0964,1.7489,10.6511,0.0111,0.0,0.0,5
plain,0.15,all,2700,74.318,17.496,8.186,83.63,0.0,0.7573,1.0,70.85,0,26.933,70,4.384,156.1,0.0611,1.3667,8.4685,0.0407,0.0,0.0,7
plain,0.25,attack_train,300,73.422,13.343,13.235,96.0,0.0,0.9069,1.0,86.67,0,24.243,43,6.216,186.1,0.0945,1.7267,9.3933,0,0.0,0.0,3
plain,0.25,creative,450,76.455,8.705,14.84,80.0,0.0,0.7352,1.0,70.44,0,12.342,27,3.45,149.3,0.0709,1.3933,8.8578,0.0911,0.0,0.0,7
plain,0.25,factual,450,70.263,9.959,19.778,91.33,0.0,0.7735,1.0,71.56,0,15.571,27,4.123,158.3,0.0532,2.4644,15.8711,0.1689,0.0,0.0,9
plain,0.25,neutral,600,71.975,6.428,21.597,72.33,0.0,0.6492,1.0,61.33,0,8.285,23,2.628,131.9,0.0,0,0,0,0.0,0.0,0
plain,0.25,test,450,75.482,11.92,12.598,97.56,0.0,0.942,1.0,91.33,0,22.476,38,5.809,190.4,0.0833,1.5689,9.6711,0.0267,0.0,0.0,6
plain,0.25,val,450,70.582,11.037,18.381,97.33,0.0,0.9334,1.0,89.78,0,20.569,36,5.276,189.7,0.095,1.7333,10.4578,0.0111,0.0,0.0,5
plain,0.25,all,2700,72.968,10.151,16.881,87.78,0.0,0.809,1.0,77.11,0,16.361,43,4.384,164.6,0.0609,1.3852,8.52,0.0496,0.0,0.0,9
plain,0.5,attack_train,300,55.637,6.321,38.042,98.0,0.0,0.9559,1.0,93.33,0,12.073,28,6.216,193.5,0.0877,1.62,9.33,0,0.0,0.0,3
plain,0.5,creative,450,55.919,4.163,39.919,82.22,0.0,0.8068,1.0,79.33,0,6.598,21,3.45,162.7,0.0653,1.3689,8.7622,0.08,0.0,0.0,7
plain,0.5,factual,450,46.443,4.106,49.451,96.89,0.0,0.9272,1.0,90.44,0,7.687,13,4.123,188.1,0.0572,2.7178,17.8222,0.4333,0.0,0.0,11
plain,0.5,neutral,600,42.984,2.914,54.102,74.67,0.17,0.7183,1.0,70.17,0,4.227,10,2.628,146.2,0.0,0,0,0,0.0,0.0,0
plain,0.5,test,450,52.598,5.742,41.66,98.89,0.0,0.9664,1.0,95.56,0,11.102,21,5.809,194.7,0.0766,1.4822,9.5556,0.0111,0.0,0.0,5
plain,0.5,val,450,43.429,5.229,51.341,98.44,0.0,0.9572,1.0,93.78,0,10.076,24,5.276,195.1,0.0898,1.6933,10.6111,0,0.0,0.0,4
plain,0.5,all,2700,48.946,4.67,46.384,90.22,0.04,0.8754,1.0,85.81,0,8.191,28,4.384,177.4,0.0579,1.3904,8.8285,0.0874,0.0,0.0,11
plain,1.0,attack_train,300,6.322,2.901,90.777,86.67,1.33,0.8212,1.0,35.67,0,5.747,18,6.216,198.8,0.0859,1.7267,9.7333,0,0.0,0.0,4
plain,1.0,creative,450,6.909,2.204,90.887,78.44,5.33,0.7047,1.0,31.78,0,3.598,17,3.45,166.5,0.0634,1.3533,8.7,0.08,0.0,0.0,7
plain,1.0,factual,450,7.033,1.844,91.123,91.33,0.44,0.7808,1.0,23.78,0,3.627,6,4.123,196.9,0.0629,3.24,21.7667,1.3422,0.0,0.0,14
plain,1.0,neutral,600,4.323,1.466,94.21,67.0,7.83,0.5865,1.0,14.0,0,2.195,8,2.628,150.0,0.0,0,0,0,0.0,0.0,0
plain,1.0,test,450,5.5,2.69,91.81,84.22,3.11,0.8367,1.0,33.56,0,5.351,9,5.809,198.9,0.074,1.5467,9.7756,0.0333,0.0,0.0,5
plain,1.0,val,450,3.306,2.402,94.292,78.22,4.44,0.7596,1.0,19.11,0,4.762,8,5.276,198.8,0.0908,1.7778,10.8511,0.0111,0.0,0.0,5
plain,1.0,all,2700,5.476,2.213,92.311,79.89,4.11,0.7352,1.0,25.11,0,4.016,18,4.384,182.3,0.0581,1.5115,9.597,0.2444,0.0,0.0,14
chat,-1.0,attack_train,300,0.0,0.0,100.0,0.0,100.0,,,,0,0,0,7.927,52.4,0.1087,1.6067,9.5667,0.0167,0.0,0.0,5
chat,-1.0,creative,450,0.0,0.0,100.0,0.0,100.0,,,,0,0,0,6.642,34.4,0.0943,1.5778,10.1956,0.1178,0.0,0.0,6
chat,-1.0,factual,450,0.0,0.0,100.0,0.0,100.0,,,,0,0,0,5.638,115.6,0.0462,3.6867,26.1311,3.0067,0.0,0.0,15
chat,-1.0,neutral,600,0.0,0.0,100.0,0.0,100.0,,,,0,0,0,5.701,154.2,0.0,0,0,0,0.0,0.0,0
chat,-1.0,test,450,0.0,0.0,100.0,0.0,100.0,,,,0,0,0,7.812,75.7,0.0984,1.5711,10.1978,0.1178,0.0,0.0,18
chat,-1.0,val,450,0.0,0.0,100.0,0.0,100.0,,,,0,0,0,7.32,64.8,0.1091,1.7267,10.7978,0.1022,0.0,0.0,7
chat,-1.0,all,2700,0.0,0.0,100.0,0.0,100.0,,,,0,0,0,6.716,88.5,0.0701,1.6056,10.6167,0.5593,0.0,0.0,18
chat,0.0,attack_train,300,0.0,100.0,0.0,0.0,0.0,,,,0,60.137,200,7.927,60.1,0.0699,1.1667,7.2033,0,0.0,0.0,4
chat,0.0,creative,450,0.0,100.0,0.0,0.0,0.0,,,,0,24.282,200,6.642,24.3,0.067,1.1244,7.4822,0.0467,0.0,0.0,6
chat,0.0,factual,450,0.0,100.0,0.0,0.0,0.0,,,,0,95.593,200,5.638,95.6,0.038,2.1467,13.7667,0.06,0.0,0.0,6
chat,0.0,neutral,600,0.0,100.0,0.0,0.0,0.0,,,,0,87.238,200,5.701,87.2,0.0,0,0,0,0.0,0.0,0
chat,0.0,test,450,0.0,100.0,0.0,0.0,0.0,,,,0,86.807,200,7.812,86.8,0.0581,1.0444,6.8311,0,0.0,0.0,3
chat,0.0,val,450,0.0,100.0,0.0,0.0,0.0,,,,0,70.176,200,7.32,70.2,0.0713,1.2111,7.7444,0.04,0.0,0.0,6
chat,0.0,all,2700,0.0,100.0,0.0,0.0,0.0,,,,0,72.211,200,6.716,72.2,0.0468,1.0507,6.7711,0.0244,0.0,0.0,6
chat,0.1,attack_train,300,45.764,50.63,3.606,27.33,0.0,0.4967,1.0,47.67,0,32.76,106,7.927,64.8,0.0689,1.1833,7.2367,0,0.0,0.0,4
chat,0.1,creative,450,40.824,57.337,1.838,10.44,0.0,0.3646,1.0,33.11,0,15.493,85,6.642,27.1,0.0669,1.1378,7.6467,0.06,0.0,0.0,6
chat,0.1,factual,450,58.542,38.758,2.7,54.67,0.0,0.4723,1.0,43.33,0,42.916,77,5.638,111.0,0.0392,2.1467,13.84,0.0644,0.0,0.0,7
chat,0.1,neutral,600,58.123,38.66,3.218,48.67,0.0,0.4705,1.0,43.67,0,38.36,69,5.701,99.4,0.0,0,0,0,0.0,0.0,0
chat,0.1,test,450,47.415,47.943,4.643,42.0,0.0,0.5141,1.0,49.33,0,44.709,113,7.812,93.4,0.0569,1.0622,6.8733,0,0.0,0.0,3
chat,0.1,val,450,50.552,45.29,4.159,33.11,0.0,0.54,1.0,51.56,0,33.304,92,7.32,73.7,0.0704,1.2311,7.8044,0.04,0.0,0.0,6
chat,0.1,all,2700,52.896,43.627,3.476,37.22,0.0,0.4749,1.0,44.56,0,34.901,113,6.716,80.2,0.0466,1.0611,6.8315,0.0274,0.0,0.0,7
chat,0.15,attack_train,300,58.39,36.993,4.617,30.0,0.0,0.5602,1.0,52.67,0,24.927,71,7.927,67.6,0.0666,1.1233,7.2167,0,0.0,0.0,4
chat,0.15,creative,450,52.022,45.043,2.935,13.11,0.0,0.425,1.0,38.89,0,12.938,57,6.642,28.8,0.0654,1.1444,7.6578,0.0467,0.0,0.0,6
chat,0.15,factual,450,68.533,27.173,4.294,64.67,0.0,0.5242,1.0,46.67,0,31.707,51,5.638,117.2,0.0396,2.1733,14.04,0.0733,0.0,0.0,6
chat,0.15,neutral,600,68.129,26.836,5.035,55.5,0.0,0.5295,1.0,49.17,0,28.41,46,5.701,106.3,0.0,0,0,0,0.0,0.0,0
chat,0.15,test,450,61.183,33.273,5.544,45.56,0.0,0.5691,1.0,54.89,0,32.862,75,7.812,99.0,0.057,1.0667,6.8844,0,0.0,0.0,3
chat,0.15,val,450,61.515,32.413,6.073,36.0,0.0,0.587,1.0,55.33,0,24.94,61,7.32,77.2,0.0697,1.22,7.7644,0.04,0.0,0.0,6
chat,0.15,all,2700,64.094,30.942,4.964,42.22,0.0,0.5308,1.0,49.41,0,26.157,75,6.716,84.8,0.046,1.0589,6.8596,0.0267,0.0,0.0,6
chat,0.25,attack_train,300,69.123,24.118,6.759,36.0,0.0,0.6322,1.0,61.0,0,17.71,42,7.927,73.8,0.0643,1.19,7.3733,0,0.0,0.0,4
chat,0.25,creative,450,61.734,32.155,6.111,18.22,0.0,0.4903,1.0,43.78,0,10.189,34,6.642,32.1,0.0651,1.1778,7.86,0.0778,0.0,0.0,9
chat,0.25,factual,450,75.148,16.059,8.794,78.89,0.0,0.6061,1.0,55.56,0,20.491,30,5.638,128.8,0.0413,2.2111,14.5022,0.1644,0.0,0.0,8
chat,0.25,neutral,600,73.2,16.174,10.627,70.0,0.0,0.6033,1.0,56.0,0,18.62,27,5.701,116.4,0.0,0,0,0,0.0,0.0,0
chat,0.25,test,450,70.993,20.987,8.02,52.22,0.0,0.638,1.0,61.78,0,22.287,45,7.812,106.8,0.0543,1.0644,7.0289,0,0.0,0.0,3
chat,0.25,val,450,69.103,21.175,9.722,40.0,0.0,0.6609,1.0,62.44,0,17.433,36,7.32,82.7,0.0683,1.2667,8.1,0.04,0.0,0.0,6
chat,0.25,all,2700,71.592,19.447,8.96,51.11,0.0,0.6035,1.0,56.48,0,17.839,45,6.716,92.4,0.0453,1.0856,7.0678,0.047,0.0,0.0,9
chat,0.5,attack_train,300,65.857,12.693,21.45,45.67,0.0,0.7763,1.0,72.0,0,11.007,21,7.927,87.8,0.0657,1.2733,7.8867,0,0.0,0.0,3
chat,0.5,creative,450,56.609,20.363,23.028,22.44,0.0,0.5813,1.0,49.33,0,7.384,17,6.642,37.0,0.0667,1.2089,8.0933,0.08,0.0,0.0,7
chat,0.5,factual,450,63.311,8.309,28.381,94.22,0.0,0.6228,1.0,53.33,0,10.44,15,5.638,129.2,0.0409,2.4289,16.0511,0.4178,0.0,0.0,10
chat,0.5,neutral,600,59.541,7.662,32.797,83.0,0.0,0.6853,1.0,61.5,0,9.67,16,5.701,129.0,0.0,0,0,0,0.0,0.0,0
chat,0.5,test,450,66.748,10.056,23.196,68.22,0.0,0.7597,1.0,70.67,0,12.438,24,7.812,126.0,0.0601,1.2178,7.8356,0.0333,0.0,0.0,5
chat,0.5,val,450,61.681,11.495,26.824,52.89,0.0,0.7427,1.0,67.33,0,10.553,18,7.32,93.4,0.0708,1.3578,8.7267,0.0511,0.0,0.0,6
chat,0.5,all,2700,62.554,10.109,27.337,63.15,0.0,0.6896,1.0,61.78,0,10.174,24,6.716,102.7,0.047,1.177,7.6607,0.097,0.0,0.0,10
chat,1.0,attack_train,300,22.499,8.832,68.669,68.67,0.0,0.5765,1.0,27.67,0,6.173,13,7.927,76.2,0.0818,1.4533,8.5533,0,0.0,0.0,4
chat,1.0,creative,450,20.895,14.382,64.723,50.0,0.0,0.5172,1.0,23.78,0,4.967,12,6.642,35.9,0.0705,1.2733,8.5978,0.0933,0.0,0.0,9
chat,1.0,factual,450,14.606,4.917,80.477,95.56,1.78,0.4923,1.0,18.0,0,5.122,7,5.638,113.9,0.042,2.9733,20.1489,1.3133,0.0,0.0,11
chat,1.0,neutral,600,15.315,4.002,80.684,85.33,0.17,0.6123,1.0,30.0,0,4.853,10,5.701,129.0,0.0,0,0,0,0.0,0.0,0
chat,1.0,test,450,19.994,6.756,73.251,79.11,0.0,0.5471,1.0,24.22,0,6.416,11,7.812,107.4,0.0732,1.3756,8.6622,0.0533,0.0,0.0,17
chat,1.0,val,450,18.121,8.028,73.851,69.11,0.0,0.5238,1.0,20.44,0,5.956,16,7.32,81.4,0.083,1.4933,9.3467,0.0622,0.0,0.0,6
chat,1.0,all,2700,17.48,6.398,76.122,75.56,0.33,0.5468,1.0,24.15,0,5.508,16,6.716,93.6,0.0539,1.3474,8.743,0.2537,0.0,0.0,17
