band,arm,quantity,value,lo95,hi95,reading,n
B3,blk67n4 - blk200n64,paired difference of order-averaged levels,-0.082,-0.1055,-0.0585,ONCE WINS,500
B3,blk34n2 - blk200n64,paired difference of order-averaged levels,-0.088,-0.1115,-0.0645,ONCE WINS,500
B4,blk10n64_planner,gain over the anchor control (D4),0.077,0.054,0.1005,SURVIVES,500
B4,blk10n64_planner - blk10n64,paired difference of order-averaged levels,-0.0895,-0.115,-0.064,VALUE WINS,500
B5,blk50n64 - blk50n64_reward,paired difference of order-averaged levels,0.0395,0.02,0.059,VALUE WINS,500
B6,blk10n64_memoriser,"near-verbatim recall, mean over 100 passages",0.0,,,ZERO,100
B6,blk10n64_memoriser,"near-verbatim recall, maximum",0.0,,,,100
B6,blk10n64_memoriser,passages with recall >= 0.01,0,,,,100
desc,blk10n64_memoriser,ROUGE-L mean (whole-output adversarial arm at n=64 beside it),0.1168,,,whole output 0.1073,100
desc,baselines,"memoriser alone (k=-1) / anchor alone (n=1), committed, same passages and seeds",0.3925 / 0.0000,,,,100
desc,blk10n64,certificate nats (whole output / any 50-token window),83.18 / 24.95,,,,
desc,blk10n64,median words served / empty served,89 / 110,,,,500
desc,blk10n64,minus the committed selection at n=64 (D5),0.0565,0.0225,0.092,,500
desc,blk10n64,reward calls (candidates scored),360000,,,,5625
desc,blk25n64,certificate nats (whole output / any 50-token window),33.27 / 12.48,,,,
desc,blk25n64,median words served / empty served,86 / 104,,,,500
desc,blk25n64,minus the committed selection at n=64 (D5),0.0395,0.0055,0.074,,500
desc,blk25n64,reward calls (candidates scored),148992,,,,2328
desc,blk50n64,certificate nats (whole output / any 50-token window),16.64 / 8.32,,,,
desc,blk50n64,median words served / empty served,69 / 104,,,,500
desc,blk50n64,minus the committed selection at n=64 (D5),0.019,-0.013,0.0525,,500
desc,blk50n64,reward calls (candidates scored),76480,,,,1195
desc,blk200n64,certificate nats (whole output / any 50-token window),4.16 / 4.16,,,,
desc,blk200n64,median words served / empty served,58 / 103,,,,500
desc,blk200n64,minus the committed selection at n=64 (D5),0.015,-0.018,0.048,,500
desc,blk200n64,reward calls (candidates scored),32000,,,,500
desc,blk100n8,certificate nats (whole output / any 50-token window),4.16 / 4.16,,,,
desc,blk100n8,median words served / empty served,29 / 192,,,,500
desc,blk100n8,minus the committed selection at n=64 (D5),-0.0485,-0.0805,-0.0155,,500
desc,blk100n8,reward calls (candidates scored),5312,,,,664
desc,blk67n4,certificate nats (whole output / any 50-token window),4.16 / 2.77,,,,
desc,blk67n4,median words served / empty served,38 / 153,,,,500
desc,blk67n4,minus the committed selection at n=64 (D5),-0.067,-0.1005,-0.0335,,500
desc,blk67n4,reward calls (candidates scored),3508,,,,877
desc,blk34n2,certificate nats (whole output / any 50-token window),4.16 / 2.08,,,,
desc,blk34n2,median words served / empty served,52 / 113,,,,500
desc,blk34n2,minus the committed selection at n=64 (D5),-0.073,-0.1045,-0.0415,,500
desc,blk34n2,reward calls (candidates scored),3206,,,,1603
desc,blk50n64_reward,certificate nats (whole output / any 50-token window),16.64 / 8.32,,,,
desc,blk50n64_reward,median words served / empty served,23 / 169,,,,500
desc,blk50n64_reward,minus the committed selection at n=64 (D5),-0.0205,-0.052,0.012,,500
desc,blk50n64_reward,reward calls (candidates scored),51520,,,,805
desc,blk10n64_planner,certificate nats (whole output / any 50-token window),83.18 / 24.95,,,,
desc,blk10n64_planner,median words served / empty served,160 / 0,,,,500
desc,blk10n64_planner,minus the committed selection at n=64 (D5),-0.033,-0.065,0.0005,,500
desc,blk10n64_planner,reward calls (candidates scored),640000,,,,10000
desc,blk200n1,certificate nats (whole output / any 50-token window),0.00 / 0.00,,,,
desc,blk200n1,median words served / empty served,62 / 76,,,,500
desc,blk200n1,minus the committed selection at n=64 (D5),-0.1035,-0.137,-0.069,,500
desc,blk200n1,reward calls (candidates scored),500,,,,500
desc,blk50n64_reward,gain over the anchor control (D4),0.0895,0.0665,0.1125,SURVIVES,500
desc,blk200n1,"the anchor alone through this code path, gain over the anchor control",0.0065,-0.015,0.028,DISSOLVES,500
desc,blk10n64_planner - metered_k10,"paired difference of gains over the anchor control, post hoc",0.026,0.001,0.051,,500
